,word,count
0,franjolysborges,40
1,prendió,8
2,legendario,4
3,antojo,2
4,paella,1
5,foodvides,1
6,leí,1
7,parrillera,1
8,pensé,4
9,así,26
10,fabiolaag,20
11,siento,9
12,llamado,1
13,kumandra,1
14,kari,4
15,celis,5
16,bardinetsimon,1
17,mentalidad,1
18,año,16
19,respecto,3
20,anteriores,1
21,cambiado,2
22,mundo,6
23,creo,7
24,dice,2
25,maduró,1
26,potenció,1
27,juego,7
28,dosivira,2
29,showtimechapo,2
30,andresu,16
31,¿estás,1
32,drogas,1
33,dorian,1
34,tal,19
35,gess,15
36,😴😴😴😴,1
37,encomienda,1
38,alma,1
39,⚰☠,1
40,quiero,11
41,creer,3
42,posible,3
43,ilusionarme,1
44,apuntar,1
45,decepción,2
46,buen,22
47,cumpleaños,6
48,josed,2
49,lcrn,2
50,jajajaja,29
51,dato,1
52,próximas,1
53,paradas,1
54,guanare,2
55,maracaibo,2
56,barinas,1
57,fabricuzzo,15
58,menos,21
59,mal,8
60,veo,9
61,tremendos,1
62,prospectos,1
63,periodismo,2
64,deportivo,2
65,venezolano,6
66,estudien,1
67,saquen,1
68,título,4
69,denle,1
70,uso,1
71,aprendido,1
72,sigan,2
73,malos,2
74,ejemplos,2
75,hoy,32
76,lamentablemente,3
77,sobran,1
78,pena,1
79,visita,2
80,jessicaaraujog,1
81,leocarrasquero,2
82,😍😍😍😍😍😍,1
83,panas,5
84,háganme,1
85,caso,4
86,probar,2
87,nuevos,1
88,flips,1
89,chocofudge,1
90,cosa,14
91,locos,6
92,vi,5
93,mejores,7
94,videos,1
95,historia,6
96,sdvnet,1
97,jahcbayern,1
98,¿ah,1
99,puede,23
100,leer,3
101,comentarios,1
102,dejo,2
103,viva,1
104,cerro,2
105,salió,4
106,sonjanik,1
107,😂😂,11
108,vinotint,1
109,deseo,3
110,¿en,1
111,cuánto,2
112,lilghost,1
113,malvadoelvis,1
114,gracias,25
115,información,9
116,disposición,2
117,amigo,7
118,caracas,15
119,serpiente,2
120,regresó,1
121,jrisaza,1
122,¿opiniones,2
123,jer,26
124,emi,26
125,gochitler,17
126,ok,4
127,🤚🏻,2
128,snakenovoa,1
129,alexsmsj,1
130,mil,7
131,bueno,23
132,saberlo,1
133,nooooooooo,1
134,jabsjahsjajajahsjahajahajahajahahsbjajwjaja,1
135,deja,7
136,vendedera,1
137,humo,2
138,sabes,9
139,casa,6
140,show,1
141,llégate,2
142,quieres,4
143,llegar,3
144,alta,2
145,tráete,1
146,danipalenciap,40
147,cuido,1
148,unenanoahi,1
149,tranquilo,3
150,mataron,2
151,edificio,2
152,queremos,2
153,saber,5
154,lugar,4
155,encontrada,1
156,siempre,17
157,niños,2
158,jugando,4
159,¿alguien,2
160,acá,2
161,sabrá,2
162,identificar,1
163,tipo,9
164,apareció,1
165,urdanetakev,2
166,epa,6
167,nivelazo,2
168,foto,8
169,buena,15
170,compañía,1
171,noticia,5
172,mierda,2
173,vida,13
174,ratico,1
175,benny,1
176,💔💔😟,1
177,liporaccia,6
178,holareserve,3
179,voy,13
180,pa,5
181,mismo,20
182,confirmo,3
183,nikolmga,1
184,sé,27
185,decir,12
186,muchísimo,4
187,nikol,1
188,verdad,18
189,lamento,3
190,pésame,1
191,familia,4
192,confirmado,1
193,salúdame,1
194,fabi,2
195,fandres,2
196,desafiocaracol,1
197,activo,5
198,si,40
199,llega,2
200,llamada,3
201,jaja,19
202,valrodriguezv,10
203,jeremi,1
204,lamentable,1
205,incapaz,1
206,pasada,1
207,diva,1
208,jajaja,35
209,odio,2
210,danzjolys,1
211,bancafriendly,1
212,leoccs,1
213,mira,3
214,vale,19
215,puerto,2
216,ordaz,2
217,productiva,1
218,primero,4
219,heat,1
220,élite,1
221,categoría,2
222,edad,1
223,to,6
224,general,3
225,km,3
226,obstáculos,3
227,puestos,4
228,arriba,6
229,ranking,2
230,mafergamboa,5
231,decirte,2
232,cesardepablos,1
233,hacerlo,4
234,hermano,6
235,alanavarro,14
236,amo,5
237,klon,10
238,perez,9
239,claro,9
240,lograremos,1
241,desver,1
242,lemartinezp,1
243,omarleyog,1
