tweet_tokenized,Sentiment,NB,SVM,DF
"['irja', 'sugiriendo', 'problema', 'votar', 'votar', 'dilema', 'usas', 'ejemplo', 'cierto', 'votar', 'estrategia', 'sirvió', 'solo', 'falta', 'indicar', 'votar', 'varias', 'veces', 'estrategia', 'tampoco', 'entonces', 'problema', 'estrategia', 'voto', 'abstención']",Neutral,0,0,0
"['tolosalila', '¿mis', 'palabras', 'realidad', 'país']",Neutral,0,0,0
"['gracias', 'lacelis', 'nelsonbocaranda', 'invitación', 'conversar', 'estudio', 'perfil', 'consumidor', 'presentaremos', 'próximo', 'junio', 'pm', 'eventos', 'datanalisis', 'com', 'datanalisis', 'vemos', 'ahí']",Neutral,0,0,0
"['muchas', 'gracias']",Neutral,0,0,0
"['parece', 'importante', 'hagan', 'caso', 'racionalidad', 'política', 'intereses', 'personale', 'encuestas', 'instrumento', 'ayuda', 'decisiones', 'nunca', 'reemplazarán', 'lógica']",Neutral,0,0,0
"['prefiero', 'reconvertir', 'pregunta', 'enfocada', 'deben', 'venezolanos', 'luchar', 'desarrollar', 'estrategias', 'distintas', 'traído', 'acá', 'decir', 'vale', 'pena', 'insistir', 'mismo', 'llegará', 'obviamente', 'mismo']",Neutral,0,0,0
"['proceso', 'distorsionado', 'inflación', 'venezuela', 'multifactorial', 'supuesto', 'campo', 'especulación', 'base', 'problema', 'trata', 'combinación', 'pérdida', 'total', 'confianza', 'institucional', 'moneda', 'desequilibrio', 'fiscal']",Neutral,0,0,0
"['todas', 'partes', 'comienzan', 'negociación', 'política', 'económica', 'laboral', 'etc', 'comienzan', 'pidiendo', 'dispuestos', 'aceptar', 'va', 'pasar', 'gobierno', 'oposición', 'caso', 'diluye', 'negociación', 'si', 'ocurre']",Neutral,0,0,0
"['vacunas', 'chinas', 'rusas', 'suministradas', 'oficialmente', 'ahora', 'originales', 'aunque', 'insuficientes', 'entregadas', 'manera', 'sesgada', 'vengan', 'acuerdos', 'humanitarios', 'impecables', 'cerca', 'vacunas', 'bachaqueadas', 'peligro', 'incalculable']",Neutral,0,0,0
"['temprano', 'hacer', 'estimaciones', 'dependerá', 'resultado', 'negociaciones', 'cambios', 'condiciones', 'acuerdos', 'oposición', 'partidos', 'líderes', 'promuevan', 'observación', 'internacional', 'liberación', 'presos', 'políticos', 'inhabilitados']",Neutral,0,0,0
"['depende', 'expectativas', 'demanda', 'maduro', 'liberación', 'inmediata', 'sanciones', 'negociación', 'pública', 'posibilidad', 'lograrse', 'demanda', 'opositoras', 'convocar', 'elección', 'presidencial', 'transparente', 'rr', 'nula', 'acuerdos', 'posibles', 'medio']",Neutral,0,0,0
"['mayoría', 'contundente', 'población', 'quiere', 'negociación', 'política', 'resolver', 'problema', 'país', 'embargo', 'sólo', 'pequeña', 'minoría', 'confía', 'exitosa', 'ahora', 'mismo', 'lograr', 'objetivo', 'deseado', 'tan', 'importante', 'definir', 'expectativas', 'correctas']",Neutral,0,0,0
"['punto', 'relevante', 'estrategia', 'aislamiento', 'gol', 'vzlano', 'expulsa', 'amenaza', 'inversionistas', 'clásicos', 'termina', 'produciendo', 'evidente', 'desoccidentalización', 'país', 'cada', 'vez', 'penetrado', 'econ', 'políticamente', 'adversarios', 'occidente']",Neutral,0,0,0
"['búsqueda', 'central', 'proceso', 'negociación', 'política', 'probabilidades', 'ocurra', 'bastante', 'bajas', 'mas', 'probable', 'participación', 'parcial', 'siempre', 'débil']",Neutral,0,0,0
"['resultados', 'abstención', 'presidencial', 'parlamentaria', 'potentes', 'opinión', 'significa', 'participar', 'pasivamente', 'luchar', 'condiciones', 'unidad', 'opositora', 'plan', 'convertir', 'participación', 'acción', 'estrategia', 'ganadora']",Neutral,0,0,0
"['ver', 'cosa', 'encuestas', 'miden', 'encuestadores', 'quieren', 'desean', 'temen', 'miden', 'gente', 'piensa', 'vamos', 'decir', 'guste', 'trabajo', 'moleste', 'moleste']",Neutral,0,0,0
"['opo', 'control', 'territorial', 'puede', 'resolver', 'temas', 'internos', 'si', 'factor', 'determinante', 'obtener', 'ayuda', 'internacional', 'humanitaria', 'búsqueda', 'puede', 'parar', 'nunca', 'pese', 'bloqueadores', 'establezca', 'gob', 'tratan', 'primeras', 'negociaciones']",Neutral,0,0,0
"['falso', 'dilema', 'negociar', 'negociar', 'votar', 'votar', 'pregunta', 'vas', 'hacer', 'real', 'diferente', 'plano', 'político', 'vas', 'quedar', 'ahora', 'discursos', 'políticos', 'diplomáticos', 'amenazas', 'incumplibles', 'intentos', 'preservación', 'status', 'quo']",Neutral,0,0,0
"['sanciones', 'dividen', 'impacto', 'humanitario', 'negativo', 'presión', 'económica', 'gob', 'sanciones', 'personales', 'funcionarios', 'sólo', 'humanitarias', 'podrían', 'flexibilizarse', 'marco', 'previo', 'negociación', 'resto', 'instrumento', 'negociación', 'política']",Neutral,0,0,0
"['probabilidades', 'administración', 'biden', 'haga', 'giro', 'tan', 'profundo', 'lleve', 'establecer', 'alianzas', 'gob', 'maduro', 'bajo', 'cualquier', 'tesis', 'pasar', 'revalidación', 'democrática', 'poderes', 'vzla', 'nula']",Neutral,0,0,0
"['¿y', 'vas', 'lanzar', 'puesto', 'elección', 'popular', 'alguna', 'elección']",Neutral,0,0,0
"['máximo', 'podemos', 'decir', 'pesar', 'preferencia', 'pob', 'resolver', 'conflicto', 'través', 'elección', 'cambio', 'condiciones', 'reales', 'acuerdos', 'relevantes', 'abstención', 'seguirá', 'siendo', 'problema', 'mayor', 'quieren', 'participar', 'elecciones']",Neutral,0,0,0
