frequency,bigram/trigram
10,ucab guayana
7,microsoft store
7,debe ser
7,aun así
6,visto profesores
6,si gusta
6,proceso electoral
6,primera vez
6,cada vez
5,vida universitaria
5,si gusta crea
5,salir modo
5,joe biden
5,hace años
5,gusta crea
5,big tech
4,toda información
4,si van
4,si bien
4,representantes estudiantiles
4,representación estudiantil
4,my car
4,media creation tool
4,media creation
4,creation tool
4,colegios electorales
4,autonomía profesor
4,alguna razón
3,windows media creation
3,windows media
3,voy decir
3,vamos seleccionar
3,vale pena
3,uso laboratorios
3,star wars
3,si trump
3,ser ucabista
3,ser capaces
3,ramos allup
3,peste negra
3,paz libertad esclavitud
3,paz libertad
3,partido republicano
3,particiones vamos
3,panconcon panconcon pacon
3,panconcon panconcon
3,panconcon pacon
3,muchas cosas
3,modo juego
3,materia si
3,libertad esclavitud ignorancia
3,libertad esclavitud
3,importa si
3,igual responsables
3,ignorancia fuerza
3,hijo puta
3,hacer creer
3,hace tiempo
3,gusta crea propio
3,guerra paz libertad
3,guerra paz
3,fraude electoral
3,esclavitud ignorancia fuerza
3,esclavitud ignorancia
3,empresa privada
3,día hoy
3,debería ser
3,dar clases
3,dado caso
3,da risa
3,crea propio
3,captar gente
3,cae mal
3,buscar google
3,asalto congreso
3,abro hilo
2,último año
2,última vez
2,área estudio
2,you like my
2,you like
2,yeah yeah
2,worst president ever
2,worst president
2,voy dar
2,vive haciendo
2,vienen años
2,vez vida
2,versión windows
2,ver si
2,van tener
2,van detener
2,van acabar irán
2,van acabar
2,va siendo hora
2,va siendo
2,va preguntar
2,va perder
2,uso zoom
2,uso servicios
2,usan correctamente
2,untalsiso fraude
2,untalsiso abrahamapk
2,universidades privadas
2,universidad privada
2,universidad paga
2,universidad habana tan
2,universidad habana
2,unas elecciones
2,ucab ofrece
2,uc deberían
2,trump solo
2,trump perdió
2,total landscaping pa
2,total landscaping
2,toda costa
2,toca jugar
2,this is
2,terminan mierda
2,teoría conspirativa
2,tan marrón
2,tan grande
2,tan alto
2,take home
