frequency,bigram/trigram
26,fútbol femenino
16,congreso fútbol femenino
16,congreso fútbol
8,puede ser
7,paola villamizar
7,cesar__od luka7doncic
6,ysaura viso
6,nubiluz rangel
6,muchas gracias
6,fútbol femenino evolucioncsf
6,franjolysborges omaralejandro20
6,femenino evolucioncsf
6,champions league
6,cada vez
5,mando abrazo
5,liga colombiana
5,fútbol femenino conmebol
5,femenino conmebol
5,cualquier cosa
5,copa américa
4,sabes cómo
4,pase pase
4,joemar guarecuco
4,feliz cumpleaños
4,f_ayalar il_alan
4,dos años
4,dallasmavs laclippers
4,cosa locos
4,bien ahí
4,alvarodanavas omaralejandro20
4,ah bueno
3,voy pa
3,vieja escuela
3,va seguir
3,uefa champions league
3,uefa champions
3,sonia neill
3,si quieres
3,santiago morning colo
3,santiago morning
3,real madrid
3,puedo decir
3,primera división
3,pase pase menos
3,pase menos
3,partidos hoy
3,parte congreso fútbol
3,parte congreso
3,oscguard f_ayalar il_alan
3,oscguard f_ayalar
3,omaralejandro20 alvarodanavas
3,morning colo colo
3,morning colo
3,miguelanez_ cesar__od
3,maria_viloria danipalenciap
3,llegó momento
3,jer_emi miguelanez_ cesar__od
3,jer_emi miguelanez_
3,gonzalonarrador esportslaliga
3,gaby garcía
3,franjolysborges omaralejandro20 alvarodanavas
3,final supercopa
3,final liga colombiana
3,final liga
3,erasmohernandez dallasmavs laclippers
3,erasmohernandez dallasmavs
3,erasmohernandez andresu11
3,entumentee oscguard
3,día congreso fútbol
3,día congreso
3,dos semanas
3,danipalenciap fabricuzzo22
3,danipalenciap fabiolaag_
3,danipalenciap cesar__od
3,dallasmavs warriors
3,colo colo
3,cesar__od dallasmavs warriors
3,cesar__od dallasmavs
3,cc andresu11
3,buen día
3,así mismo
3,andresu11 il_alan
3,alanavarro23 danipalenciap
3,4to cuarto
2,últimos tres
2,últimos dos
2,última hora
2,ysaura viso sfe
2,yianabittar dvopetarefc
2,yerliane moreno
2,volvió hacer
2,viso sfe nubiluz
2,viso sfe
2,vieja escuela twitterfutve
2,venezolana paola villamizar
2,venezolana paola
2,venezolana adelanta
2,valrodriguezv_ fabricuzzo22
2,va hacer
2,una_tal_gess alvarodanavas
2,udg tenerife
2,tres décadas
2,trae young
2,tom brady
2,todas semanas
2,todas selecciones
2,toda temporada
2,tiros libres
2,tan tan
2,talleres congreso fútbol
2,talleres congreso
2,taller comunicación digital
2,taller comunicación
2,sé si
2,sé quién
2,sé decirte
2,sé decir
2,sé cómo
2,stgomorningfem udechilefem
2,spartanrace _akwill
2,space jam
2,solo puedo
2,solo faltó
2,solo dos
2,sino además
2,sigo entender
2,siglos siglos
2,si verdad
2,si llega
2,si alguien
2,showtimechapo andresu11
2,sfe nubiluz rangel
2,sfe nubiluz
2,semifinal fútbol
2,sembrando fútbol
2,selección nacional
2,segundo lugar
2,segundo cuarto
2,segunda ronda
2,récord guinness
2,rope climb
2,rechazó extensión
2,rangel sfe
2,pura gente
2,puerto ordaz
2,puedo regalar
2,puedo creer
2,pts primer cuarto
2,pts primer
2,próximo juego
2,programas gringos
2,profe rueda
2,primera mitad
2,primer cuarto
2,pierde técnico
2,pierde pierde técnico
2,pierde pierde
2,periodismo deportivo
2,pedrobozoa quipus_app
2,paso enorme
2,pase menos venezolana
2,pasa ser
2,par meses
2,oscguard il_alan carlos_benucci
2,oscguard il_alan
2,omaralejandro20 alvarodanavas yessicati
2,ocho años
2,nubiluz rangel sfe
2,muchas gracias vale
2,minutos partidos
2,mil gracias
2,menos venezolana
2,menos 30
2,mejor si
2,mayor éxitos
2,marvel volvió hacer
2,marvel volvió
2,marioarias29 siciliastandup
2,mano fe
2,mala fortuna
2,lleva vida
2,ligafutve jajaja
2,liga futve
2,liga femenina colombia
2,liga femenina
2,leury basanta ame
2,leury basanta
2,league femenina
2,lakers doble dígito
2,lakers doble
2,kikoperozo erasmohernandez
2,jugadores pierde pierde
2,jugadores pierde
2,juega selección
2,joemar guarecuco ame
2,jer_emi maria_viloria
2,jer_emi fabricuzzo22
2,is not
2,información valiosa
2,il_alan moicstz
2,il_alan carlos_benucci
2,hoy colombia
2,hernandez469 ablascoron
2,hermanos colmenárez
2,hacia adelante
2,hace tiempo
2,hace par
2,hace dos
2,hace años
2,gustó muchísimo
2,guarecuco ame leury
2,guarecuco ame
2,gracias veru
2,gracias vale
2,gracias información
2,gracias gracias
2,gracias amigo
2,gol ysaura viso
2,gol ysaura
2,giovaromero19 masisu
2,gioccs f_ayalar entumentee
2,gioccs f_ayalar
2,gente buena
2,ganan jugadores pierde
2,ganan jugadores
2,gana ganan jugadores
2,gana ganan
2,fútbol venezolano
2,fútbol femenino venezolano
2,fútbol femenino sudamericano
2,fútbol chileno
2,fuerte abrazo
2,frente alto
2,franjolysborges jajajaja
2,forma gratuita
2,final fútbol
2,feminafutbol womenssoccerutd
2,femenino venezolano
2,femenino sudamericano
2,femenino evolucioncsf futbolconfdefemenino
2,femenina colombia
2,felices sabíamos
2,falta respeto
2,fabricuzzo22 valrodriguezv_
2,fabricuzzo22 jajajajaja
2,fabiolaag_ jer_emi miguelanez_
2,fabiolaag_ jer_emi
2,fabiolaag_ danipalenciap
2,f_ayalar entumentee oscguard
2,f_ayalar entumentee
2,evolucioncsf futbolconfdefemenino
2,escuela twitterfutve
2,erasmohernandez spartanrace
2,erasmohernandez buccaneers
2,equipo solo
2,entumentee oscguard il_alan
2,eliaslopezvzla ucvfcoficial
2,ecztik spartanrace _akwill
2,ecztik spartanrace
2,días trabajo
2,doble dígito
2,digital deporte
2,deyna castellanos
2,debo decir
2,debería ser
2,danipalenciap voy
2,danipalenciap twins
2,danipalenciap fabiolaag_ jer_emi
2,danipalenciap cesar__od luka7doncic
2,cuándo cumples
2,copa libertadores
2,confío grupo
2,comunicación digital deporte
2,comunicación digital
2,comenzó taller
2,cnar yaracuy
2,claro claro
2,chile stgomorningfem
2,champions league femenina
2,caracas gracias
2,cada dos años
2,cada dos
2,buena época
2,buen entrenador
2,basanta ame
2,año pasado
2,arturo vidal
2,andresu11 fabiolaag_
2,anabel guzmán
2,ame leury basanta
2,ame leury
2,alvarodanavas yessicati
2,algún día
2,ahora palabra
2,adivina quién
2,acabó partido
2,acaba anotar
2,abrazo figura
2,40 minutos
1,único equipo solo
1,único equipo
1,único balón techo
1,único balón
1,única punta extremos
1,única punta
1,últimos tres partidos
1,últimos tres años
1,últimos días acuerdo
1,últimos días
1,últimos dos episodios
1,últimos dos años
1,últimos cuatro días
1,últimos cuatro
1,último reporte tms
1,último reporte
1,último período temporada
1,último período
1,último día congreso
1,último día
1,últimas intervenciones brady
1,últimas intervenciones
1,últimas dos semanas
1,últimas dos
1,última vez salimos
1,última vez
1,última semana entrenamiento
1,última semana
1,última hora equipo
1,óscar legendario récord
1,óscar legendario
1,éxitos venga vida
1,éxitos venga
1,éxitos llegaban verdadero
1,éxitos llegaban
1,éxito podido carreraparestiaos
1,éxito podido
1,éxito monarca vamoarriba
1,éxito monarca
1,éxito buen entrenador
1,éxito buen
1,época pana cómo
1,época pana
1,época felices sabíamos
1,época felices
1,época cocodrilos caer
1,época cocodrilos
1,élite primero categoría
1,élite primero
1,área va expulsado
1,área va
1,árbitros venezolanos 2021
1,árbitros venezolanos
1,árbitro penal ecuador
1,árbitro penal
1,ámbito competitivo muchas
1,ámbito competitivo
1,águila año última
1,águila año
