tweet_translated_tokenized,sentiment,NB_Negativo,NB_Positivo,SVM_Negativo,SVM_Positivo,DF_Negativo,DF_Positivo,MaxEnt_Negativo,MaxEnt_Positivo
"['homemade', 'mouth', 'covers', 'effective', 'social', 'distancing', 'video', 'via', 'eltiempolatino']",Positivo,0.6657065977534016,0.33429340224659704,0.7990763242368575,0.20092367576314246,1.0,0.0,0.6590311323289755,0.3409688676710246
"['expert', 'affirms', 'coronavirus', 'cases', 'virginia', 'could', 'decrease', 'video', 'via', 'eltiempolatino']",Negativo,0.6999101327608156,0.30008986723918324,0.6493157150960311,0.3506842849039689,1.0,0.0,0.6271587378395241,0.37284126216047586
"['homemade', 'mouth', 'covers', 'effective', 'social', 'distancing', 'video', 'via', 'eltiempolatino']",Positivo,0.6657065977534016,0.33429340224659704,0.7990763242368575,0.20092367576314246,1.0,0.0,0.6590311323289755,0.3409688676710246
"['chile', 'requires', 'residents', 'use', 'masks', 'public', 'transport', 'via', 'eltiempolatino']",Negativo,0.6896421657089553,0.310357834291044,0.8341881792479227,0.16581182075207726,1.0,0.0,0.6851537651026559,0.3148462348973441
"['dubai', 'residents', 'must', 'request', 'permission', 'online', 'leave', 'homes', 'coronavirus', 'via', 'eltiempolatino']",Negativo,0.7554425743912193,0.24455742560878035,0.9212915173187232,0.07870848268127661,1.0,0.0,0.7238741553100358,0.27612584468996415
"['nicolasmaduro', 'show', 'two', 'machines', 'coronavirus', 'diagnostics', 'via', 'eltiempolatino']",Negativo,0.7754341948821948,0.22456580511780666,0.912715626738298,0.08728437326170184,1.0,0.0,0.746145720679404,0.25385427932059595
"['ambassador', 'vecchio', 'carlosvecchio', 'announces', 'release', 'venezuelan', 'migrants', 'detained', 'us', 'via', 'eltiempolatino']",Negativo,0.7410944014563807,0.2589055985436204,0.7444267687121302,0.25557323128786963,1.0,0.0,0.6850319216835321,0.3149680783164679
"['colombia', 'opens', 'humanitarian', 'channel', 'border', 'departure', 'venezuelans', 'via', 'eltiempolatino']",Negativo,0.6791150179705847,0.3208849820294157,0.6778770397695938,0.3221229602304061,1.0,0.0,0.645241797764635,0.354758202235365
"['minutes', 'live', 'program', 'colleague', 'maibort', 'petit', 'maibortpetit', 'historiasdecuarentena', 'talking', 'coronavirus', 'elsalvador', 'interviewing', 'fabricioleon']",Negativo,0.7338012350473947,0.26619876495260475,0.6555452499825362,0.3444547500174637,0.0,1.0,0.6762718621957775,0.32372813780422255
"['usa', 'new', 'york', 'registers', 'thousand', 'covid', 'infections', 'via', 'eltiempolatino', 'abr']",Negativo,0.8706805258845639,0.12931947411543776,0.9441235766510728,0.055876423348926924,1.0,0.0,0.7821228368830063,0.21787716311699368
"['year', 'old', 'man', 'first', 'death', 'covid', 'barranquilla', 'via', 'eltiempolatino']",Negativo,0.8308380063206399,0.16916199367935933,0.9180787453940604,0.08192125460593948,1.0,0.0,0.7535701793163999,0.24642982068360011
"['venezuelan', 'schoolchildren', 'could', 'finish', 'year', 'home', 'via', 'eltiempolatino']",Negativo,0.712959873965407,0.2870401260345936,0.8108062510662968,0.18919374893370314,1.0,0.0,0.6900278829187347,0.3099721170812653
"['alminuto', 'miami', 'applies', 'curfew', 'stop', 'coronavirus', 'via', 'eltiempolatino']",Negativo,0.8286983139519771,0.1713016860480222,0.9611094309080702,0.03889056909192981,1.0,0.0,0.7778517940329261,0.2221482059670739
"['trump', 'recommends', 'wearing', 'mask', 'clarifies', 'via', 'eltiempolatino']",Positivo,0.6384989593201846,0.361501040679814,0.7048211690407796,0.2951788309592201,1.0,0.0,0.641075144559244,0.3589248554407561
