tweet,tweet_tokenized,tweet_translated,tweet_tokenized_translated,sentimiento
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing,"['zero', 'help', '@ups', 'customer', 'service.', 'pushing', 'buck', 'back', 'forth', 'promising', 'callbacks', 'don’t', 'happen.', '#anger', '#loathing']",Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing,"['zero', 'help', '@ups', 'customer', 'service.', 'pushing', 'buck', 'back', 'forth', 'promising', 'callbacks', 'don’t', 'happen.', '#anger', '#loathing']",ira
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen.  #loathing,"['zero', 'help', '@ups', 'customer', 'service.', 'pushing', 'buck', 'back', 'forth', 'promising', 'callbacks', 'don’t', 'happen.', '#loathing']",Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen.  #loathing,"['zero', 'help', '@ups', 'customer', 'service.', 'pushing', 'buck', 'back', 'forth', 'promising', 'callbacks', 'don’t', 'happen.', '#loathing']",ira
Zephaniah 3:17 He surely is rejoicing over us with singing...such romance and so needed today!!,"['zephaniah', '3:17', 'surely', 'rejoicing', 'us', 'singing...such', 'romance', 'needed', 'today!!']",Zephaniah 3:17 He surely is rejoicing over us with singing...such romance and so needed today!!,"['zephaniah', '3:17', 'surely', 'rejoicing', 'us', 'singing...such', 'romance', 'needed', 'today!!']",felicidad
You're so cute @katienolan #truelove #hilarious @GarbageTime #beautiful &amp; #graceful never heard explicits spoken with such elegance. #Mingo,"['cute', '@katienolan', '#truelove', '#hilarious', '@garbagetime', '#beautiful', '&amp;', '#graceful', 'never', 'heard', 'explicits', 'spoken', 'elegance.', '#mingo']",You're so cute @katienolan #truelove #hilarious @GarbageTime #beautiful &amp; #graceful never heard explicits spoken with such elegance. #Mingo,"['cute', '@katienolan', '#truelove', '#hilarious', '@garbagetime', '#beautiful', '&amp;', '#graceful', 'never', 'heard', 'explicits', 'spoken', 'elegance.', '#mingo']",felicidad
Your twitter picture just makes me fume.,"['twitter', 'picture', 'makes', 'fume.']",Your twitter picture just makes me fume.,"['twitter', 'picture', 'makes', 'fume.']",ira
Your lion's heart\nWill protect you under stormy skies\nAnd I will always be listening for your laughter and your tears,"[""lion's"", 'heart\\nwill', 'protect', 'stormy', 'skies\\nand', 'always', 'listening', 'laughter', 'tears']",Your lion's heart\nWill protect you under stormy skies\nAnd I will always be listening for your laughter and your tears,"[""lion's"", 'heart\\nwill', 'protect', 'stormy', 'skies\\nand', 'always', 'listening', 'laughter', 'tears']",felicidad
Your boy' is having a nightmare @VivaLaSergio,"[""boy'"", 'nightmare', '@vivalasergio']",Your boy' is having a nightmare @VivaLaSergio,"[""boy'"", 'nightmare', '@vivalasergio']",miedo
"You will never find someone who loved you like I did. And that my love, will be my revenge.","['never', 'find', 'someone', 'loved', 'like', 'did.', 'love,', 'revenge.']","You will never find someone who loved you like I did. And that my love, will be my revenge.","['never', 'find', 'someone', 'loved', 'like', 'did.', 'love,', 'revenge.']",ira
"You take out Plata? Today tactical system and changes were a disaster, inexplicable, we respect Venezuela too much, you can't go out and play for a draw, because you end up losing it.","['take', 'plata?', 'today', 'tactical', 'system', 'changes', 'disaster,', 'inexplicable,', 'respect', 'venezuela', 'much,', ""can't"", 'go', 'play', 'draw,', 'end', 'losing', 'it.']","You take out Plata? Today tactical system and changes were a disaster, inexplicable, we respect Venezuela too much, you can't go out and play for a draw, because you end up losing it.","['take', 'plata?', 'today', 'tactical', 'system', 'changes', 'disaster,', 'inexplicable,', 'respect', 'venezuela', 'much,', ""can't"", 'go', 'play', 'draw,', 'end', 'losing', 'it.']",tristeza
You sure have a lot to say about something that doesn't even concern you 😉,"['sure', 'lot', 'say', 'something', 'even', 'concern']",You sure have a lot to say about something that doesn't even concern you 😉,"['sure', 'lot', 'say', 'something', 'even', 'concern']",miedo
you never call me when your sober,"['never', 'call', 'sober']",you never call me when your sober,"['never', 'call', 'sober']",tristeza
"you make my heart shake, bend and break.'","['make', 'heart', 'shake,', 'bend', ""break.'""]","you make my heart shake, bend and break.'","['make', 'heart', 'shake,', 'bend', ""break.'""]",miedo
You make me breathless.,"['make', 'breathless.']",You make me breathless.,"['make', 'breathless.']",miedo
"You know, you're pro-actively playful. You want to press your boobs into my face, Tatenashi. I'm not saying no, though. =3","['know,', 'pro-actively', 'playful.', 'want', 'press', 'boobs', 'face,', 'tatenashi.', ""i'm"", 'saying', 'no,', 'though.', '=3']","You know, you're pro-actively playful. You want to press your boobs into my face, Tatenashi. I'm not saying no, though. =3","['know,', 'pro-actively', 'playful.', 'want', 'press', 'boobs', 'face,', 'tatenashi.', ""i'm"", 'saying', 'no,', 'though.', '=3']",felicidad
You know you're in love when all you can do is smile whenever you talk about how he is to someone.,"['know', 'love', 'smile', 'whenever', 'talk', 'someone.']",You know you're in love when all you can do is smile whenever you talk about how he is to someone.,"['know', 'love', 'smile', 'whenever', 'talk', 'someone.']",felicidad
"You know what's great about #GBBO ? Contestants helping each other, cheering each other on. So important.","['know', ""what's"", 'great', '#gbbo', 'contestants', 'helping', 'other,', 'cheering', 'on.', 'important.']","You know what's great about #GBBO ? Contestants helping each other, cheering each other on. So important.","['know', ""what's"", 'great', '#gbbo', 'contestants', 'helping', 'other,', 'cheering', 'on.', 'important.']",felicidad
"You know for all Venezuelans go to Miami, everything is dedicated to the politicians who can leave the country.","['know', 'venezuelans', 'go', 'miami,', 'everything', 'dedicated', 'politicians', 'leave', 'country.']","You know for all Venezuelans go to Miami, everything is dedicated to the politicians who can leave the country.","['know', 'venezuelans', 'go', 'miami,', 'everything', 'dedicated', 'politicians', 'leave', 'country.']",tristeza
you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm #offended,"['know', 'cyran', 'still', 'done', 'makeup', 'based', ""jeongguk's"", 'tiddy', 'like', 'suggested', ""i'm"", '#offended']",you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm #offended,"['know', 'cyran', 'still', 'done', 'makeup', 'based', ""jeongguk's"", 'tiddy', 'like', 'suggested', ""i'm"", '#offended']",ira
you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm ,"['know', 'cyran', 'still', 'done', 'makeup', 'based', ""jeongguk's"", 'tiddy', 'like', 'suggested', ""i'm""]",you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm ,"['know', 'cyran', 'still', 'done', 'makeup', 'based', ""jeongguk's"", 'tiddy', 'like', 'suggested', ""i'm""]",ira
You have to find a way to top yourself. #glee,"['find', 'way', 'top', 'yourself.', '#glee']",You have to find a way to top yourself. #glee,"['find', 'way', 'top', 'yourself.', '#glee']",felicidad
You have to find a way to top yourself. ,"['find', 'way', 'top', 'yourself.']",You have to find a way to top yourself. ,"['find', 'way', 'top', 'yourself.']",felicidad
You have a #problem? Yes! Can you do #something about it? No! Than why #worry,"['#problem?', 'yes!', '#something', 'it?', 'no!', '#worry']",You have a #problem? Yes! Can you do #something about it? No! Than why #worry,"['#problem?', 'yes!', '#something', 'it?', 'no!', '#worry']",miedo
You have a #problem? Yes! Can you do #something about it? No! Than why ,"['#problem?', 'yes!', '#something', 'it?', 'no!']",You have a #problem? Yes! Can you do #something about it? No! Than why ,"['#problem?', 'yes!', '#something', 'it?', 'no!']",miedo
You ever just find that the people around you really irritate you sometimes? That's me right now ,"['ever', 'find', 'people', 'around', 'really', 'irritate', 'sometimes?', ""that's"", 'right']",You ever just find that the people around you really irritate you sometimes? That's me right now ,"['ever', 'find', 'people', 'around', 'really', 'irritate', 'sometimes?', ""that's"", 'right']",ira
You don't know what to expect by Brendon's video lmao LA devotee video got me shook #panic,"['know', 'expect', ""brendon's"", 'video', 'lmao', 'la', 'devotee', 'video', 'got', 'shook', '#panic']",You don't know what to expect by Brendon's video lmao LA devotee video got me shook #panic,"['know', 'expect', ""brendon's"", 'video', 'lmao', 'la', 'devotee', 'video', 'got', 'shook', '#panic']",miedo
You don't know what to expect by Brendon's video lmao LA devotee video got me shook ,"['know', 'expect', ""brendon's"", 'video', 'lmao', 'la', 'devotee', 'video', 'got', 'shook']",You don't know what to expect by Brendon's video lmao LA devotee video got me shook ,"['know', 'expect', ""brendon's"", 'video', 'lmao', 'la', 'devotee', 'video', 'got', 'shook']",miedo
You don't know how to love me when you're sober #sober #selenagomez #revival,"['know', 'love', 'sober', '#sober', '#selenagomez', '#revival']",You don't know how to love me when you're sober #sober #selenagomez #revival,"['know', 'love', 'sober', '#sober', '#selenagomez', '#revival']",tristeza
You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,"['complain', 'time', 'wonder', 'people', 'never', 'want', 'see', 'you.', 'acc', 'rile', 'up.', 'stfuuu!!!!']",You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,"['complain', 'time', 'wonder', 'people', 'never', 'want', 'see', 'you.', 'acc', 'rile', 'up.', 'stfuuu!!!!']",ira
you come running back to me saying how much you miss me then cower away when we acc try a friendship 👍🏼,"['come', 'running', 'back', 'saying', 'much', 'miss', 'cower', 'away', 'acc', 'try', 'friendship', '👍🏼']",you come running back to me saying how much you miss me then cower away when we acc try a friendship 👍🏼,"['come', 'running', 'back', 'saying', 'much', 'miss', 'cower', 'away', 'acc', 'try', 'friendship', '👍🏼']",miedo
You can't fight the elephants until you have wrestled the pigs. #quoteoftheday #relentless,"[""can't"", 'fight', 'elephants', 'wrestled', 'pigs.', '#quoteoftheday', '#relentless']",You can't fight the elephants until you have wrestled the pigs. #quoteoftheday #relentless,"[""can't"", 'fight', 'elephants', 'wrestled', 'pigs.', '#quoteoftheday', '#relentless']",ira
You can't fight the elephants until you have wrestled the pigs. #quoteoftheday ,"[""can't"", 'fight', 'elephants', 'wrestled', 'pigs.', '#quoteoftheday']",You can't fight the elephants until you have wrestled the pigs. #quoteoftheday ,"[""can't"", 'fight', 'elephants', 'wrestled', 'pigs.', '#quoteoftheday']",ira
"You can go to Venezuela and they guarantee you the same security as Ivan Marquez and other bandits of the FARC that take refuge in that country. So if you have two fingers on your head, get out of there....","['go', 'venezuela', 'guarantee', 'security', 'ivan', 'marquez', 'bandits', 'farc', 'take', 'refuge', 'country.', 'two', 'fingers', 'head,', 'get', 'there....']","You can go to Venezuela and they guarantee you the same security as Ivan Marquez and other bandits of the FARC that take refuge in that country. So if you have two fingers on your head, get out of there....","['go', 'venezuela', 'guarantee', 'security', 'ivan', 'marquez', 'bandits', 'farc', 'take', 'refuge', 'country.', 'two', 'fingers', 'head,', 'get', 'there....']",miedo
"You are late, you should at least give yourself the opportunity to leave Venezuela and never return to this pitiful country.","['late,', 'least', 'give', 'opportunity', 'leave', 'venezuela', 'never', 'return', 'pitiful', 'country.']","You are late, you should at least give yourself the opportunity to leave Venezuela and never return to this pitiful country.","['late,', 'least', 'give', 'opportunity', 'leave', 'venezuela', 'never', 'return', 'pitiful', 'country.']",ira
you are an angry glass of vodka,"['angry', 'glass', 'vodka']",you are an angry glass of vodka,"['angry', 'glass', 'vodka']",ira
You a fuck boy if you run drag routes back to back in madden,"['fuck', 'boy', 'run', 'drag', 'routes', 'back', 'back', 'madden']",You a fuck boy if you run drag routes back to back in madden,"['fuck', 'boy', 'run', 'drag', 'routes', 'back', 'back', 'madden']",ira
"Yo Yo Yo,my name is #DarthVader \nI feel like I need to puff on my inhaler (I'm no rapper but that was some sick bars)  #bars #rap","['yo', 'yo', 'yo,my', 'name', '#darthvader', '\\ni', 'feel', 'like', 'need', 'puff', 'inhaler', ""(i'm"", 'rapper', 'sick', 'bars)', '#bars', '#rap']","Yo Yo Yo,my name is #DarthVader \nI feel like I need to puff on my inhaler (I'm no rapper but that was some sick bars)  #bars #rap","['yo', 'yo', 'yo,my', 'name', '#darthvader', '\\ni', 'feel', 'like', 'need', 'puff', 'inhaler', ""(i'm"", 'rapper', 'sick', 'bars)', '#bars', '#rap']",miedo
Yo this 3 v 3 overtime in hockey got me sweaty damn this ish exhilarating,"['yo', 'overtime', 'hockey', 'got', 'sweaty', 'damn', 'ish', 'exhilarating']",Yo this 3 v 3 overtime in hockey got me sweaty damn this ish exhilarating,"['yo', 'overtime', 'hockey', 'got', 'sweaty', 'damn', 'ish', 'exhilarating']",felicidad
Yo there's a kid on my snap chat from LA &amp; they get high off helium gas lmao.... I am like why the fuck lol,"['yo', ""there's"", 'kid', 'snap', 'chat', 'la', '&amp;', 'get', 'high', 'helium', 'gas', 'lmao....', 'like', 'fuck', 'lol']",Yo there's a kid on my snap chat from LA &amp; they get high off helium gas lmao.... I am like why the fuck lol,"['yo', ""there's"", 'kid', 'snap', 'chat', 'la', '&amp;', 'get', 'high', 'helium', 'gas', 'lmao....', 'like', 'fuck', 'lol']",ira
"Yet we still have deaths, road rage, &amp; violations on the road, despite a widely accepted concept of 'personal accountability' while driving","['yet', 'still', 'deaths,', 'road', 'rage,', '&amp;', 'violations', 'road,', 'despite', 'widely', 'accepted', 'concept', ""'personal"", ""accountability'"", 'driving']","Yet we still have deaths, road rage, &amp; violations on the road, despite a widely accepted concept of 'personal accountability' while driving","['yet', 'still', 'deaths,', 'road', 'rage,', '&amp;', 'violations', 'road,', 'despite', 'widely', 'accepted', 'concept', ""'personal"", ""accountability'"", 'driving']",ira
yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,"['yesterday', 'finished', 'watching', 'penny', 'dreadful', 'beautiful', 'things', 'saw', 'one', 'question', 'remains:', 'writers', ""him's"", 'fans?']",yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,"['yesterday', 'finished', 'watching', 'penny', 'dreadful', 'beautiful', 'things', 'saw', 'one', 'question', 'remains:', 'writers', ""him's"", 'fans?']",miedo
"Yes, what a shame. And Maduro is making this country more unlivable every day and further away from leaving the oppression, more difficult to get out of it....","['yes,', 'shame.', 'maduro', 'making', 'country', 'unlivable', 'every', 'day', 'away', 'leaving', 'oppression,', 'difficult', 'get', 'it....']","Yes, what a shame. And Maduro is making this country more unlivable every day and further away from leaving the oppression, more difficult to get out of it....","['yes,', 'shame.', 'maduro', 'making', 'country', 'unlivable', 'every', 'day', 'away', 'leaving', 'oppression,', 'difficult', 'get', 'it....']",tristeza
Y'all tune into Snapchat for Beans funereal,"[""y'all"", 'tune', 'snapchat', 'beans', 'funereal']",Y'all tune into Snapchat for Beans funereal,"[""y'all"", 'tune', 'snapchat', 'beans', 'funereal']",tristeza
"Y'all really insult coz of soccer???  Lmao, wow!!!!!!","[""y'all"", 'really', 'insult', 'coz', 'soccer???', 'lmao,', 'wow!!!!!!']","Y'all really insult coz of soccer???  Lmao, wow!!!!!!","[""y'all"", 'really', 'insult', 'coz', 'soccer???', 'lmao,', 'wow!!!!!!']",ira
"Yahweh your God is among you, a warrior who saves. He will rejoice over you with gladness.","['yahweh', 'god', 'among', 'you,', 'warrior', 'saves.', 'rejoice', 'gladness.']","Yahweh your God is among you, a warrior who saves. He will rejoice over you with gladness.","['yahweh', 'god', 'among', 'you,', 'warrior', 'saves.', 'rejoice', 'gladness.']",felicidad
ya boy gets mad tired of pine trees,"['ya', 'boy', 'gets', 'mad', 'tired', 'pine', 'trees']",ya boy gets mad tired of pine trees,"['ya', 'boy', 'gets', 'mad', 'tired', 'pine', 'trees']",tristeza
Wow the #Denver housing market is #depressing no places to buy in my range 😢 #FML,"['wow', '#denver', 'housing', 'market', '#depressing', 'places', 'buy', 'range', '#fml']",Wow the #Denver housing market is #depressing no places to buy in my range 😢 #FML,"['wow', '#denver', 'housing', 'market', '#depressing', 'places', 'buy', 'range', '#fml']",tristeza
wow if i need to start over on SIF im prob gonna just die,"['wow', 'need', 'start', 'sif', 'im', 'prob', 'gonna', 'die']",wow if i need to start over on SIF im prob gonna just die,"['wow', 'need', 'start', 'sif', 'im', 'prob', 'gonna', 'die']",miedo
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,"['wow', 'almost', 't-mobile', 'stores', 'san', 'diego', 'note7', 'replacements', '#sadness', 'need', 'get', 'mine', 'replaced']",wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,"['wow', 'almost', 't-mobile', 'stores', 'san', 'diego', 'note7', 'replacements', '#sadness', 'need', 'get', 'mine', 'replaced']",tristeza
Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18,"['worst', 'juror', 'ever?', 'michelle.', ""nicole's"", 'biggest', 'threat.', '#bitter', '#bb18']",Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18,"['worst', 'juror', 'ever?', 'michelle.', ""nicole's"", 'biggest', 'threat.', '#bitter', '#bb18']",ira
Worst juror ever? Michelle. You were Nicole's biggest threat.  #bb18,"['worst', 'juror', 'ever?', 'michelle.', ""nicole's"", 'biggest', 'threat.', '#bb18']",Worst juror ever? Michelle. You were Nicole's biggest threat.  #bb18,"['worst', 'juror', 'ever?', 'michelle.', ""nicole's"", 'biggest', 'threat.', '#bb18']",ira
"Worse, sometimes. In Venezuela they took away individual rights in exchange for nothing: neither security nor welfare. If you have the opportunity to do yourself a favor and leave....","['worse,', 'sometimes.', 'venezuela', 'took', 'away', 'individual', 'rights', 'exchange', 'nothing:', 'neither', 'security', 'welfare.', 'opportunity', 'favor', 'leave....']","Worse, sometimes. In Venezuela they took away individual rights in exchange for nothing: neither security nor welfare. If you have the opportunity to do yourself a favor and leave....","['worse,', 'sometimes.', 'venezuela', 'took', 'away', 'individual', 'rights', 'exchange', 'nothing:', 'neither', 'security', 'welfare.', 'opportunity', 'favor', 'leave....']",tristeza
World is facing #terrorism. Where #Terrorist's school exist? Who are terrorist's teacher &amp; father. Which is terrorist's motherland?,"['world', 'facing', '#terrorism.', ""#terrorist's"", 'school', 'exist?', ""terrorist's"", 'teacher', '&amp;', 'father.', ""terrorist's"", 'motherland?']",World is facing #terrorism. Where #Terrorist's school exist? Who are terrorist's teacher &amp; father. Which is terrorist's motherland?,"['world', 'facing', '#terrorism.', ""#terrorist's"", 'school', 'exist?', ""terrorist's"", 'teacher', '&amp;', 'father.', ""terrorist's"", 'motherland?']",miedo
Working with enthusiasm to provide the Venezuelan people with security and they still want to leave.,"['working', 'enthusiasm', 'provide', 'venezuelan', 'people', 'security', 'still', 'want', 'leave.']",Working with enthusiasm to provide the Venezuelan people with security and they still want to leave.,"['working', 'enthusiasm', 'provide', 'venezuelan', 'people', 'security', 'still', 'want', 'leave.']",tristeza
