,si,negociación,cambio,maduro,oposición,país,sanciones,política,gob,puede,gobierno,venezuela,vzla,problema,diésel,pues,políticos,crisis,estrategia,elección,político,ahora,acuerdos,usa,hoy,población,gente,poder,sino,condiciones,siempre,cambios,ser,votar,gracias,lucha,aunque,confianza,hace,claro,negociar,proceso,menos,frente,moneda,sector,participación,mismo,vida,guaidó,cualquier,abstención,tiempo,internacional,sólo,va,elecciones,capacidad,parte,negociaciones,¿qué,parece,partes,posibilidad,divisas,resolver,ayuda,control,hacer,acuerdo,economía,interna,mayoría,humanitarios,debe,biden,allá,puedes,opo,importante,mientras,todas,evento,realidad,humanitaria,apertura,pob,real,éxito,producción,instituciones,acción,decisión,abastecimiento,obvio,resultado,tema,tener,países,ninguna,tweet_tokenized
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['un', 'abrazo', 'para', 'todos', 'los', 'periodistas', 'en', 'su', 'día', 'que', 'sigan', 'haciendo', 'su', 'trabajo', 'pese', 'las', 'limitaciones', 'riesgos', 'es', 'una', 'muestra', 'de', 'compromiso', 'pasión', 'valor']"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['lo', 'notable', 'era', 'la', 'division', 'descalificaciones', 'que', 'se', 'lanzaban', 'el', 'resentimiento', 'que', 'supuraban', 'estás', 'conmigo', 'contra', 'mí', 'tuvo', 'ingredientes', 'para', 'su', 'pesimismo', '¿quién', 'cedería', 'los', 'que', 'más', 'gritaban', 'eran', 'quienes', 'pedían', 'no', 'ceder', 'jamás”', 'tranquilo', 'es', 'padura', 'hablando', 'de', 'los', 'cubanos']"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['cristina', 'aguilera', 'ochoa', 'cotuficcion', 'compite', 'en', 'el', 'nespresso', 'talents', 'en', 'la', 'categoría', 'film', 'school', 'award', 'los', 'ganadores', 'se', 'darán', 'conocer', 'en', 'el', 'festival', 'de', 'cannes', 'en', 'julio', 'aquí', 'está', 'el', 'enlace', 'su', 'video', 'es', 'sensacional', 'muchísima', 'suerte']"
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'la', 'dolarización', 'transaccional', 'de', 'vzla', 'alcanza', 'ya', 'casi', 'el', 'de', 'las', 'transacciones', 'totales', 'es', 'un', 'proceso', 'irreversible”', 'luisvicenteleon']"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tendencias', 'del', 'consumidor', 'vzlano', 'datanalisis', 'luego', 'de', 'una', 'destrucción', 'de', 'tres', 'cuartas', 'partes', 'del', 'pib', 'desde', 'las', 'proyecciones', 'muestran', 'una', 'primera', 'estabilización', 'aunque', 'dejando', 'una', 'economía', 'significativamente', 'más', 'pequeña', 'que', 'su', 'tamaño', 'histórico”', 'francisco', 'allen']"
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tendencias', 'del', 'consumidor', 'venezolano', 'la', 'pérdida', 'de', 'poder', 'de', 'compra', 'interna', 'del', 'dólar', 'en', 'venezuela', 'ha', 'sido', 'de', 'entre', 'enero', 'abril', 'debido', 'al', 'desfase', 'entre', 'devaluación', 'inflación”', 'francisco', 'allen']"
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'si', 'bien', 'la', 'pandemia', 'ha', 'estimulado', 'el', 'crecimiento', 'regional', 'de', 'la', 'compra', 'por', 'internet', 'en', 'el', 'caso', 'vzlano', 'su', 'penetracion', 'es', 'significativamente', 'inferior', 'que', 'el', 'promedio', 'regional', 'carlosjimenez']"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'los', 'consumidores', 'locales', 'presentan', 'la', 'menor', 'fidelidad', 'de', 'marcas', 'de', 'toda', 'la', 'región', 'latinoamericana', 'llegando', 'apenas', 'del', 'frente', 'un', 'promedio', 'latino', 'de', 'carlosjimenez']"
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tendencias', 'del', 'consumidor', 'venezolano', 'datanalisis', 'de', 'los', 'consumidores', 'locales', 'manifiestan', 'comparar', 'precios', 'antes', 'de', 'comprar', 'una', 'penetración', 'de', 'casi', 'el', 'doble', 'que', 'sus', 'pares', 'latinoamericanos', 'lo', 'que', 'indica', 'su', 'mayor', 'sensibilidad”', 'carlosjimenez']"
10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['gracias', 'nuestros', 'patrocinantes', 'cocuyleal', 'banplusonline', 'jvhcorp', 'ingritechven', 'delcopve', 'idcartonaje', 'jamonarichuna', 'cloverfilevzla', 'traslados', 'horas', 'lapieldetuhogar', 'simpletvve', 'kores', 'venezuela', 'movistar', 'alimentosmaryve', 'ceproalarm', 'gpcconsulting', 'pagochinchin']"
