frequency,bigram/trigram
43,delcy rodríguez
31,nicolás maduro
28,covid 19
24,casos confirmados
20,maduro anuncia
18,rodríguez anuncia
18,jorge rodríguez
17,nuevos casos
11,nuevos casos confirmados
11,jj rendón
11,delcy rodríguez anuncia
10,europea medicamentos
10,cnn jj rendón
10,cnn jj
10,agencia europea medicamentos
10,agencia europea
8,rodríguez informa
8,ministra exteriores
8,ley antibloqueo
7,primer ministro
7,nicolás maduro anuncia
7,dos semanas
7,donald trump
7,diosdado cabello
7,delcy rodríguez informa
6,venezuela reporta
6,simón jiménez
6,rafael simón jiménez
6,rafael simón
6,jorge rodríguez anuncia
6,distrito capital
6,casos covidー19
5,variante brasileña
5,vacuna astrazeneca
5,partir mañana
5,ministro exteriores
5,millones vacunados
5,debe ser
5,confirmados covid 19
5,confirmados covid
5,colegio electoral
5,casos confirmados covid
5,60 años
5,50 maduro
5,45 maduro
5,30 días
4,urgente delcy rodríguez
4,urgente delcy
4,trump anuncia
4,transición pacífica
4,toque queda
4,tomar medidas
4,siete días
4,reino unido
4,pruebas pcr
4,palacio miraflores
4,pacífica poder
4,nuevas muertes
4,menores 60 años
4,menores 60
4,luego 20
4,laboratorio biología molecular
4,laboratorio biología
4,efectos secundarios
4,cleversafo mauriciolunap
4,biología molecular
4,16 agencia europea
4,16 agencia
4,12 maduro
4,08 maduro
3,wendy sulca
3,washington dc
3,votos colegio electoral
3,votos colegio
3,vacuna sputnik
3,urgente donald trump
3,urgente donald
3,tomar cuenta
3,rueda prensa
3,rodríguez afirma
3,puestos vacunación
3,próxima semana
3,prodavinci willymckey
3,presidente electo
3,plaquetas bajas
3,personas mayores
3,partir lunes
3,partido republicano
3,omar prieto
3,número casos
3,miranda vargas
3,miranda distrito capital
3,miranda distrito
3,ministro defensa
3,ministerio salud
3,millones dólares
3,medicamentos eventos
3,mayor número
3,mario silva
3,maduro presenta
3,maduro informa
3,luego 20 enero
3,instituciones democráticas
3,héctor rodríguez
3,hace días
3,gash276 gracias
3,fuegos artificiales
3,fox news
3,four seasons
3,flexibilización parcial
3,feliz cumpleaños
3,eventos trombóticos
3,eventos coágulos
3,europea medicamentos eventos
3,ensayos clínicos
3,endsequera eliastovard
3,donald trump anuncia
3,departamento tesoro
3,debe haber
3,cuatro años
3,cuarentena radical
3,corte suprema
3,confirmados covidー19
3,casos covid 19
3,casos covid
3,casos confirmados covidー19
3,casa blanca
3,carlos alvarado
3,asamblea nacional
3,asalto congreso
3,anuncia nuevo
3,anc aprueba
3,actividades laborales
3,52 maduro
3,36 cnn jj
3,36 cnn
3,30 maduro
3,30 jorge rodríguez
3,30 jorge
3,24 maduro
3,24 horas
3,23 cnn jj
3,23 cnn
3,20 enero
3,18 maduro
3,100 mil
3,07 maduro
3,00 nicolás maduro
3,00 nicolás
2,últimos siete días
2,últimos siete
2,últimas 24 horas
2,últimas 24
2,época alemania
2,vuelos provenientes europa
2,vuelos provenientes
2,votaron 74 millones
2,votaron 74
2,virus habló mal
2,virus habló
2,violentos intentos frustrar
2,violentos intentos
2,vio venir
2,viendo canales
2,ver si
2,venir enero
2,venezuela reporta mayor
2,venezuela pagó
2,variante p1
2,vargas bolívar
2,vacunas sputnik
2,vacunación astrazeneca
2,vacuna janssen
2,vacuna dentro vacuna
2,vacuna dentro
2,va haber
2,urgente maduro
2,urgente 12
2,urgente 05
2,unión europea
2,unidos enorgullece razón
2,unidos enorgullece
2,trump declara emergencia
2,trump declara
2,trombóticos vacuna
2,transición poder legítima
2,transición poder
2,transición pacífica poder
2,transferencia pacífica poder
2,transferencia pacífica
2,trabajador maiquetia infectado
2,trabajador maiquetia
2,total landscaping
2,tipo leyes
2,tiempos covid
2,tesoro extiende
2,territorio venezolano
2,tareck aissami
2,suspensión clases
2,sirva venezolanos
2,siempre recordaremos
2,si tan
2,si alguien
2,ser betaranger
2,semanas posteriores vacunación
2,semanas posteriores
2,semana viene
2,semana santa
2,segunda parte
2,segunda ola pudiera
2,segunda ola
2,seguir operando
2,seguimiento covidー19
2,secundarios raros vacuna
2,secundarios raros
2,sectores exceptuados
2,sectores económicos
2,santa teresa
2,roger stone
2,rodríguez recibe
2,rodríguez indica
2,ricardobarbar luusalomon
2,reunión seguimiento covidー19
2,reunión seguimiento
2,resistente profundamente arraigada
2,resistente profundamente
2,reporta mayor número
2,reporta mayor
2,rectores cne
2,record nuevos casos
2,record nuevos
2,rechaza asalto congreso
2,rechaza asalto
2,reanudar vacunación astrazeneca
2,reanudar vacunación
2,razón democracia puede
2,razón democracia
2,raros vacuna
2,quince años
2,quiero ser betaranger
2,quiero ser
2,quedarse casa
2,quedan exceptuados
2,punto vista
2,puede ser
2,puede haber ninguna
2,puede haber
2,pudiera venir enero
2,pudiera venir
2,ptfrozen econ_vzla
2,próximos días
2,próximas horas
2,provenientes europa
2,protocolos sectores
2,profundamente arraigada
2,primeros casos
2,primera fase
2,presidente banco
2,preparémonos navidad niño
2,preparémonos navidad
2,preocupación acontecimientos
2,posteriores vacunación
2,positivo covidー19
2,poliedro caracas atender
2,poliedro caracas
2,poder legítima adecuada
2,poder legítima
2,plena confianza
2,plaza bolívar
2,plaquetas bajas sangre
2,plan flexibilización
2,pcr positivo
2,país covidー19
2,partir noviembre
2,partido demócrata
2,par días
2,pandemia covidー19
2,palacio miraflores covidー19
2,pacientes covid 19
2,pacientes covid
2,originada brasil
2,orianbrito thaisalemg
2,operación suicida
2,ola pudiera venir
2,ola pudiera
2,ocurrió hace
2,nuevos casos covidー19
2,nuevos casos covid
2,nuevo récord
2,nuevo impuesto
2,nuevo esquema
2,nuevas muertes pcr
2,nuevas muertes covid
2,nueva ola
2,nueva modalidad
2,nueva fase
2,niño jesús
2,ninguna justificación violentos
2,ninguna justificación
2,nicolás maduro presenta
2,nicolás maduro informa
2,navidad niño jesús
2,navidad niño
2,naky jakyarazi
2,muertes pcr positivo
2,muertes pcr
2,muertes covid 19
