,word,count
0,elsaovalles,1
1,universateradio,2
2,muchas,13
3,gracias,46
4,elsa,1
5,saludos,1
6,gabodominguezc,1
7,kellogginst,2
8,pana,4
9,gustavobaquero,1
10,gustavo,1
11,¡gracias,3
12,¡orgulloso,2
13,ser,32
14,ucabista,1
15,¡muy,1
16,feliz,6
17,reconocimiento,4
18,cosa,3
19,preocuparnos,1
20,negligencia,1
21,inactividad,2
22,autoridades,7
23,venezolanas,1
24,puede,18
25,traer,1
26,nefastas,1
27,consecuencias,1
28,resumen,2
29,debemos,11
30,sacar,2
31,proporción,1
32,alcance,1
33,impacto,1
34,tampoco,4
35,hacernos,1
36,eco,3
37,noticias,5
38,maliciosas,1
39,parecieran,2
40,busca,4
41,hacer,18
42,daño,1
43,instancias,3
44,eventualmente,2
45,pueden,13
46,necesarias,1
47,aportar,1
48,búsqueda,1
49,justicia,30
50,toda,6
51,instancia,3
52,internacional,6
53,decisiones,5
54,vienen,1
55,dadas,1
56,después,16
57,sustanciados,1
58,procesos,1
59,documentación,1
60,buscan,2
61,respetar,3
62,derechos,40
63,todas,11
64,parte,17
65,si,69
66,incluye,2
67,procesados,1
68,finalmente,1
69,opinión,3
70,personal,1
71,cpi,6
72,importante,12
73,metas,1
74,encomiables,1
75,lenta,1
76,efectividad,2
77,limitada,1
78,mal,6
79,índice,3
80,implementación,1
81,podemos,9
82,pensar,2
83,misma,5
84,va,10
85,resolver,1
86,problema,8
87,pienso,1
88,información,17
89,difundida,1
90,periodista,2
91,incorrecta,2
92,además,7
93,preocupó,1
94,respuesta,4
95,hilo,2
96,pasado,2
97,persecución,4
98,xenofobia,2
99,viviendo,1
100,compatriotas,1
101,sigamos,2
102,expresando,1
103,así,33
104,grave,2
105,aún,10
106,preocupa,7
107,discurso,12
108,racista,1
109,agresivo,1
110,leo,3
111,personas,23
112,hablar,5
113,tema,2
114,muestra,11
115,invito,3
116,pasar,4
117,respuestas,1
118,mensajes,4
119,maibortpetit,2
120,entiendo,7
121,favorece,1
122,insultando,1
123,tildando,1
124,corruptos,1
125,vendidos,1
126,inútiles,1
127,jueces,7
128,relatores,2
129,altos,1
130,comisionados,4
131,fiscales,2
132,internacionales,3
133,cuales,6
134,requerimos,1
135,avanzar,1
136,procedimientos,6
137,hace,22
138,bien,26
139,avanzará,1
140,judiciales,1
141,difundiendo,1
142,verificadas,1
143,difamar,1
144,cargo,1
145,investigaciones,3
146,decisión,15
147,emitió,1
148,raíz,1
149,comunicación,2
150,mandaran,1
151,presidentes,2
152,países,2
153,insistiendo,1
154,apertura,1
155,investigación,5
156,internos,1
157,llevada,1
158,cabo,4
159,fiscalía,5
160,ocasión,1
161,decidió,1
162,asignar,1
163,pre,2
164,trial,1
165,chamber,1
166,camára,1
167,juicio,17
168,revisión,6
169,resultados,4
170,preliminar,2
171,presentado,4
172,cámara,2
173,emitido,1
174,mantiene,3
175,sub,1
176,páginas,5
177,casos,5
178,abiertas,7
179,venezuela,28
180,última,2
181,actuación,2
182,septiembre,1
183,difunde,1
184,oficial,6
185,través,3
186,página,4
187,web,4
188,hecho,12
189,refleja,2
190,ocurrido,2
191,actuaciones,1
192,procesales,2
193,semana,9
194,abajo,1
195,derecha,2
196,corre,1
197,redes,1
198,supuesta,1
199,abierta,1
200,corte,26
201,penal,3
202,fiscal,7
203,falta,7
204,acción,2
205,relacionados,1
206,fuente,2
207,atrevo,1
208,decir,16
209,falso,3
210,estimada,1
211,maibort,1
212,¿de,2
213,dónde,1
214,sale,3
215,sesión,14
216,procesal,1
217,días,14
218,ver,17
219,menciona,1
220,¿existe,1
221,merecido,1
222,respeto,11
223,sido,12
224,maestra,2
225,guía,1
226,generación,4
227,defensores,1
228,cariño,1
229,ligiabolivar,13
230,frases,1
231,socialistas,1
232,pro,1
233,maduro,10
234,eeuu,4
235,blanco,3
236,venezolano,20
237,dices,2
238,hablas,1
239,tan,13
240,inglés,1
241,¿si,1
242,racismo,1
243,elitismo,1
244,empaquetado,1
245,socialista”,1
246,hoy,70
247,cumplen,2
248,ingeniero,2
249,roberto,1
250,picón,1
251,arbitrariamente,1
252,detenido,1
253,helicoide,1
254,inocente,1
255,liberenarobertopicon,1
256,liberenlosya,1
257,egomezlollett,1
258,faltan,3
259,buenos,4
260,juanandresmejia,3
261,leopoldo,19
262,newest,1
263,arbitrary,2
264,detention,2
265,demonstrates,1
266,once,2
267,again,2
268,that,2
269,is,6
270,political,1
271,prisoner,1
272,of,8
273,the,20
274,venezuelan,2
275,government,2
276,without,1
277,warrant,1
278,or,5
279,judicial,16
280,order,1
281,leopoldolopez,55
282,was,2
283,removed,1
284,from,2
285,his,2
286,home,2
287,and,14
288,arbitrarily,1
289,detained,1
290,nueva,3
291,detención,6
292,arbitraria,6
293,confirma,1
294,preso,3
295,político,4
296,gobierno,15
297,secuestró,1
298,sebin,2
299,traslado,3
300,orden,3
301,secuestro,1
302,procedimiento,5
303,alguno,3
304,llevaron,3
305,casa,6
306,nuevamente,1
307,dolor,1
308,impotencia,1
309,lucharemos,1
310,libertad,24
311,liberenagraffe,1
312,activista,2
313,comprometido,1
314,causas,2
315,demás,3
316,carlosgraffe,3
317,debe,27
318,liberado,2
319,amigo,4
320,secuestrado,1
321,presuntos,1
322,cuerpos,3
323,seguridad,5
324,libertado,1
325,única,6
326,inepta,1
327,acumulación,1
328,tsj,14
329,magistrados,2
330,sepan,1
331,tweet,9
332,anterior,2
333,himno,1
334,colegio,2
335,difícil,4
336,deja,10
337,canción,4
338,miguelito,1
339,juramos,1
340,jóvenes,13
341,cristo,1
342,luchar,7
343,patria,5
344,morir,1
345,juventud,2
346,mañana,19
347,adelante,2
348,combatir,1
349,muertes,1
350,duelen,1
351,ignacianos,1
352,luto,1
353,perdió,1
354,vida,4
355,luchando,8
356,jessikale,1
357,ninguno,3
358,dos,4
359,ahora,38
360,videos,2
361,viejos,4
362,aislamiento,2
363,castigo,1
364,viola,3
365,reglas,2
366,mandela,1
367,mínimas,1
368,tratamiento,1
369,reclusos,1
370,familia,1
371,abogados,10
372,acceso,5
373,dcabellor,3
374,dice,22
375,haber,7
376,entrado,1
377,restricciones,1
378,ramo,12
379,verde,13
380,am,14
381,niegan,2
382,responden,2
383,cárcel,8
384,profetas,1
385,repitan,1
386,dormidos,1
387,social,2
388,derecho,22
389,bienestar,1
390,suprema,1
391,felicidad,1
392,misiones,1
393,¿cómo,8
394,explicó,1
395,clase,10
396,constitucional,9
397,convocatoria,10
398,constituyente,9
399,fraude,9
400,siguiendo,1
401,mínimos,1
402,establece,4
403,evidente,1
404,pm,5
405,decreto,2
406,firma,2
407,solo,19
408,artículo,8
409,habla,16
410,presidente,11
411,refrendada,1
412,ministros,3
413,forma,5
414,lealtad,1
415,pueblo,6
416,¿sin,1
417,voto,6
418,eligiendo,1
419,años,20
420,hablando,7
421,constitución,8
422,obra,1
423,revolución,5
424,terminarla,1
425,mataron,1
426,minoría,2
427,democrática,2
428,aplastar,1
429,cree,1
430,acabar,2
431,republicana,1
432,basada,1
433,representatividad,1
434,visto,4
435,firmado,3
436,consejo,5
437,desconoce,2
438,legítimos,1
439,representantes,6
440,electos,1
441,asamblea,3
442,nacional,8
443,atenta,1
444,principios,5
445,fundamentales,1
446,arts,1
447,crbv,3
448,elige,1
449,consejos,1
450,comunales,1
451,órganos,3
452,ejecutivo,4
453,respeta,2
454,principio,2
455,fundamental,1
456,universal,1
457,directo,2
458,secreto,1
459,prevé,2
460,elecciones,12
461,superior,1
462,cualquier,3
463,insólito,4
464,tristemente,2
465,defensor,5
466,defiende,2
467,mismo,13
468,sr,5
469,dejar,8
470,política,11
471,humanos,13
472,usted,2
473,coherencia,2
474,bolivariana,1
475,año,8
476,ahorro,1
477,energetico,1
478,slogan,1
479,navidad,2
480,prendan,1
481,luz,2
482,hastaquesesequeguri,1
483,medio,7
484,malo,5
485,razón,2
486,cumple,6
487,privado,5
488,conquistan,2
489,haremos,3
490,nuevo,8
491,juanmanuelbaena,1
492,anniewalshe,1
493,alvarezgales,2
494,¡es,4
495,sirve,2
496,salen,2
497,exilios,1
498,forzosos,1
499,medidas,4
500,sustitutivas,1
501,igual,10
502,coartan,1
503,celebramos,2
504,salida,7
505,presos,7
506,seguir,12
507,comprometidos,6
508,lucha,8
509,quedan,2
510,injustamente,3
511,¿quiere,2
512,confirmar,1
513,división,3
514,poderes,8
515,pregúntese,1
516,liberan,2
517,manera,4
518,express,1
519,reunión,2
520,liderazgo,1
521,ignaciano,1
522,asunto,4
523,nacionalidad,2
524,iba,4
525,ningún,6
526,lado,3
527,necesitado,1
528,sentencia,25
529,afirmarlo,1
530,¡no,4
531,discuta,1
532,obtiene,2
533,nacimiento,1
534,naturalización,1
535,paga,2
536,propagandas,1
537,radio,2
538,mientras,6
539,tribunales,3
540,papel,4
541,toner,1
542,imprimir,1
543,sentencias,4
544,prioridadesbolivarianas,1
545,persona,5
546,decide,2
547,encuesta,1
548,twitter,3
549,diosdado,3
550,reusando,2
551,fotos,3
552,diferencias,1
553,tarima,2
554,toldos,1
555,misión,1
556,vivienda,1
557,terminar,4
558,ahhhh,3
559,cierto,3
560,diosdi,2
561,toldo,1
562,foto,2
563,edificios,1
564,listos,1
565,grúas,1
566,bolivar,1
567,inherentes,2
568,cada,12
569,exigirse,1
570,ddhh,28
571,ucab,13
572,digo,1
573,alumnos,2
574,conquistas,1
575,ciudadanas,1
576,resuena,1
577,mas,12
578,nunca,12
579,¿el,1
580,privacidad,1
581,presunción,1
582,inocencia,1
583,tiranoconfeso,1
584,caso,12
585,heridas,1
586,militares,3
587,civiles,3
588,deberían,6
589,control,2
590,manifestaciones,1
591,solución,2
592,fácil,3
593,desmilitaricen,1
594,ciudad,1
595,queden,1
596,cuarteles,1
597,garantiza,1
598,evitar,2
599,show,6
600,predicen,1
601,detenciones,2
602,arbitrarias,2
603,normal,2
604,condenarlas,1
605,oponernos,1
606,fuerza,11
607,entender,3
608,acciones,1
609,infundir,1
610,miedo,2
611,venceremos,1
612,utilizaremos,1
613,motor,1
614,jueves,2
615,cabello,1
616,vez,20
617,dictando,1
618,imponiendo,1
619,pena,4
620,medie,1
621,defensa,17
622,tabarevazquez,1
623,secmercosur,4
624,velar,4
625,democracia,13
626,región,4
627,vzla,13
628,dictadura,6
629,represión,8
630,liberenapanchoygabo,5
631,mreparaguay,1
632,susanamalcorra,1
633,mauriciomacri,1
634,fmarquez,16
635,gsanmiguelr,7
636,delcy,1
637,diálogo,4
638,promovido,3
639,expresidentes,1
640,claro,6
641,oea,4
642,sigan,3
643,emiduarte,1
644,haciendo,8
645,livetweet,1
646,completo,2
647,ve,10
648,hora,19
649,van,7
650,noche,6
651,detenidos,5
652,instalación,1
653,militar,6
654,presentados,3
655,permitido,2
656,asistirlos,1
657,my,5
658,friend,1
659,nicolas,1
660,most,1
661,recent,1
662,gabriel,1
663,ir,7
664,caracas,5
665,portuguesa,3
666,ayudar,3
667,validación,2
668,firmas,4
669,pancho,1
670,respeten,4
671,vamos,14
672,arbitrariedades,1
673,revocarlos,1
674,muestras,4
675,palpables,1
676,arbitrariedad,1
677,inexistencia,6
678,tener,8
679,efectivo,1
680,asistan,1
681,múltiples,1
682,interrogatorios,1
683,mantienen,1
684,destacamento,1
685,guardia,4
686,municipio,1
687,anzoátegui,1
688,cojedes,1
689,colegas,1
690,siguen,9
691,acá,9
692,país,19
693,mejorarlo,1
694,casi,5
695,horas,6
696,privados,1
697,impute,1
698,delito,2
699,diga,5
700,porqué,2
701,anoche,2
702,detuvieron,3
703,amigos,2
704,iban,1
705,verificación,2
706,sala,15
707,const,2
708,cita,2
709,varias,1
710,veces,4
711,naciones,1
712,unidas,1
713,¿qué,5
714,diría,1
715,hablan,6
716,superiores,1
717,garantía,1
718,¿la,2
719,pensó,2
720,inejecutó,1
721,corteidh,5
722,ejemplo,3
723,proporcionalidad,2
724,razonabilidad,1
725,momento,9
726,restringir,1
727,ceballos,12
728,verdad,14
729,doctrina,1
730,garantista,2
731,mismos,6
732,citan,1
733,contraria,1
734,gran,6
735,mayoría,3
736,últimos,2
737,aparentemente,1
738,alguien,4
739,sabe,3
740,citar,1
741,contenido,5
742,saben,3
743,significan,1
744,rato,2
745,dejó,1
746,dictar,1
747,proclamas,1
748,políticas,2
749,palabras,6
