tweet_translated_tokenized,sentiment,NB,SVM,DF,MaxEnt
"['read', 'listen', 'today', 'things', 'like', 'prisoners', 'human', 'rights', 'example', 'nayibbukele', 'throwing', 'away', 'many', 'years', 'efforts', 'sacrifices', 'studies', 'advances', 'fortunately', 'minority', 'wisdom', 'humanity', 'prevail', 'ddhh']",Positivo,Positivo,Positivo,Positivo,Positivo
"['minister', 'prison', 'service', 'irisvarela', 'announces', 'review', 'files', 'deprived', 'liberty', 'guanare', 'prison', 'order', 'take', 'measures', 'result', 'events', 'recently', 'occurred']",Negativo,Positivo,Positivo,Negativo,Positivo
"['fidelrodv', 'edurodriguezg', 'marypilih', 'onipvenezuela', 'madeinprisoncol', 'jmvivancohrw', 'unhumanrights', 'dsmilde', 'ventanalibertad', 'certainly', 'life', 'cannot', 'returned', 'investigations', 'carried', 'first', 'punish', 'responsible', 'compensate', 'family', 'members', 'correct', 'promptly', 'evils', 'disturb', 'operation', 'prison', 'overcrowding']",Negativo,Positivo,Positivo,Negativo,Positivo
"['read', 'although', 'country', 'sights', 'set', 'facts', 'bag', 'important', 'forget', 'happened', 'guanare', 'prison', 'victims', 'families', 'must', 'compensated', 'rights', 'justice', 'must', 'accompany', 'leave', 'part', 'penitentiary', 'organic', 'code']",Negativo,Positivo,Positivo,Positivo,Positivo
"['purpose', 'unfortunate', 'event', 'occurred', 'guanare', 'prison', 'need', 'get', 'tune', 'prison', 'system']",Negativo,Positivo,Positivo,Negativo,Positivo
"['goes', 'organization', 'onipvenezuela', 'advancing', 'awareness', 'campaign', 'prisons', 'relationship', 'society', 'importance', 'edurodriguezg', 'unrightslive', 'unoticias', 'cnietopalma', 'cdh', 'ucab', 'larrydevoe']",Positivo,Positivo,Positivo,Negativo,Positivo
"['fidelrodv', 'open', 'prisons', 'like', 'guanare', 'reason', 'possible', 'implement', 'new', 'regime', 'controls', 'less', 'forms', 'organization', 'come', 'prison', 'population', 'imposed']",Negativo,Positivo,Positivo,Negativo,Positivo
"['fidelrodv', 'currently', 'venezuela', 'forms', 'know', 'penitentiary', 'regime', 'one', 'new', 'regime', 'one', 'see', 'deprived', 'liberty', 'wear', 'uniforms', 'make', 'closed', 'order', 'visits', 'level', 'control', 'among', 'things']",Positivo,Positivo,Positivo,Positivo,Positivo
"['noted', 'guanare', 'prison', 'one', 'centers', 'open', 'work', 'new', 'regime']",Negativo,Positivo,Positivo,Positivo,Positivo
"['jmvivancohrw', 'president', 'nayibbukele', 'easily', 'throws', 'abyss', 'years', 'study', 'research', 'effort', 'progress', 'prison', 'matters', 'regrettable', 'today', 'archaic', 'thoughts', 'continue', 'appear', 'leaders', 'america']",Negativo,Positivo,Positivo,Negativo,Positivo
"['unfortunately', 'fact', 'necessary', 'competent', 'state', 'agencies', 'carry', 'exhaustive', 'investigation', 'happened', 'provide', 'comprehensive', 'support', 'relatives', 'deceased', 'make', 'public', 'official', 'report', 'happened']",Positivo,Positivo,Positivo,Positivo,Positivo
"['today', 'start', 'awareness', 'campaign', 'society', 'penitentiary', 'system', 'prison', 'pastille', 'small', 'portions', 'provide', 'society', 'understand', 'importance', 'prisons', 'relationship', 'get', 'know', 'little']",Negativo,Positivo,Positivo,Negativo,Positivo
"['finally', 'necessary', 'evaluate', 'state', 'public', 'powers', 'el', 'salvador', 'crime', 'prevention', 'really', 'efficient', 'able', 'stop', 'proliferation', 'gangs', 'invested', 'repression', 'prevention', 'greetings']",Negativo,Positivo,Positivo,Positivo,Positivo
"['must', 'always', 'take', 'care', 'legal', 'framework', 'el', 'salvador', 'country', 'principle', 'legality', 'protect', 'rule', 'law', 'executive', 'power', 'cannot', 'imposed', 'powers', 'legislative', 'judicial', 'go']",Positivo,Positivo,Positivo,Positivo,Positivo
"['cannot', 'agree', 'order', 'lethal', 'action', 'criminal', 'depending', 'gives', 'president', 'certain', 'country', 'political', 'liking', 'correct', 'dictator', 'go']",Negativo,Positivo,Positivo,Positivo,Positivo
"['maras', 'conduct', 'certainly', 'criminal', 'young', 'man', 'usa', 'takes', 'gun', 'kills', 'schoolmates', 'person', 'neighborhood', 'favela', 'among', 'popular', 'areas', 'commits', 'armed', 'robbery', 'continue']",Negativo,Positivo,Positivo,Negativo,Positivo
"['opinion', 'regarding', 'situation', 'maras', 'criminal', 'organization', 'force', 'undoubtedly', 'hands', 'hands', 'powerful', 'groups', 'either', 'government', 'private']",Negativo,Positivo,Positivo,Negativo,Positivo
"['ontiverosalonso', 'avhstiftung', 'ciggusal', 'edemetriocrespo', 'hlgatell', 'acadmexcienpen', 'dlop', 'uaemex', 'ocotsalamanca', 'jlgcolomer', 'iij', 'unach', 'comunica', 'unach', 'raising', 'awareness', 'society', 'regarding', 'objective', 'prisons', 'priority']",Negativo,Positivo,Positivo,Negativo,Positivo
"['reuterslatam', 'criminal', 'law', 'subject', 'populist', 'strategies', 'searching', 'followers', 'trying', 'upload', 'polls', 'promoting', 'spirit', 'revenge', 'extremely', 'dangerous']",Negativo,Positivo,Positivo,Negativo,Positivo
"['hugo', 'juanborrelli', 'retrovisor', 'elio', 'gómez', 'grillo', 'father', 'penitentiary', 'venezuela', 'co', 'writer', 'article', 'crbv', 'prison', 'system', 'among', 'things']",Negativo,Positivo,Positivo,Positivo,Positivo
"['comparte', 'official', 'gazette', 'bolivarian', 'republic', 'venezuela', 'dated', 'december', 'extraordinary', 'sale', 'organic', 'penitentiary', 'code', 'published', 'establishes', 'rights', 'persons', 'deprived', 'liberty', 'article', 'part']",Positivo,Positivo,Positivo,Positivo,Positivo
"['nadacrece', 'canastasuy', 'congratulations']",Positivo,Positivo,Positivo,Negativo,Positivo
"['luiscarlos', 'new', 'bad', 'unfortunate', 'thing', 'sectors', 'society', 'educational', 'deficiencies', 'strengthens', 'fosters', 'criminal', 'culture', 'adolescents', 'young', 'people', 'velasqueztomas']",Negativo,Positivo,Positivo,Negativo,Positivo
"['joaquimboschgra', 'necessary', 'guarantee', 'methods', 'allow', 'optimizing', 'access', 'justice', 'cannot', 'seen', 'without', 'due', 'importance', 'directly', 'affected']",Positivo,Positivo,Positivo,Positivo,Positivo
"['edieq', 'poll']",Negativo,Positivo,Positivo,Negativo,Positivo
"['crime', 'prevention', 'must', 'priority', 'country', 'high', 'human', 'condition', 'real', 'option', 'reduce', 'crime', 'unfortunately', 'society', 'still', 'leans', 'towards', 'repressive', 'policy', 'crime', 'rather', 'preventive', 'one']",Negativo,Positivo,Positivo,Positivo,Positivo
"['venezuela', 'special', 'law', 'would', 'necessary', 'face', 'covid', 'prisons', 'judges', 'prosecutors', 'advocates', 'job', 'would', 'help', 'lot', 'perhaps', 'time', 'come', 'break', 'old', 'mentality', 'excessive', 'use', 'deprivation', 'liberty', 'ddhh']",Positivo,Positivo,Positivo,Positivo,Positivo
