tweet,tweet_tokenized
@QuevedoOrlando Para todos los niños del Perú,"['quevedoorlando', 'niños', 'perú']"
@ricardobarbar Ponida si,"['ricardobarbar', 'ponida', 'si']"
"@ricardobarbar Tener cantantes está bien, que tengamos educación ya es avaricia","['ricardobarbar', 'tener', 'cantantes', 'bien', 'educación', 'avaricia']"
@OrianBrito Si sacan merch con la cara de Marta yo compro diez franelas,"['orianbrito', 'si', 'sacan', 'merch', 'cara', 'marta', 'compro', 'diez', 'franelas']"
Que sea una imitadora de Wendy Sulca y no la original habla muy bien de la carrera de Wendy Sulca o muy mal del presupuesto del gobierno peruano,"['imitadora', 'wendy', 'sulca', 'original', 'habla', 'bien', 'carrera', 'wendy', 'sulca', 'mal', 'presupuesto', 'gobierno', 'peruano']"
"@Ptfrozen Ese es el minero chileno de las dos mujeres, tuvo que asilarse en Perú","['ptfrozen', 'minero', 'chileno', 'dos', 'mujeres', 'asilarse', 'perú']"
Francia tiene a Macron pero Latinoamérica tiene a Wendy Sulca 📈📈📈   https://t.co/6HWj09JBSM,"['francia', 'macron', 'latinoamérica', 'wendy', 'sulca', '📈📈📈']"
"@mavillanita Por esta semana se mantiene la flexibilización prevista y están “haciendo una encuesta” para que la gente “sugiera un nuevo esquema”. El anuncio seguro vendrá el domingo que viene antes de la nueva semana de cuarentena, si lo apuran.","['mavillanita', 'semana', 'mantiene', 'flexibilización', 'prevista', 'haciendo', 'encuesta”', 'gente', 'sugiera', 'nuevo', 'esquema”', 'anuncio', 'seguro', 'vendrá', 'domingo', 'viene', 'nueva', 'semana', 'cuarentena', 'si', 'apuran']"
*Exportaciones hacia Venezuela de gas GLP. Vigente hasta el 8 de julio de 2022.,"['exportaciones', 'hacia', 'venezuela', 'gas', 'glp', 'vigente', 'julio']"
10:00 am | Departamento del Tesoro emite una licencia que autoriza ciertas actividades de exportación y reexportación de gas licuado de petróleo de Venezuela,"['am', 'departamento', 'tesoro', 'emite', 'licencia', 'autoriza', 'ciertas', 'actividades', 'exportación', 'reexportación', 'gas', 'licuado', 'petróleo', 'venezuela']"
Acá pensando en quién será el horrocrux de los Tiburones  https://t.co/kHcn72dfYj,"['acá', 'pensando', 'quién', 'horrocrux', 'tiburones']"
@LM_Santana Fue un (muy) largo plazo,"['lm', 'santana', 'largo', 'plazo']"
@LM_Santana En su momento quedó muy marcada la narrativa de cómo Alemania construyó su proyecto para ganar su copa versus la improvisación latinoamericana. A lo que hay que agregar la coincidencia en tiempo con Merkel. Una época de Alemania liderando internacionalmente.,"['lm', 'santana', 'momento', 'quedó', 'marcada', 'narrativa', 'cómo', 'alemania', 'construyó', 'proyecto', 'ganar', 'copa', 'versus', 'improvisación', 'latinoamericana', 'agregar', 'coincidencia', 'tiempo', 'merkel', 'época', 'alemania', 'liderando', 'internacionalmente']"
@LM_Santana Sin duda pero no dejan de ser referentes de una época que fue para Alemania. Vendrán otros.,"['lm', 'santana', 'duda', 'dejan', 'ser', 'referentes', 'época', 'alemania', 'vendrán']"
Perder a Löw y a Merkel el mismo año es desgarrador,"['perder', 'löw', 'merkel', 'mismo', 'año', 'desgarrador']"
@AAAD25 “Por eso Putin es el mejor de todos”  Notable,"['aaad', 'putin', 'mejor', 'todos”', 'notable']"
@gash276 Jajajsjaaj gracias ☺️,"['gash', 'jajajsjaaj', 'gracias', '☺️']"
Feliz día del milico que fundó un periódico,"['feliz', 'día', 'milico', 'fundó', 'periódico']"
¿Habrá alguna celebración en Venezuela que no tenga que ver con Golibar?,"['¿habrá', 'alguna', 'celebración', 'venezuela', 'ver', 'golibar']"
"@gash276 Feliz cumpleaños, Gaby. Que la pases bien 😜  https://t.co/9zA7VUkvBX","['gash', 'feliz', 'cumpleaños', 'gaby', 'pases', 'bien']"
1:32 pm | Delcy Rodríguez informa que se acordó con Cuba el envío de 12 millones de vacunas Abdala,"['pm', 'delcy', 'rodríguez', 'informa', 'acordó', 'cuba', 'envío', 'millones', 'vacunas', 'abdala']"
@gash276 Gracias 🤩 jajaja!!!,"['gash', 'gracias', 'jajaja']"
@LuuSalomon Se ve más joven que tu,"['luusalomon', 've', 'joven']"
@AAAD25 Le fallé a Angela  https://t.co/TnPQ8YdxBH,"['aaad', 'fallé', 'angela']"
"@AmaliaSalasCha Capaz algún pran se molestó por algo, meh","['amaliasalascha', 'capaz', 'algún', 'pran', 'molestó', 'meh']"
Maduro se despertó el lunes con ganas de reformar el sistema judicial,"['maduro', 'despertó', 'lunes', 'ganas', 'reformar', 'sistema', 'judicial']"
@gash276 Jajajaja 😝,"['gash', 'jajajaja']"
"@gash276 Gracias, jajaja con un día de adelanto 😜","['gash', 'gracias', 'jajaja', 'día', 'adelanto']"
"@pgonzalezlaya Una vacuna dentro de otra vacuna, dentro de otra vacuna","['pgonzalezlaya', 'vacuna', 'dentro', 'vacuna', 'dentro', 'vacuna']"
@pgonzalezlaya Rusa o china,"['pgonzalezlaya', 'rusa', 'china']"
8:24 pm | Ministerio de Energía Eléctrica informó que el apagón se produjo por una falla en la subestación Santa Teresa del Tuy. #SinLuz  https://t.co/tq8YiMW0Of,"['pm', 'ministerio', 'energía', 'eléctrica', 'informó', 'apagón', 'produjo', 'falla', 'subestación', 'santa', 'teresa', 'tuy', 'sinluz']"
La internacional iliberal,"['internacional', 'iliberal']"
Se acabó la era de Netanyahu,"['acabó', 'netanyahu']"
"@Ptfrozen Pasa también con la parroquias y pueblos, con las calles 🤬  https://t.co/fNTUfTHeCM","['ptfrozen', 'pasa', 'parroquias', 'pueblos', 'calles']"
@_Verolerolero Para compensar  https://t.co/Q1H4PMnpR0,"['verolerolero', 'compensar']"
12:28 pm | Delcy Rodríguez sobre COVAX: Venezuela pagó pero en el último tramo el banco dijo “estos 10 millones de dólares están bloqueados”,"['pm', 'delcy', 'rodríguez', 'covax', 'venezuela', 'pagó', 'último', 'tramo', 'banco', 'dijo', 'millones', 'dólares', 'bloqueados”']"
"@esperig En realidad, es de cinco años sin reelección pero recientemente ningún presidente ha durado eso. El último presidente interino duró meses, el anterior tres años y el último que fue electo duró 20 meses.","['esperig', 'realidad', 'cinco', 'años', 'reelección', 'recientemente', 'ningún', 'presidente', 'durado', 'último', 'presidente', 'interino', 'duró', 'meses', 'anterior', 'tres', 'años', 'último', 'electo', 'duró', 'meses']"
La parte buena es que el período presidencial en Perú es de dos años,"['parte', 'buena', 'período', 'presidencial', 'perú', 'dos', 'años']"
No la monta porque sería un monopolio 🤡,"['monta', 'monopolio']"
Pedro Castillo podría montar una panadería con María Bolívar,"['pedro', 'castillo', 'podría', 'montar', 'panadería', 'maría', 'bolívar']"
@giorgiocmorales @gusrojasmatute @Econ_Vzla  https://t.co/iIl2dJ7Yvm,"['giorgiocmorales', 'gusrojasmatute', 'econ', 'vzla']"
@manuelaruizm No puedo creer que nadie se haya dado cuenta del parecido,"['manuelaruizm', 'puedo', 'creer', 'nadie', 'dado', 'cuenta', 'parecido']"
 https://t.co/hafwEy3tgF,[]
Listo para ser candidato a la gobernación de Miranda  https://t.co/1tIQe3LMzt,"['listo', 'ser', 'candidato', 'gobernación', 'miranda']"
Por las Morillo,['morillo']
@adrianabellomej Ansioso por ese estreno 👉🏻👈🏻,"['adrianabellomej', 'ansioso', 'estreno', '👉🏻👈🏻']"
@GabrrielaaB El plural lo marcas si tienes personalidades múltiples y en todas eres homeópata,"['gabrrielaab', 'plural', 'marcas', 'si', 'personalidades', 'múltiples', 'todas', 'homeópata']"
@GabrrielaaB Fan  https://t.co/jJwzWwqBMC,"['gabrrielaab', 'fan']"
"12:17 pm | Licencia 8H del Departamento del Tesoro extiende el permiso de Chevron, Halliburton, Schlumberger, Baker Hughes y Weatherford para operar en Venezuela hasta el 1° de diciembre de 2021.","['pm', 'licencia', 'departamento', 'tesoro', 'extiende', 'permiso', 'chevron', 'halliburton', 'schlumberger', 'baker', 'hughes', 'weatherford', 'operar', 'venezuela', 'diciembre']"
11:15 pm | Padrino López confirma la liberación de ocho militares secuestrados por las FARC y anuncia que otros dos militares siguen desaparecidos.,"['pm', 'padrino', 'lópez', 'confirma', 'liberación', 'ocho', 'militares', 'secuestrados', 'farc', 'anuncia', 'dos', 'militares', 'siguen', 'desaparecidos']"
5:34 pm | Carlos Alvarado: Empezamos con 45 centros de vacunación este fin de semana.,"['pm', 'carlos', 'alvarado', 'empezamos', 'centros', 'vacunación', 'fin', 'semana']"
"@quenivelmeribel 930.000 en los meses previos, 1.800.000 en mayo con este último envío","['quenivelmeribel', 'meses', 'previos', 'mayo', 'último', 'envío']"
"5:24 pm | Maduro: Cinco mujeres ingresaron por la frontera con Colombia con la variante detectada en la India, están en estudio.","['pm', 'maduro', 'cinco', 'mujeres', 'ingresaron', 'frontera', 'colombia', 'variante', 'detectada', 'india', 'estudio']"
"5:20 pm | Maduro: Estamos buscando la de Johnson&amp;Johnson, se la hemos pedido a Covax","['pm', 'maduro', 'buscando', 'johnson', 'amp', 'johnson', 'pedido', 'covax']"
5:18 pm | Llegan a Maiquetia 500 mil dosis de la vacuna Sputnik V  https://t.co/mqwrPd6qce,"['pm', 'llegan', 'maiquetia', 'mil', 'dosis', 'vacuna', 'sputnik']"
5:09 pm | Maduro: Esta semana llegaron 500.000 vacunas Sputnik V,"['pm', 'maduro', 'semana', 'llegaron', 'vacunas', 'sputnik']"
"“Lo que no hay son garantías de que si se levantan las sanciones, el gobierno no vuelva a hacer lo que hacía antes”.  https://t.co/NYhAnMxKPT","['garantías', 'si', 'levantan', 'sanciones', 'gobierno', 'vuelva', 'hacer', 'hacía', 'antes”']"
“El sistema Patria selecciona personas al azar para la vacunación”  El azar:  https://t.co/mXkfz93K7f,"['sistema', 'patria', 'selecciona', 'personas', 'azar', 'vacunación”', 'azar']"
@mapaolasanchezm  https://t.co/UTAwMEHhYF,['mapaolasanchezm']
"@ccpuppio @AlvaradoC_Salud Fue una entrevista en VTV, ayer. Acá algunos tweets del MinCI","['ccpuppio', 'alvaradoc', 'salud', 'entrevista', 'vtv', 'ayer', 'acá', 'tweets', 'minci']"
"11:20 am | Gerardo Briceño, viceministro de Salud: A los mayores de 60 años se les está aplicando la vacuna Sputnik V. La vacuna china se está aplicando en menores de 60 años.","['am', 'gerardo', 'briceño', 'viceministro', 'salud', 'mayores', 'años', 'aplicando', 'vacuna', 'sputnik', 'vacuna', 'china', 'aplicando', 'menores', 'años']"
@mapaolasanchezm Sisoy,"['mapaolasanchezm', 'sisoy']"
9:02 pm | Alvarado: A través de Covax probablemente recibiremos vacunas de una sola dosis como Johnson&amp;Johnson,"['pm', 'alvarado', 'través', 'covax', 'probablemente', 'recibiremos', 'vacunas', 'sola', 'dosis', 'johnson', 'amp', 'johnson']"
9:00 pm | Min. Alvarado: El lunes llegaremos a 77 puestos de vacunación. Los 27 puestos estarán en 22 estados.,"['pm', 'min', 'alvarado', 'lunes', 'llegaremos', 'puestos', 'vacunación', 'puestos']"
8:51 pm | Carlos Alvarado: Mañana inicia la nueva fase del plan de vacunación. Comenzaremos con 27 puestos de vacunación.,"['pm', 'carlos', 'alvarado', 'mañana', 'inicia', 'nueva', 'fase', 'plan', 'vacunación', 'comenzaremos', 'puestos', 'vacunación']"
"6:37 pm | Min. Alvarado: Vamos a ampliar lo que veníamos haciendo con el personal de salud, adultos mayores con dos o más enfermedades. Vamos con menores de 60 años con dos o más enfermedades y trabajadores esenciales. Vamos a vacunar a los pacientes renales y pacientes con VIH","['pm', 'min', 'alvarado', 'vamos', 'ampliar', 'veníamos', 'haciendo', 'personal', 'salud', 'adultos', 'mayores', 'dos', 'enfermedades', 'vamos', 'menores', 'años', 'dos', 'enfermedades', 'trabajadores', 'esenciales', 'vamos', 'vacunar', 'pacientes', 'renales', 'pacientes', 'vih']"
6:32 pm | Maduro asegura que llegaron 1.300.000 vacunas de China: Mañana empieza una nueva fase de la vacunación,"['pm', 'maduro', 'asegura', 'llegaron', 'vacunas', 'china', 'mañana', 'empieza', 'nueva', 'fase', 'vacunación']"
Ministro de la Defensa de Colombia,"['ministro', 'defensa', 'colombia']"
 https://t.co/GUWEj4GXuv,[]
@rodoarico @CelinaCarquez @taniadamelio @rpiconh @ENRIQUEMARQUEZP El director del Saime,"['rodoarico', 'celinacarquez', 'taniadamelio', 'rpiconh', 'enriquemarquezp', 'director', 'saime']"
5:46 pm | Eduardo Piñate es designado ministro de Educación y José Ramón Rivero como nuevo ministro del Trabajo,"['pm', 'eduardo', 'piñate', 'designado', 'ministro', 'educación', 'josé', 'ramón', 'rivero', 'nuevo', 'ministro', 'trabajo']"
Agencia Europea de Medicamentos: Estos eventos deben enumerarse como efectos secundarios muy raros de la vacuna. Debe agregarse una advertencia sobre coágulos inusuales con plaquetas bajas en la sangre a la información de la vacuna de Janssen.,"['agencia', 'europea', 'medicamentos', 'eventos', 'deben', 'enumerarse', 'efectos', 'secundarios', 'raros', 'vacuna', 'debe', 'agregarse', 'advertencia', 'coágulos', 'inusuales', 'plaquetas', 'bajas', 'sangre', 'información', 'vacuna', 'janssen']"
"Agencia Europea de Medicamentos sobre eventos con coágulos y la vacuna de Janssen: Se evaluaron ocho casos de trombosis en 7 millones de vacunados. Ocurrieron en menores de 60 años de edad, la mayoría fueron mujeres en las tres semanas posteriores a la vacunación.","['agencia', 'europea', 'medicamentos', 'eventos', 'coágulos', 'vacuna', 'janssen', 'evaluaron', 'ocho', 'casos', 'trombosis', 'millones', 'vacunados', 'ocurrieron', 'menores', 'años', 'edad', 'mayoría', 'mujeres', 'tres', 'semanas', 'posteriores', 'vacunación']"
@chyna_adc @CleverSafo La industria farmacéutica no puede enterarse de esto,"['chyna', 'adc', 'cleversafo', 'industria', 'farmacéutica', 'puede', 'enterarse']"
"@CleverSafo Más Fanasal, ahora","['cleversafo', 'fanasal', 'ahora']"
"""Por supuesto que es posible tergiversar la realidad con datos. Pero sin datos es mucho más fácil"", dice @MaxCRoser  Coronapandemia: Los números no mienten ¿o no?  https://t.co/ZPjwNIFtCk","['supuesto', 'posible', 'tergiversar', 'realidad', 'datos', 'datos', 'fácil', 'dice', 'maxcroser', 'coronapandemia', 'números', 'mienten', '¿o']"
Sheryl al cabo que ni quería ser primera dama,"['sheryl', 'cabo', 'quería', 'ser', 'primera', 'dama']"
"@GalacticWorld @Mukurosaki @josue_coello @mister_caffeina Han ocurrido 222 eventos con coágulos en 34 millones de vacunados hasta el 4 de abril: 0,00065294%. Han muerto por coágulos 0,000072% de los 25 millones de vacunados analizados por EMA.   https://t.co/Onz0hBvI0B","['galacticworld', 'mukurosaki', 'josue', 'coello', 'mister', 'caffeina', 'ocurrido', 'eventos', 'coágulos', 'millones', 'vacunados', 'abril', 'muerto', 'coágulos', 'millones', 'vacunados', 'analizados', 'ema']"
"1:17 pm | Delcy Rodríguez asegura que Venezuela pagó “un poco más del 50%” de lo necesario para acceder al mecanismo Covax, unos 59.2 millones de francos suizos.","['pm', 'delcy', 'rodríguez', 'asegura', 'venezuela', 'pagó', 'necesario', 'acceder', 'mecanismo', 'covax', 'millones', 'francos', 'suizos']"
@adrianaipds Supongo que ya usas la palabra túper,"['adrianaipds', 'supongo', 'usas', 'palabra', 'túper']"
@adrianaipds Cuando te visite te llevo un tuper,"['adrianaipds', 'visite', 'llevo', 'tuper']"
@adrianaipds Me mandas una vacuna y yo te mando Arturo’s,"['adrianaipds', 'mandas', 'vacuna', 'mando', 'arturo’s']"
@adrianaipds Asco,"['adrianaipds', 'asco']"
"@TonyFrangieM @GTAveledo La variante hawaiana del pan dulce es sin piña, increíble.","['tonyfrangiem', 'gtaveledo', 'variante', 'hawaiana', 'pan', 'dulce', 'piña', 'increíble']"
@figgywho El ninazo nunca te abandona,"['figgywho', 'ninazo', 'nunca', 'abandona']"
@omarkas @Econ_Vzla Es una viñeta,"['omarkas', 'econ', 'vzla', 'viñeta']"
"10:16 am | Agencia Europea de Medicamentos: La revisión se hizo sobre 62 casos de TSVC y 24 casos de trombosis venosa esplácnica al 22 de marzo, 18 fueron mortales. Los casos provinieron del Espacio Económico Europeo y Reino Unido, donde 25 millones habían recibido la vacuna.","['am', 'agencia', 'europea', 'medicamentos', 'revisión', 'hizo', 'casos', 'tsvc', 'casos', 'trombosis', 'venosa', 'esplácnica', 'marzo', 'mortales', 'casos', 'provinieron', 'espacio', 'económico', 'europeo', 'reino', 'unido', 'millones', 'recibido', 'vacuna']"
"10:16 am | Agencia Europea de Medicamentos: La combinación de coágulos y plaquetas bajas en la sangre es muy rara, y los beneficios generales de la prevención del COVID-19 con la vacuna superan los riesgos de efectos secundarios.","['am', 'agencia', 'europea', 'medicamentos', 'combinación', 'coágulos', 'plaquetas', 'bajas', 'sangre', 'rara', 'beneficios', 'generales', 'prevención', 'covid', 'vacuna', 'superan', 'riesgos', 'efectos', 'secundarios']"
10:16 am | Agencia Europea de Medicamentos: Se notificaron 222 eventos con coágulos en 34 millones de vacunados con AstraZeneca.,"['am', 'agencia', 'europea', 'medicamentos', 'notificaron', 'eventos', 'coágulos', 'millones', 'vacunados', 'astrazeneca']"
"10:16 am | Agencia Europea de Medicamentos: “Los coágulos de sangre inusuales con plaquetas bajas deben enumerarse como efectos secundarios muy raros” de la vacuna de AstraZeneca, en su mayoría, sobre mujeres menores de 60 años en las dos semanas posteriores a la vacunación.","['am', 'agencia', 'europea', 'medicamentos', 'coágulos', 'sangre', 'inusuales', 'plaquetas', 'bajas', 'deben', 'enumerarse', 'efectos', 'secundarios', 'raros”', 'vacuna', 'astrazeneca', 'mayoría', 'mujeres', 'menores', 'años', 'dos', 'semanas', 'posteriores', 'vacunación']"
@nellaclr Coca-Cola,"['nellaclr', 'coca', 'cola']"
@castrozolam  https://t.co/lWWx9xFWl3,['castrozolam']
6:01 pm | Maduro anuncia que se mantendrá la cuarentena radical en todo el país durante la próxima semana,"['pm', 'maduro', 'anuncia', 'mantendrá', 'cuarentena', 'radical', 'país', 'próxima', 'semana']"
5:48 pm | Venezuela reporta 1.786 nuevos casos de covid-19 detectados por laboratorios públicos y 15 nuevas muertes con PCR positivo.,"['pm', 'venezuela', 'reporta', 'nuevos', 'casos', 'covid', 'detectados', 'laboratorios', 'públicos', 'nuevas', 'muertes', 'pcr', 'positivo']"
8:58 pm | Venezuela reporta 1.607 nuevos casos de covid-19 detectados por el sistema de diagnóstico público y 18 nuevas muertes con PCR positivo.,"['pm', 'venezuela', 'reporta', 'nuevos', 'casos', 'covid', 'detectados', 'sistema', 'diagnóstico', 'público', 'nuevas', 'muertes', 'pcr', 'positivo']"
"@mapaolasanchezm A menos que haya un delivery esperando en la puerta, no falla","['mapaolasanchezm', 'menos', 'delivery', 'esperando', 'puerta', 'falla']"
"Delcy Rodríguez comenta las últimas indicaciones de la OMS pero olvida que recomendaron no usar ivermectina en pacientes covid-19. En fin, la hipotenusa.","['delcy', 'rodríguez', 'comenta', 'últimas', 'indicaciones', 'oms', 'olvida', 'recomendaron', 'usar', 'ivermectina', 'pacientes', 'covid', 'fin', 'hipotenusa']"
9:02 pm | Venezuela anunció un nuevo récord en el número de muertes diarias por covid-19: 14 fallecidos con PCR positiva.,"['pm', 'venezuela', 'anunció', 'nuevo', 'récord', 'número', 'muertes', 'diarias', 'covid', 'fallecidos', 'pcr', 'positiva']"
@luis1210 😔,['luis']
"10:28 pm | Venezuela reporta el mayor número de nuevos casos confirmados y el mayor número de nuevas muertes por covid-19, registradas hasta ahora: 1.348 y 13, respectivamente.","['pm', 'venezuela', 'reporta', 'mayor', 'número', 'nuevos', 'casos', 'confirmados', 'mayor', 'número', 'nuevas', 'muertes', 'covid', 'registradas', 'ahora', 'respectivamente']"
@ana94M  https://t.co/4Hx6r7DB0U,['ana']
@ana94M  https://t.co/GBKzIP1N9l,['ana']
@victoramaya 1.278 comunitarios y 10 internacionales,"['victoramaya', 'comunitarios', 'internacionales']"
@victoramaya Comunitarios,"['victoramaya', 'comunitarios']"
8:32 pm | Venezuela reporta el mayor número de casos confirmados de covid-19 durante toda la pandemia en el país: 1.288 nuevos casos,"['pm', 'venezuela', 'reporta', 'mayor', 'número', 'casos', 'confirmados', 'covid', 'toda', 'pandemia', 'país', 'nuevos', 'casos']"
6:55 pm | Maduro: Las vacunas que vengan en las próximas semanas serán para nuestros viejitos y para las personas con alguna vulnerabilidad por enfermedad,"['pm', 'maduro', 'vacunas', 'vengan', 'próximas', 'semanas', 'viejitos', 'personas', 'alguna', 'vulnerabilidad', 'enfermedad']"
6:45 pm | Maduro: Creo que debemos ir a los 7 días de flexibilización luego de Semana Santa y luego dos semanas de cuarentena.,"['pm', 'maduro', 'creo', 'debemos', 'ir', 'días', 'flexibilización', 'luego', 'semana', 'santa', 'luego', 'dos', 'semanas', 'cuarentena']"
@mapaolasanchezm No pusiste la foto más desgarradora,"['mapaolasanchezm', 'pusiste', 'foto', 'desgarradora']"
@mapaolasanchezm Suena un pequeño violín de fondo,"['mapaolasanchezm', 'suena', 'pequeño', 'violín', 'fondo']"
@maferparodi El pasito de Delfín,"['maferparodi', 'pasito', 'delfín']"
"Como dijo el gran filósofo: “Israel, Israel, qué bonito es Israel”","['dijo', 'gran', 'filósofo', 'israel', 'israel', 'bonito', 'israel”']"
"7:02 pm | Maduro: La primera semana de abril llegan 30 mil vacunas Soberana 2 y 30 mil Abdala de Cuba, para ensayos fase 3.","['pm', 'maduro', 'primera', 'semana', 'abril', 'llegan', 'mil', 'vacunas', 'soberana', 'mil', 'abdala', 'cuba', 'ensayos', 'fase']"
