tweet,tweet_tokenized
Ayudemos a @Almagro_OEA2015 a verificar dónde fue está brutal represión!!!  Venezuela Cuba Nicaragua  Si es EEUU 🤐 . Porque le suspenden el sueldo.,"['ayudemos', 'almagro', 'oea', 'verificar', 'dónde', 'brutal', 'represión', 'venezuela', 'cuba', 'nicaragua', 'si', 'eeuu', 'suspenden', 'sueldo']"
"Que decían la derecha del pueblo Cubano??? Vean cómo sale a las calles en defensa de su patria, de su libertad, de su Revolución!!  Viva Cuba!!! Viva Fidel!!! Viva la Revolución Cubana!!!","['decían', 'derecha', 'pueblo', 'cubano', 'vean', 'cómo', 'sale', 'calles', 'defensa', 'patria', 'libertad', 'revolución', 'viva', 'cuba', 'viva', 'fidel', 'viva', 'revolución', 'cubana']"
Mucho por seguir haciendo!!! Y bajo la dirección del Presidente @nicolasmaduro  continuar fortaleciendo el Sistema Penitenciario Venezolano.    https://t.co/OGx2XUohaF  https://t.co/tcC7hmzOGA,"['seguir', 'haciendo', 'bajo', 'dirección', 'presidente', 'nicolasmaduro', 'continuar', 'fortaleciendo', 'sistema', 'penitenciario', 'venezolano']"
"El Penitenciarismo es una actividad que, a pesar de estar conectada directamente a lo jurídico, es una actividad principal y profundamente social. Agradezco a Dios y a la Revolución haberme permitido formarme académica y profesionalmente en esta área.  https://t.co/CMdBKA0iXn","['penitenciarismo', 'actividad', 'pesar', 'conectada', 'directamente', 'jurídico', 'actividad', 'principal', 'profundamente', 'social', 'agradezco', 'dios', 'revolución', 'haberme', 'permitido', 'formarme', 'académica', 'profesionalmente', 'área']"
Uno de mis libros preferidos de Historia de Venezuela. 👏👏👏,"['libros', 'preferidos', 'historia', 'venezuela', '👏👏👏']"
"Que orgullo pertenecer al Partido más democrático, más participativo y más grande de nuestra Patria. Nuestro @PartidoPSUV legado del Comandante Chávez hoy sigue ejerciendo la democracia plena con sus militantes guiados por nuestro Presidente @NicolasMaduro  https://t.co/1C4A9wVXmu","['orgullo', 'pertenecer', 'partido', 'democrático', 'participativo', 'grande', 'patria', 'partidopsuv', 'legado', 'comandante', 'chávez', 'hoy', 'sigue', 'ejerciendo', 'democracia', 'plena', 'militantes', 'guiados', 'presidente', 'nicolasmaduro']"
"Como profesional y especialista en materia Penitenciaria, pero sobre todo como Jóven Revolucionario, aplaudo la decisión del Presidente  @NicolasMaduro en instruir la renovación permanente del Sistema de Justicia garante de los #DDHH  Lo acompañamos Presidente!!!  https://t.co/ieUTZfkcgC","['profesional', 'especialista', 'materia', 'penitenciaria', 'jóven', 'revolucionario', 'aplaudo', 'decisión', 'presidente', 'nicolasmaduro', 'instruir', 'renovación', 'permanente', 'sistema', 'justicia', 'garante', 'ddhh', 'acompañamos', 'presidente']"
Los peruanos habrán leído de la maldición de @liliantintori ???? Cuenta la leyenda que el que se toma fotografía con ella muerde el polvo del fracaso. 🤣😂🤣😂  Perú Castillo Fujimori Vargas Llosa  https://t.co/GCdfkn6fWE,"['peruanos', 'leído', 'maldición', 'liliantintori', 'cuenta', 'leyenda', 'toma', 'fotografía', 'muerde', 'polvo', 'fracaso', '🤣😂🤣😂', 'perú', 'castillo', 'fujimori', 'vargas', 'llosa']"
El liderazgo de nuestro Presidente @NicolasMaduro su equipo de trabajo como Ministro @CTrompiz2 y la sabiduría de nuestro pueblo es la garantía de vencer no solo el covid 19 sino cualquier ataque de los enemigos de Venezuela.,"['liderazgo', 'presidente', 'nicolasmaduro', 'equipo', 'trabajo', 'ministro', 'ctrompiz', 'sabiduría', 'pueblo', 'garantía', 'vencer', 'solo', 'covid', 'sino', 'cualquier', 'ataque', 'enemigos', 'venezuela']"
Cómo Joven Revolucionario me siento orgulloso de pertenecer al @PartidoPSUV que transformó la Política Venezolana y hoy contamos con una Política con P mayúscula. Basada en una verdadera democracia participativa y protagónica. Es Gobernar obedeciendo.  @NicolasMaduro  https://t.co/V8eC7xZUOp,"['cómo', 'joven', 'revolucionario', 'siento', 'orgulloso', 'pertenecer', 'partidopsuv', 'transformó', 'política', 'venezolana', 'hoy', 'contamos', 'política', 'mayúscula', 'basada', 'verdadera', 'democracia', 'participativa', 'protagónica', 'gobernar', 'obedeciendo', 'nicolasmaduro']"
