tweet,tweet_tokenized
"""¿Cómo los peruanos podemos confiar en medios incapaces de enfrentar las mentiras de Fujimori y su desfile de conspiracionistas? El peligro es mayor ahora que asumirá el poder un partido que amenaza a nuestras instituciones y la libertad de prensa"".  https://t.co/EbBiKErzLo","['¿cómo', 'peruanos', 'podemos', 'confiar', 'medios', 'incapaces', 'enfrentar', 'mentiras', 'fujimori', 'desfile', 'conspiracionistas', 'peligro', 'mayor', 'ahora', 'asumirá', 'poder', 'partido', 'amenaza', 'instituciones', 'libertad', 'prensa']"
"Un detalle para notar la gravedad de la crisis institucional estadounidense: The Offspring, punketos de la ""nueva"" era en EE UU y críticos mordaces del sistema, acaban de publicar un tema en el que básicamente critican el incumplimiento de las leyes 😐.  https://t.co/MnvpCgSbVu","['detalle', 'notar', 'gravedad', 'crisis', 'institucional', 'estadounidense', 'the', 'offspring', 'punketos', 'nueva', 'ee', 'uu', 'críticos', 'mordaces', 'sistema', 'acaban', 'publicar', 'tema', 'básicamente', 'critican', 'incumplimiento', 'leyes']"
Non oggi. #NotToday.,"['non', 'oggi', 'nottoday']"
@RafaelgMedina_ Sí.,['rafaelgmedina']
"#SinLuz estuvieron las avenidas Táchira, Maracay y Mario Briceño Iragorri, en Ciudad Bolívar, desde las 6:00pm. El servicio se restableció progresivamente hasta ahora.","['sinluz', 'avenidas', 'táchira', 'maracay', 'mario', 'briceño', 'iragorri', 'ciudad', 'bolívar', 'pm', 'servicio', 'restableció', 'progresivamente', 'ahora']"
"¿Qué es la secularización del Estado y por qué es fundamental en la génesis y desarrollo del Estado moderno?  Aquí, la explicación de esta joven en 1:18 minutos.","['¿qué', 'secularización', 'fundamental', 'génesis', 'desarrollo', 'moderno', 'aquí', 'explicación', 'joven', 'minutos']"
@Filosofers cc @fanzinero,"['filosofers', 'cc', 'fanzinero']"
O bueno... susceptible de contagios 😐.,"['bueno', 'susceptible', 'contagios']"
"Perdóname, Cerati, pero hoy Buenos Aires no se ve para nada susceptible.","['perdóname', 'cerati', 'hoy', 'buenos', 'aires', 've', 'susceptible']"
"Gritan ""¡Messi, Messi, Messi!"". ¿Cuántas franelas con su nombre no habrán hecho ellos mismos o algún cercano?","['gritan', '¡messi', 'messi', 'messi', '¿cuántas', 'franelas', 'nombre', 'hecho', 'mismos', 'algún', 'cercano']"
"Más que merecida.  Gracias por tanto, Messi. Siempre en nuestros corazones ❤️. 🏆🇦🇷 ¡DALE, CAMPEÓN! ¡DALE, CAMPEÓN! 🇦🇷🏆  https://t.co/0A8nSgmDIi","['merecida', 'gracias', 'messi', 'siempre', 'corazones', '❤️', '🏆🇦🇷', '¡dale', 'campeón', '¡dale', 'campeón', '🇦🇷🏆']"
@Marie_Dommar  https://t.co/6yBiWFpILx,"['marie', 'dommar']"
*** pretends to be shocked ***,"['pretends', 'to', 'be', 'shocked']"
"QEPD el prof. Carlos Ortiz. Compartimos en algunas defensas de tesis, pero más aún, en la discusión académica que trasciende a los salones de clase. Su familia, la @ECSUcabG y el país hemos perdido a un ser humano valioso.","['qepd', 'prof', 'carlos', 'ortiz', 'compartimos', 'defensas', 'tesis', 'aún', 'discusión', 'académica', 'trasciende', 'salones', 'clase', 'familia', 'ecsucabg', 'país', 'perdido', 'ser', 'humano', 'valioso']"
@ManuelZDiaz Inspirada en el libro homónimo de Woodward y Bernstein. Referencia obligada para todo periodista.,"['manuelzdiaz', 'inspirada', 'libro', 'homónimo', 'woodward', 'bernstein', 'referencia', 'obligada', 'periodista']"
"""La vida es larga, puedes tener muchas vidas diferentes. Puedes aprender muchas cosas distintas, nunca se sabe cuándo te servirán, así que aprende todo lo que puedas y combina tus conocimientos de manera novedosa. Adáptate, sé flexible y aprende siempre"".  https://t.co/QJxyJ7RWQP","['vida', 'larga', 'puedes', 'tener', 'muchas', 'vidas', 'diferentes', 'puedes', 'aprender', 'muchas', 'cosas', 'distintas', 'nunca', 'sabe', 'cuándo', 'servirán', 'así', 'aprende', 'puedas', 'combina', 'conocimientos', 'manera', 'novedosa', 'adáptate', 'sé', 'flexible', 'aprende', 'siempre']"
#NoEraPenal  #BEL 1 - 2 #ITA,"['noerapenal', 'bel', 'ita']"
#ServicioPúblico Buenos días. Chequea esto si estás buscando medicamentos en Puerto Ordaz.,"['serviciopúblico', 'buenos', 'días', 'chequea', 'si', 'buscando', 'medicamentos', 'puerto', 'ordaz']"
"El castigo a Venezuela es tan sórdido y frecuente que las metáforas de la desgracia son tan obvias como inenarrables. ¿Qué otra lectura existe cuando una dictadura es responsable de un incendio en la universidad más grande del país? ¿Y además, en su escuela de estudios políticos?","['castigo', 'venezuela', 'tan', 'sórdido', 'frecuente', 'metáforas', 'desgracia', 'tan', 'obvias', 'inenarrables', '¿qué', 'lectura', 'existe', 'dictadura', 'responsable', 'incendio', 'universidad', 'grande', 'país', '¿y', 'además', 'escuela', 'estudios', 'políticos']"
"@leninperezperez Siempre y cada cual a su manera, todos buscamos el placer y evitamos el dolor.","['leninperezperez', 'siempre', 'cada', 'manera', 'buscamos', 'placer', 'evitamos', 'dolor']"
"Salí con una sastre, pero no dio la talla.","['salí', 'sastre', 'dio', 'talla']"
"@CesarAramis Esto. Además de la prosodia, aquí por demás importante, es la chispa en la composición del insulto. La destreza de soltar palabras con gracia, incluso para fines nada virtuosos 😁.","['cesararamis', 'además', 'prosodia', 'aquí', 'demás', 'importante', 'chispa', 'composición', 'insulto', 'destreza', 'soltar', 'palabras', 'gracia', 'incluso', 'fines', 'virtuosos']"
"@VanessaVenezia ¡Hágale, hágale!","['vanessavenezia', '¡hágale', 'hágale']"
@DavidEdesio También.,['davidedesio']
El precio de la estupidez.,"['precio', 'estupidez']"
Y Osmel Sousa.,"['osmel', 'sousa']"
@ferespinasa Por supuesto.,"['ferespinasa', 'supuesto']"
"@alejandro_mhr Un abrazo, Alejandro. Estamos contigo. Una oración por tu mamá.","['alejandro', 'mhr', 'abrazo', 'alejandro', 'contigo', 'oración', 'mamá']"
"Hoy me acerqué al cajero del supermercado que frecuento y le dije al oído: ""espero hayas tenido un feliz mes del orgullo. Siéntete orgulloso de quien eres"", y, entre el agradecimiento y la sonrisa, se le aguaron los ojos al instante. Solo Dios sabrá su sufrimiento. #Pride","['hoy', 'acerqué', 'cajero', 'supermercado', 'frecuento', 'dije', 'oído', 'espero', 'feliz', 'mes', 'orgullo', 'siéntete', 'orgulloso', 'agradecimiento', 'sonrisa', 'aguaron', 'ojos', 'instante', 'solo', 'dios', 'sabrá', 'sufrimiento', 'pride']"
"Cuidado si en Venezuela, además de los castigos que ya sufre la libertad académica, terminamos de sumar estos otros que tanto diezman el desarrollo y la generación de conocimiento. Recomiendo su lectura.","['cuidado', 'si', 'venezuela', 'además', 'castigos', 'sufre', 'libertad', 'académica', 'terminamos', 'sumar', 'diezman', 'desarrollo', 'generación', 'conocimiento', 'recomiendo', 'lectura']"
"""Algunos profesores evitan entrar en discusiones con sus estudiantes (un ejercicio necesario de crítica pedagógica) para no herir sensibilidades y no crear 'espacios inseguros' (otra obsesión de los woke es crear 'safe spaces' o 'espacios seguros')"".   https://t.co/RwL1Tp2Uxg","['profesores', 'evitan', 'entrar', 'discusiones', 'estudiantes', 'ejercicio', 'necesario', 'crítica', 'pedagógica', 'herir', 'sensibilidades', 'crear', 'espacios', 'inseguros', 'obsesión', 'woke', 'crear', 'safe', 'spaces', 'espacios', 'seguros']"
"Sterling, como en toda la Eurocopa, montándose el equipo el hombro. Jugadorazo.","['sterling', 'toda', 'eurocopa', 'montándose', 'equipo', 'hombro', 'jugadorazo']"
"Mats Hummels, autor del autogol contra Francia hace dos semanas, hoy salva dos veces el arco alemán en el primer tiempo. El fútbol, así como la vida, siempre ofrece nuevas oportunidades.","['mats', 'hummels', 'autor', 'autogol', 'francia', 'hace', 'dos', 'semanas', 'hoy', 'salva', 'dos', 'veces', 'arco', 'alemán', 'primer', 'tiempo', 'fútbol', 'así', 'vida', 'siempre', 'ofrece', 'nuevas', 'oportunidades']"
"""En 544 horas de programación de TV abierta, un estudio encontró +900 muestras de violencia mujeres y niñas en noticieros, programas de entretenimiento, encuentros deportivos, shows infantiles, telenovelas, entrevistas, concursos y tertulias del corazón"".  https://t.co/eEPwiOJEN5","['horas', 'programación', 'tv', 'abierta', 'estudio', 'encontró', 'muestras', 'violencia', 'mujeres', 'niñas', 'noticieros', 'programas', 'entretenimiento', 'encuentros', 'deportivos', 'shows', 'infantiles', 'telenovelas', 'entrevistas', 'concursos', 'tertulias', 'corazón']"
Reafirmo.,['reafirmo']
"@moralexis ¿Sommertime, mi estimado?","['moralexis', '¿sommertime', 'estimado']"
Este pana no duerme hoy.,"['pana', 'duerme', 'hoy']"
"@moralexis Durísimo, mi estimado. Pero como decíamos en trinos anteriores: c'est la vie, c'est le foot.","['moralexis', 'durísimo', 'estimado', 'decíamos', 'trinos', 'anteriores', 'est', 'vie', 'est', 'foot']"
"Aplausos a Francia. Aplausos a Mbappé. Nada que reprochar.  Allons enfants de la Patrie! Hoy no fue día de gloria, pero sí de altura futbolística. 👏👏👏👏👏👏👏","['aplausos', 'francia', 'aplausos', 'mbappé', 'reprochar', 'allons', 'enfants', 'patrie', 'hoy', 'día', 'gloria', 'altura', 'futbolística', '👏👏👏👏👏👏👏']"
"Sea cual fuere el resultado, en las escuelas de fútbol de Suiza pondrán este partido como clase obligatoria por mucho tiempo.","['fuere', 'resultado', 'escuelas', 'fútbol', 'suiza', 'pondrán', 'partido', 'clase', 'obligatoria', 'tiempo']"
¡Qué espectáculo están regalando suizos y franceses! ¡Qué gran juego!,"['¡qué', 'espectáculo', 'regalando', 'suizos', 'franceses', '¡qué', 'gran', 'juego']"
@marijoperez 👏👏👏👏👏👏,"['marijoperez', '👏👏👏👏👏👏']"
"@moralexis Así es, mi estimado. Al final todo se reduce a eso.","['moralexis', 'así', 'estimado', 'final', 'reduce']"
"Suiza pasó de tener el 2-0 en los pies a perderlo todo hasta ahora. Así es el fútbol: el que no lo hace, se lo hacen.","['suiza', 'pasó', 'tener', 'pies', 'perderlo', 'ahora', 'así', 'fútbol', 'hace', 'hacen']"
Allons enfants de la Patrie! 😍😍😍,"['allons', 'enfants', 'patrie', '😍😍😍']"
"¡Qué hermoso esto!  Un público que aplaude el conocimiento, el desarrollo, la ciencia y la vida. Un público que apuesta por la humanidad.  Aplausos para todos ellos.","['¡qué', 'hermoso', 'público', 'aplaude', 'conocimiento', 'desarrollo', 'ciencia', 'vida', 'público', 'apuesta', 'humanidad', 'aplausos']"
Croacia hizo un gol de caimanera 😁.,"['croacia', 'hizo', 'gol', 'caimanera']"
Por cierto:  #Orgullo #Orgullo2021 #OrgulloLGTBI  #pride  https://t.co/rcOiGhpEWa,"['cierto', 'orgullo', 'orgullo', 'orgullolgtbi', 'pride']"
"@repal49 ¡Hola, Renan! Tanto gusto saberte y saludarte de nuevo. ¡Seguro que sí! Seguiremos cuidándonos. Espero también estés vacunado. Un abrazo.","['repal', '¡hola', 'renan', 'gusto', 'saberte', 'saludarte', 'nuevo', '¡seguro', 'seguiremos', 'cuidándonos', 'espero', 'vacunado', 'abrazo']"
Hasta las 11:38am no hubo personas con reacciones adversas en sala de espera. Al final el proceso avanzó entre desinformación e impericias logísticas. Ps: creo que hace falta una ambulancia o unidad de emergencia para atender eventuales casos de reacciones adversas graves. #28Jun,"['am', 'personas', 'reacciones', 'adversas', 'sala', 'espera', 'final', 'proceso', 'avanzó', 'desinformación', 'impericias', 'logísticas', 'ps', 'creo', 'hace', 'falta', 'ambulancia', 'unidad', 'emergencia', 'atender', 'eventuales', 'casos', 'reacciones', 'adversas', 'graves', 'jun']"
Ya casi.  https://t.co/bctaIJpihL,['casi']
"Luego del caos con las cédulas, finalmente hay orden en la última estación antes de recibir la vacuna en el parque Leonardo Ruiz Pineda. #28Jun #Bolívar (El desorden persiste afuera).  https://t.co/CKeGGkSojb","['luego', 'caos', 'cédulas', 'finalmente', 'orden', 'última', 'estación', 'recibir', 'vacuna', 'parque', 'leonardo', 'ruiz', 'pineda', 'jun', 'bolívar', 'desorden', 'persiste', 'afuera']"
