tweet_tokenized_translated,opinion,NB,SVM,DT,MaxEnt
,a favor,en contra,en contra,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,en contra,a favor,a favor,a favor,a favor
,en contra,a favor,a favor,a favor,a favor
,en contra,a favor,a favor,a favor,a favor
,neutro,a favor,neutro,neutro,a favor
,en contra,a favor,en contra,a favor,en contra
,en contra,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,en contra,a favor
,en contra,a favor,a favor,en contra,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,en contra,en contra,en contra,a favor,a favor
,neutro,a favor,a favor,a favor,a favor
,en contra,a favor,en contra,en contra,en contra
,a favor,a favor,en contra,a favor,a favor
,en contra,a favor,a favor,a favor,a favor
,neutro,a favor,a favor,en contra,a favor
,a favor,a favor,a favor,en contra,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,neutro,a favor
,en contra,en contra,en contra,en contra,en contra
,neutro,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,en contra,a favor
,en contra,a favor,en contra,en contra,a favor
,en contra,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,en contra,a favor
,neutro,a favor,a favor,en contra,a favor
,en contra,a favor,a favor,en contra,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,en contra,en contra,en contra
,a favor,a favor,a favor,a favor,a favor
,en contra,a favor,a favor,a favor,a favor
,en contra,en contra,en contra,en contra,en contra
,neutro,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,en contra,a favor,a favor,a favor,a favor
,en contra,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,neutro,a favor
,a favor,a favor,a favor,en contra,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,en contra,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,neutro,a favor
,en contra,a favor,en contra,a favor,en contra
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,en contra,a favor
,neutro,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,a favor,a favor
,a favor,a favor,a favor,en contra,a favor
