tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized,neg,neu,pos,sentiment
@msonrisazulia,['msonrisazulia'],@msonrisazulia,['msonrisazulia'],0.0,1.0,0.0,Neutral
@DTVTotal  #FutbolTotalDIRECTV  La Vinotinto echa el resto,"['dtvtotal', 'futboltotaldirectv', 'vinotinto', 'echa', 'resto']",@DTVTotal #FutbolTotalDIRECTV La Vinotinto throws the rest,"['dtvtotal', 'futboltotaldirectv', 'la', 'vinotinto', 'throws', 'rest']",0.0,1.0,0.0,Neutral
"@FVF_Oficial . Por eso te quiero te quiero te quiero !!  Gracias @PepsiVEN, @AsierCazalis  por ese tremendo comercial  y tema ! #quesiganlosqueempezaron  https://t.co/XPp1c0t878","['fvf', 'oficial', 'quiero', 'quiero', 'quiero', 'gracias', 'pepsiven', 'asiercazalis', 'tremendo', 'comercial', 'tema', 'quesiganlosqueempezaron']","@FVF_Oficial. That's why I love you I love you I love you !! Thanks @PepsiVEN, @AsierCazalis for that tremendous commercial and topic! #quesiganlosqueempezaron https://t.co/XPp1c0t878","['fvf', 'oficial', 'love', 'love', 'love', 'thanks', 'pepsiven', 'asiercazalis', 'tremendous', 'commercial', 'topic', 'quesiganlosqueempezaron']",0.0,0.34,0.66,Positivo
Desde que inició la copa America he estado viendo a los comentaristas venezolanos haciendo referencia a “es lo que tenemos”. eso sres es un claro menosprecio a los que están jugando que ya han hecho más que todos ustedes juntos. Por mi parte quiero que terminen los que comenzaron,"['inició', 'copa', 'america', 'viendo', 'comentaristas', 'venezolanos', 'haciendo', 'referencia', 'tenemos”', 'sres', 'claro', 'menosprecio', 'jugando', 'hecho', 'ustedes', 'juntos', 'parte', 'quiero', 'terminen', 'comenzaron']","Since the America Cup began, I have been seeing Venezuelan commentators referring to ""it is what we have."" That sres is a clear contempt to those who are playing who have already done more than all of you together. For my part, I want those who started to finish","['since', 'america', 'cup', 'began', 'seeing', 'venezuelan', 'commentators', 'referring', 'sres', 'clear', 'contempt', 'playing', 'already', 'done', 'together', 'part', 'want', 'started', 'finish']",0.155,0.612,0.233,Neutral
"Gracias a dios!! que emoción nos dan estos muchachos de la @FVF_Oficial contra todo, contra todos, pecho en alto!! Fuerza nunca bajar los brazos adelante muchachos el juego no se acaba hasta que lo diga el árbitro !","['gracias', 'dios', 'emoción', 'dan', 'muchachos', 'fvf', 'oficial', 'pecho', 'alto', 'fuerza', 'nunca', 'bajar', 'brazos', 'adelante', 'muchachos', 'juego', 'acaba', 'diga', 'árbitro']","Thanks god!! what emotion these guys from the @FVF_Oficial give us against everything, against everyone, chest held high !! Force never lower your arms forward guys the game is not over until the referee says so!","['thanks', 'god', 'emotion', 'guys', 'fvf', 'oficial', 'give', 'us', 'everything', 'everyone', 'chest', 'held', 'high', 'force', 'never', 'lower', 'arms', 'forward', 'guys', 'game', 'referee', 'says']",0.0,0.734,0.266,Neutral
Bien Rojo aristigueta !! Gracias !!,"['bien', 'rojo', 'aristigueta', 'gracias']",Well Red aristigueta !! Thanks !!,"['well', 'red', 'aristigueta', 'thanks']",0.0,0.286,0.714,Positivo
Será que directv no puede poner a comentar el juego de venezuela a un Venezolano que sienta más a la selección ? Que sus “análisis” no se centren en criticar a los muchachos y exaltar “lo bueno” que son los otros ?,"['directv', 'puede', 'poner', 'comentar', 'juego', 'venezuela', 'venezolano', 'sienta', 'selección', 'análisis”', 'centren', 'criticar', 'muchachos', 'exaltar', 'bueno”']","Could it be that directv cannot make a Venezuelan who feels more like the national team to comment on the game of Venezuela? That his ""analysis"" does not focus on criticizing the boys and praising ""how good"" the others are?","['could', 'directv', 'cannot', 'make', 'venezuelan', 'feels', 'like', 'national', 'team', 'comment', 'game', 'venezuela', 'analysis', 'focus', 'criticizing', 'boys', 'praising', 'good', 'others']",0.095,0.568,0.337,Neutral
@EzequielDaray Saludos Ezequiel !!  Peor el cambio de can !! No sabe para que entro ?,"['ezequieldaray', 'saludos', 'ezequiel', 'peor', 'cambio', 'can', 'sabe', 'entro']",@EzequielDaray Greetings Ezequiel !! Worse the change of can !! Do not know why I enter?,"['ezequieldaray', 'greetings', 'ezequiel', 'worse', 'change', 'know', 'enter']",0.284,0.459,0.257,Neutral
@porlagoma Total,"['porlagoma', 'total']",@porlagoma Total,"['porlagoma', 'total']",0.0,1.0,0.0,Neutral
"Por el resultado y todo el trabajo hablamos  más de @Wuilker_Farinez , de verdad excepcional . Pero lo del rojo @Feraristeguieta es superlativo qué nivel de entrega que dolor por la camisa, que respeto por el pais, por el mismo.  Gran juego muchachos !!","['resultado', 'trabajo', 'hablamos', 'wuilker', 'farinez', 'verdad', 'excepcional', 'rojo', 'feraristeguieta', 'superlativo', 'nivel', 'entrega', 'dolor', 'camisa', 'respeto', 'pais', 'mismo', 'gran', 'juego', 'muchachos']","For the result and all the work we talk more about @Wuilker_Farinez, truly exceptional. But the red thing @Feraristeguieta is superlative what level of dedication that pain for the shirt, that I respect for the country, for itself. Great game guys !!","['result', 'work', 'talk', 'wuilker', 'farinez', 'truly', 'exceptional', 'red', 'thing', 'feraristeguieta', 'superlative', 'level', 'dedication', 'pain', 'shirt', 'respect', 'country', 'great', 'game', 'guys']",0.112,0.544,0.344,Neutral
