,word,count
0,atrás,6
1,aquí,3
2,abundaban,1
3,tweets,1
4,queja,1
5,hamburguesas,2
6,llegaban,1
7,costar,2
8,ahora,19
9,contrario,10
10,veo,14
11,amplia,1
12,oferta,14
13,incluso,30
14,venezuela,146
15,cambio,13
16,mercado,59
17,vale,6
18,pena,2
19,destacar,4
20,termino,1
21,leer,14
22,último,7
23,marqués,2
24,inés,2
25,quintero,2
26,llevo,2
27,historia,24
28,aristócrata,1
29,momento,11
30,formó,1
31,parte,34
32,familia,4
33,rica,1
34,luchó,1
35,independencia,1
36,país,104
37,controversias,1
38,errores,1
39,laberintos,1
40,propios,2
41,mantuanaje,1
42,recomendado,3
43,hoy,83
44,atendió,1
45,mesonero,1
46,tal,19
47,buena,31
48,calidad,11
49,servicio,4
50,pedí,1
51,número,4
52,contratarlo,1
53,evento,3
54,privado,14
55,moraleja,1
56,esfuérzate,1
57,hagas,1
58,da,9
59,mejor,18
60,nunca,7
61,sabes,1
62,cuándo,3
63,cómo,23
64,surgen,1
65,oportunidades,3
66,crecer,6
67,confianza,3
68,forma,12
69,elevada,5
70,motivación,2
71,humana,6
72,stephen,2
73,covey,1
74,cultura,6
75,corporativa,4
76,puede,35
77,hacer,25
78,brillar,1
79,talento,7
80,mala,3
81,destruirlo,1
82,complace,1
83,anunciar,4
84,incorporación,3
85,capote,2
86,marcos,4
87,equipo,3
88,omnis,7
89,business,3
90,partners,5
91,cada,13
92,vez,30
93,sumamos,1
94,talentos,2
95,organización,9
96,creen,8
97,compromiso,2
98,mejorar,7
99,ámbito,2
100,financiero,16
101,empresarial,11
102,venezolano,53
103,bienvenido,2
104,carlossalinas,1
105,ninguna,7
106,molestia,1
107,vivimos,3
108,entorno,12
109,difícil,9
110,si,83
111,mano,3
112,ayudar,4
113,mayor,35
114,disposición,1
115,haré,1
116,favor,6
117,contácteme,1
118,dirección,3
119,correo,1
120,aguevara,6
121,somosomnis,1
122,com,5
123,henkelgarcia,21
124,rafaelarraiz,7
125,dijo,8
126,contexto,10
127,exclusivamente,2
128,aunque,17
129,charla,2
130,público,6
131,target,1
132,hace,39
133,par,2
134,días,17
135,escuché,3
136,conferencia,2
137,privada,7
138,conocido,4
139,empresario,4
140,grandes,14
141,limitantes,1
142,éxito,2
143,ego,2
144,envidia,2
145,nacemos,1
146,propias,2
147,hombre,10
148,debemos,11
149,controlarlas,1
150,avanzar,1
151,arondon,4
152,acuerdo,22
153,comentario,5
154,andrea,2
155,saludos,35
156,¿hasta,1
157,punto,18
158,privacidad,2
159,afectar,2
160,valor,14
161,acción,8
162,bolsa,24
163,analizamos,1
164,reciente,5
165,caso,15
166,didi,2
167,global,4
168,china,18
169,🇨🇳,7
170,impacto,8
171,eeuu🇺🇸,3
172,ello,22
173,videocolumna,11
174,semana,26
175,eldiario,14
176,gobierno,42
177,francia🇫🇷,2
178,multó,2
179,google,3
180,millones,32
181,euros,2
182,llegar,9
183,medios,16
184,comunicación,8
185,franceses,1
186,pago,8
187,contenido,5
188,noticias,4
189,news,1
190,multa,2
191,autoridades,9
192,francesas,1
193,tema,73
194,competencia,6
195,cguilliod,1
196,interesante,18
197,gusta,7
198,grupo,5
199,zuliano,1
200,compañía,20
201,manejada,2
202,gente,27
203,seria,1
204,confieso,13
205,veces,19
206,liquidez,3
207,preferidas,1
208,montos,4
209,pequeños,5
210,ojalá,9
211,emisión,6
212,nuevas,6
213,acciones,17
214,ayude,3
215,interesa,3
216,teoría,2
217,política,14
218,sugiero,3
219,vean,3
220,serie,2
221,documental,5
222,netflix,2
223,how,1
224,to,5
225,become,1
226,tyrant,1
227,menos,39
228,aportó,1
229,datos,6
230,desconocía,2
231,biografías,2
232,sujetos,1
233,idi,1
234,amin,1
235,saddam,1
236,hussein,1
237,reafirma,2
238,importancia,13
239,querer,5
240,libertad,16
241,jesus,6
242,pinero,5
243,editorial,2
244,alfa,2
245,bueno,25
246,felicidades,3
247,gracias,41
248,siempre,21
249,ayudarme,1
250,difundir,2
251,cosas,45
252,buenas,13
253,quedan,5
254,agradecido,8
255,victormrl,1
256,sé,17
257,cuáles,1
258,máximo,5
259,cliente,2
260,comenta,3
261,ganado,1
262,caprino,1
263,derivados,3
264,mejores,14
265,mundo,32
266,recientemente,3
267,especialistas,3
268,europeos,2
269,venido,7
270,certificar,1
271,alta,8
272,alegra,4
273,saber,6
274,cabras🐐,1
275,potencial,3
276,fácil,9
277,levantar,3
278,negocio,12
279,méxico,2
280,emprendedor,2
281,misión,4
282,debe,25
283,ser,50
284,cambie,1
285,promover,6
286,empresas,29
287,riqueza,4
288,promedio,6
289,costo,5
290,transporte,4
291,mercancía,2
292,bienes,7
293,china🇨🇳,7
294,costa,2
295,oeste,1
296,unidos🇺🇸,6
297,cuadruplicado,1
298,nivel,6
299,prepandemia,1
300,chinas🇨🇳,3
301,anunciaron,1
302,aquellas,1
303,constituidas,1
304,información,6
305,millón,3
306,usuarios,5
307,deberán,1
308,pasar,3
309,revisión,1
310,previa,2
311,pública,12
312,bolsas,2
313,extranjeras,2
314,genuinamente,2
315,dedican,1
316,bien,31
317,construir,2
318,divulgar,2
319,iniciativas,2
320,implica,6
321,apología,1
322,nutellas,2
323,bogedones,1
324,simplifiquen,1
325,realidad,9
326,maniqueísmos,1
327,sociedades,1
328,estáticas,1
329,indonesia🇮🇩,1
330,anunció,15
331,bukalapak,1
332,monto,6
333,cercano,3
334,millardos,10
335,dólares,31
336,ipo,1
337,grande,8
338,asiático,5
339,empresa,19
340,valorada,2
341,usd,11
342,dedica,1
343,comercio,11
344,electrónico,2
