frequency,bigram/trigram
9,you re
7,holareserve anthxnyb
4,when you
4,solo quiero
4,jcxrlosbg ahmanzo
4,buenos días
4,buenas noches
4,barretoexe amo
4,ahmanzo omarenrique_mp
3,young royals
3,toy feliz
3,tas bien
3,si ves
3,omarenrique_mp paoladelgadou
3,juanfq_ vaquitabruull
3,juanfq_ urfancycowboyx
3,jcxrlosbg ahmanzo omarenrique_mp
3,guess you
3,favorite crime
3,dios bendiga
3,ahmanzo paoladelgadou
3,ahmanzo omarenrique_mp paoladelgadou
3,ahmanzo jaja
3,abrilavr ahmanzo
2,ánimo ánimo
2,you re all
2,you get
2,you didn cheat
2,you didn
2,xnackyguy safaero
2,would you
2,with you
2,when you re
2,we ll
2,urfancycowboyx its_jxsus moisses_o
2,urfancycowboyx its_jxsus
2,untalsiso ungarrido_ soystef_x
2,untalsiso ungarrido_
2,ungarrido_ soystef_x
2,twenty one pilots
2,twenty one
2,tupapivic perdón
2,tonestone99 juanfq_ urfancycowboyx
2,tonestone99 juanfq_
2,tomar agua
2,to be
2,that we
2,termine clase
2,soyunbetx jaja
2,soystef_x ah
2,solo quiero ser
2,solar power
2,siemprepapita flamboyantsass
2,si si
2,ser feliz
2,saschagayness espero
2,re all
2,rains when you
2,rains when
2,quiero ser feliz
2,quiero ser
2,qn regala
2,pzo pr mium
2,pzo pr
2,pudo haber
2,pr mium
2,pensando canción
2,pa llorar
2,one pilots
2,omarenrique_mp ahmanzo paoladelgadou
2,omarenrique_mp ahmanzo
2,of your
2,mucha fuerza
2,moment knew
2,mereces bueno bonito
2,mereces bueno
2,media hora
2,mas tarde
2,maría verónica
2,manceps dios bendiga
2,manceps dios
2,luiispuerta amo puerta
2,luiispuerta amo
2,leo rising
2,know it
2,jcxrlosbg omarenrique_mp ahmanzo
2,jcxrlosbg omarenrique_mp
2,its_jxsus moisses_o
2,it rains when
2,it rains
2,if you
2,hoy vi
2,hoy si
2,hoy duerme
2,guess you didn
2,gracias gordo
2,familia hoy duerme
2,familia hoy
2,edgarelfachero a1bert0_
2,días solo
2,dos veces
2,do if
2,dissonanceking tupapivic
2,dissonanceking miguel
2,dieron like
2,didn cheat
2,dianaroa_ untalsiso
2,dianaroa_ jaja
2,cómo quedó
2,cooperación económica
2,carlosantoniohq urfancycowboyx its_jxsus
2,carlosantoniohq urfancycowboyx
2,camilagon tinaotravez
2,camilaarrieta07 untalsiso ungarrido_
2,camilaarrieta07 untalsiso
2,but you
2,buenos días solo
2,bueno manceps dios
2,bueno manceps
2,bueno bonito
2,buenas tardes
2,bua literal
2,barretoexe bueno
2,barretoexe amo mibida
2,aquí pensando
2,amo puerta
2,amo mibida
2,ahmanzo solo
2,ahmanzo dianaroa_
2,ahmanzo ana
2,ahmanzo abrilavr
2,abrilavr omarenrique_mp
2,abrilavr jcxrlosbg
2,abrilavr jaja
2,abrilavr hola
2,abrilavr amoo
2,abrilavr amo
1,único molesta leo
1,único molesta
1,único hago cerrarme
1,único hago
1,única respuesta correcta
1,única respuesta
1,últimos 15min quiero
1,últimos 15min
1,último pueden rascar
1,último pueden
1,últimamente intentando cosas
1,últimamente intentando
1,échate sábila
1,ánimo ánimo ánimo
1,ángeles amo siento
1,ángeles amo
1,ámbito universitario ahmanzo
1,ámbito universitario
1,álbumes favoritos vjoiq27vau
1,álbumes favoritos
1,álbum spotify youtube
1,álbum spotify
1,álbum morat picadito
1,álbum morat
1,zayn perra falsa
1,zayn perra
1,your temper
1,your nemesis will
1,your nemesis
1,your heart
1,your hair
1,your friends
1,young royals s01e05
1,young royals mas
1,young royals ahora
1,you your temper
1,you your
1,you trenches
1,you too much
1,you too
1,you tolerate it
1,you tolerate
1,you think loved
1,you think
1,you right thing
1,you right
1,you re still
1,you re okay
1,you re not
1,you re life
1,you re here
1,you re halfway
1,you re gone
1,you questions
1,you now then
1,you now
1,you might be
1,you might
1,you ll get
1,you ll
1,you know that
1,you know
1,you kiss feel
1,you kiss
1,you hope that
1,you hope
1,you heaaaar my
1,you heaaaar
1,you get lost
1,you get chance
1,you for fences
1,you for
1,you feel it
1,you feel
1,you do if
1,you do
1,you date someone
1,you date
1,you clean
1,you but have
1,you but
1,you belong with
1,you belong
1,you assume fine
1,you assume
1,you ask
1,yop estudiar asies
1,yop estudiar
1,yoo paso siento
1,yoo paso
1,yet nunca emborrachado
1,yet nunca
1,yes yes
1,year day favs
1,year day
