,word,count
0,judge,1
1,blocks,1
2,new,3
3,applicants,1
4,to,23
5,program,1
6,that,2
7,protects,1
8,undocumented,1
9,‘dreamers’,1
10,who,2
11,arrived,1
12,as,3
13,children,3
14,nah,1
15,webona,1
16,vladimir,1
17,rawayana,1
18,miblogestublog,1
19,doritoribio,4
20,parece,4
21,‘modern,1
22,love’,1
23,season,1
24,watch,1
25,the,23
26,trailer,1
27,¡qué,6
28,emoción,2
29,meme,1
30,puede,8
31,cotizarse,1
32,¿ya,1
33,sabes,3
34,nft,2
35,🖼️,1
36,miren,3
37,guarapita,3
38,hoy,20
39,destilado,3
40,soyarepita,30
41,¿te,1
42,gusta,3
43,suscríbete,4
44,aquí,18
45,¡feliz,5
46,cumpleaños,9
47,señor,6
48,andrés,2
49,ajcaleca,5
50,regalo,2
51,fotico,1
52,historia,11
53,joven,2
54,venezolana,3
55,migra,3
56,argentina,4
57,huyendo,1
58,padres,3
59,descubre,2
60,vocación,1
61,hace,7
62,amistad,3
63,entrañable,2
64,anciana,1
65,bellísima,2
66,forma,2
67,agradecer,1
68,compañía,2
69,jaimemerrick,9
70,via,7
71,lavidadenos,13
72,maribelastrid,7
73,tipa,1
74,clara,1
75,según,8
76,departamento,1
77,justicia,4
78,servicios,3
79,secretos,1
80,régimen,6
81,querían,1
82,raptar,1
83,masih,1
84,alinejad,1
85,autora,1
86,estadounidense,1
87,origen,1
88,iraní,1
89,estudiaban,1
90,llevársela,1
91,mar,2
92,destino,1
93,venezuela,26
94,través,60
95,elpais,6
96,america,6
97,joaquinamusica,2
98,canción,2
99,lassomusica,2
100,gijnes,1
101,mramirezcabello,13
102,amazonía,2
103,gerdanperox,1
104,exalcalde,1
105,josé,10
106,ramón,1
107,lópez,1
108,regresa,1
109,administración,2
110,pública,3
111,ficha,1
112,clave,4
113,noguera,2
114,pietri,1
115,correodelcaroni,74
116,jesus,3
117,pinero,3
118,editorial,1
119,alfa,1
120,¡estás,1
121,🔥🔥🔥,1
122,éxito,2
123,quiero,15
124,leerlo,1
125,gabysininternet,3
126,¡gracias,8
127,gaby,1
128,aceptar,1
129,❤️,2
130,trabajo,19
131,gráfico,1
132,podcast,2
133,escape,1
134,tierra,2
135,gracia,1
136,delicado,1
137,hermoso,4
138,pasen,2
139,ver,8
140,ilustraciones,1
141,acá,4
142,👇🏽,1
143,networking,1
144,mega,1
145,importante,9
146,universidad,2
147,viene,1
148,jardín,5
149,alcasa,2
150,venalum,3
151,carbonorca,1
152,fmo,1
153,mibiturven,1
154,¿como,1
155,elhilopodcast,1
156,semana,4
157,va,5
158,cuba,2
159,fsingerf,9
160,encanta,5
161,mundo,6
162,grabando,2
163,teléfonos,1
164,arriba,1
165,diegofonsecadf,4
166,desastrosamente,1
167,partir,3
168,escasez,1
169,gasolina,4
170,guayana,29
171,incrementó,1
172,uso,2
173,bicicletas,1
174,opción,1
175,ecológica,1
176,aumentaron,1
177,robos,1
178,fabiana,1
179,millán,1
180,editado,1
181,mapa,2
182,incluido,1
183,ayúdemos,1
184,elias,5
185,recuperar,3
186,salud,12
187,lalauraguevara,5
188,ellabric,1
189,selenequiroga,1
190,ay,18
191,muero,1
192,ir,5
193,casi,9
194,km,1
195,cola,2
196,abastecer,1
197,puerto,7
198,ordaz,7
199,parte,11
200,indignación,1
201,guayaneses,2
202,racionamiento,1
203,agua,14
204,luz,6
205,etc,6
206,resultado,1
207,nuevo,3
208,plan,8
209,especial,4
210,falta,5
211,trump,5
212,buenos,3
213,ron,2
214,desantis,1
215,greg,1
216,abbott,1
217,biden,4
218,firmó,1
219,extensa,1
220,orden,4
221,ejecutiva,1
222,monopolios,1
223,boletín,2
224,julio,2
225,eltiempolatino,1
226,carlossuniagag,2
227,imagino,2
228,misión,3
229,ue,1
230,subiendo,2
231,caracas,7
232,pleno,1
233,tiroteo,1
234,danielajtb,9
235,latam,1
236,alrededores,1
237,franciscowestal,13
238,feliz,7
239,cumple,2
240,especialmente,1
241,cumplañeros,1
242,nieta,1
243,jiji,3
244,lucciatrini,1
245,ánimo,1
246,lucy,1
247,abrazo,13
248,foto,13
249,describe,2
250,nivel,3
251,abandono,1
252,sacan,1
253,oro,6
254,mineral,2
255,hierro,4
256,chatarra,2
257,queda,4
258,naturaleza,2
259,permite,3
260,mare,1
261,of,11
262,easttown,1
263,hbo,1
264,videollamada,1
265,andreinaclo,8
266,iv,1
267,vino,2
268,cerveza,1
269,emoji,1
270,❤️‍🔥,1
271,siempre,17
272,pana,3
273,buena,7
274,vibra,1
275,familia,2
276,lindo,2
277,caortiz,2
278,recuerdan,1
279,profe,7
280,palabra,2
281,tan,12
282,presente,2
283,tristeza,3
284,luego,5
285,anajulia,3
286,marilachang,15
287,jajajaja,20
288,voooy,1
289,amo,8
290,chama,2
291,verolerolero,23
292,vero,1
293,loveyou,1
294,masqespina,1
295,gracias,27
296,amigas,2
297,amigos,4
298,quipus,3
299,app,3
300,¿cómo,9
301,van,3
302,quinielas,1
303,voy,8
304,ganador,1
305,marijoperez,2
306,marijó,1
307,gran,19
308,¡graacias,1
309,amén,2
310,naky,10
311,pepe,1
312,circunspecto,1
313,deseos,1
314,saladeinfo,1
315,respaldar,1
316,compañeros,1
317,grande,1
318,alexiscorreia,10
319,carajo,2
320,enterando,1
321,conversa,1
322,colega,9
323,tqm,3
324,karenvilleda,1
325,stepozzebon,13
326,listo,2
327,¡prrrrrooooonto,1
328,amor,4
329,tiramisú,1
330,mejor,10
331,venden,2
332,churrasco,1
333,jajajjaaj,1
334,maría,2
335,ruzza,1
336,clínica,1
337,ceciamb,1
338,gobierno,7
339,nunca,10
340,pensado,1
341,clínicas,1
342,colaboradoras,1
343,proteger,1
344,comunidad”,1
345,evelio,1
346,lucero,1
347,mejores,5
348,archivos,1
349,fotográficos,1
350,tema,4
351,pendiente,1
352,ciudad,12
353,gente,6
354,tomara,1
355,riendas,2
356,destino”,1
357,pluma,1
358,oscarfmurillo,8
359,gabriela,1
360,mazzerioli,1
361,propietaria,1
362,local,1
363,pizzas,1
364,elchurrasco,1
365,desidia,1
366,obliga,1
367,tomar,4
368,propias,1
