tweet_translated_tokenized,sentiment,NB_Negativo,NB_Positivo,SVM_Negativo,SVM_Positivo,DF_Negativo,DF_Positivo,MaxEnt_Negativo,MaxEnt_Positivo
"['manitaho', 'write', 'stay', 'stuck', 'time', 'time', 'circumstances', 'remember', 'capable']",Positivo,0.6279059516211193,0.3720940483788793,0.7218835363396767,0.2781164636603229,1.0,0.0,0.6381130006228053,0.36188699937719465
"['luisjlopezm', 'love', 'annotated']",Positivo,0.4085539516867773,0.5914460483132238,0.08279668961692656,0.9172033103830736,0.0,1.0,0.4462734131316055,0.5537265868683945
"['lmaracara', 'adricultora', 'cc', 'marcosdavidv', 'small', 'farms', 'poor', 'guacas']",Negativo,0.6757906407771943,0.32420935922280425,0.7726185468910061,0.22738145310899416,1.0,0.0,0.652562719420426,0.34743728057957396
"['savedra', 'dias', 'opening', 'patreon']",Negativo,0.6213601366106656,0.3786398633893353,0.7285813054432227,0.27141869455677725,1.0,0.0,0.6428501145618255,0.3571498854381745
"['ciscoinc', 'study', 'together', '❤️❤️']",Negativo,0.5339398352876354,0.4660601647123647,0.7207539318897993,0.27924606811020075,1.0,0.0,0.6179444627775132,0.3820555372224868
"['gregorio', 'afonso', 'yes', 'world', 'great', 'experience']",Positivo,0.45763178657404996,0.5423682134259517,0.17869954557907536,0.8213004544209246,0.0,1.0,0.4916173669910102,0.5083826330089898
"['middle', 'pandemic', 'hospitals', 'edge', 'bauxilum', 'celebrates', 'massive', 'assistance', 'lighting', 'little', 'tree']",Positivo,0.5426533395516869,0.457346660448312,0.5982723081229566,0.4017276918770433,1.0,0.0,0.6119757243499577,0.3880242756500422
"['sidoristarrr', 'fortunately', 'camp', 'trailers', 'equipment', 'sold', 'house', 'still', 'furniture', 'dryer', 'dishes', 'etc', 'sidor', 'like', 'chávez', 'amp', 'co']",Positivo,0.6120869863188168,0.3879130136811829,0.6666850488523343,0.3333149511476658,0.0,1.0,0.6193178550984797,0.38068214490152036
"['someday', 'write', 'book', 'mapanare', 'endearing', 'sidor', 'camp', 'grew', 'stories', 'thanks', 'anecdotes']",Positivo,0.5766048867841398,0.42339511321585904,0.4446370919277447,0.5553629080722554,0.0,1.0,0.5854243663078045,0.4145756336921956
"['💗💗', 'rare', 'extraordinary', 'year', 'learning', 'collaboration', 'resilience']",Positivo,0.4551949343013678,0.5448050656986323,0.3722686621883579,0.6277313378116419,1.0,0.0,0.5638704343970656,0.43612956560293437
"['siriagastelum', 'gi', 'toc', 'judiekaberia', 'isazuleta', 'mariais', 'raffylerma', 'juanachange', 'eliberarero', 'thanks', 'wonderful', 'team', 'support', 'given', 'us', 'invaluable']",Positivo,0.4115544010400365,0.5884455989599656,0.09117856064370357,0.9088214393562964,0.0,1.0,0.5002366046692267,0.4997633953307733
"['che', 'stop']",Negativo,0.7337865292851686,0.2662134707148306,0.926368471190197,0.07363152880980303,1.0,0.0,0.6937426670665003,0.30625733293349966
"['augustocesar', 'incredible']",Negativo,0.7391864250265927,0.2608135749734068,0.9435505732143856,0.0564494267856144,1.0,0.0,0.6966184403229683,0.3033815596770317
"['tochekarla', 'good', 'idea']",Positivo,0.2788054812585433,0.7211945187414573,0.02875088538340304,0.971249114616597,0.0,1.0,0.38336275832157296,0.616637241678427
