tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized
"Para la esposa de mi compañero en Correo del Caroní, William Urdaneta.  https://t.co/H7aPOfA4RX","['esposa', 'compañero', 'correo', 'caroní', 'william', 'urdaneta']","For the wife of my partner in Correo del Caroní, William Urdaneta. https://t.co/H7aPOfA4RX","['wife', 'partner', 'correo', 'del', 'caroní', 'william', 'urdaneta']"
"@juliomoya6 @oliviadelv @GobJustoNoguera @tatachavista @ISP_Bolivar @_PrensaGobol @sec_gob Amigo, la postulación de Nancy es un parapeto porque para las primarias del PSUV obligatoriamente tiene que haber 10 candidatos y 10 candidatas para cada cargo.  En Caroní también hicieron ese acto sin distanciamiento, gente sin tapabocas... La que sale en el video es la Tata","['juliomoya', 'oliviadelv', 'gobjustonoguera', 'tatachavista', 'isp', 'bolivar', 'prensagobol', 'sec', 'gob', 'amigo', 'postulación', 'nancy', 'parapeto', 'primarias', 'psuv', 'obligatoriamente', 'haber', 'candidatos', 'candidatas', 'cada', 'cargo', 'caroní', 'hicieron', 'acto', 'distanciamiento', 'gente', 'tapabocas', 'sale', 'video', 'tata']","@ juliomoya6 @oliviadelv @GobJustoNoguera @tatachavista @ISP_Bolivar @_PrensaGobol @sec_gob Friend, Nancy's application is a parapet because for the PSUV primaries there must be 10 candidates and 10 candidates for each position. In Caroní they also did that act without distancing, people without masks ... The one that appears in the video is Tata","['juliomoya', 'oliviadelv', 'gobjustonoguera', 'tatachavista', 'isp', 'bolivar', 'prensagobol', 'sec', 'gob', 'friend', 'nancy', 'application', 'parapet', 'psuv', 'primaries', 'must', 'candidates', 'candidates', 'position', 'caroní', 'also', 'act', 'without', 'distancing', 'people', 'without', 'masks', 'one', 'appears', 'video', 'tata']"
"#Bolívar Mañana #17Jul despachan combustible a los terminales de placas 3 y 4. El ""plan especial"" se suspende por este día, informó la @ZODIBOLIVAR62  https://t.co/j2IT6TcVSj","['bolívar', 'mañana', 'jul', 'despachan', 'combustible', 'terminales', 'placas', 'plan', 'especial', 'suspende', 'día', 'informó', 'zodibolivar']","# Bolívar Tomorrow # 17Jul they dispatch fuel to the terminals of plates 3 and 4. The ""special plan"" is suspended for this day, reported @ ZODIBOLIVAR62 https://t.co/j2IT6TcVSj","['bolívar', 'tomorrow', 'jul', 'dispatch', 'fuel', 'terminals', 'plates', 'special', 'plan', 'suspended', 'day', 'reported', 'zodibolivar']"
"Entre la Calle Cuchivero y la Carrera Caruachi, en Alta Vista, se hará la mañana de este #15Jul el acto de inicio de campaña para las primarias del PSUV. #Guayana #PuertoOrdaz","['calle', 'cuchivero', 'carrera', 'caruachi', 'alta', 'vista', 'hará', 'mañana', 'jul', 'acto', 'inicio', 'campaña', 'primarias', 'psuv', 'guayana', 'puertoordaz']","Between Calle Cuchivero and Carrera Caruachi, in Alta Vista, on the morning of this # 15Jul the campaign start ceremony for the PSUV primaries will be held. #Guayana #PuertoOrdaz","['calle', 'cuchivero', 'carrera', 'caruachi', 'alta', 'vista', 'morning', 'jul', 'campaign', 'start', 'ceremony', 'psuv', 'primaries', 'held', 'guayana', 'puertoordaz']"
"Este año, en dupla con Justo Noguera para la reelección en la Gobernación de Bolívar, JRL fue postulado por las UBCH para ir a primarias del PSUV y ser candidato a la Alcaldía de Caroní. Pero la cúpula del partido lo excluyó de las postulaciones, al igual que a Ángel Marcano","['año', 'dupla', 'justo', 'noguera', 'reelección', 'gobernación', 'bolívar', 'jrl', 'postulado', 'ubch', 'ir', 'primarias', 'psuv', 'ser', 'candidato', 'alcaldía', 'caroní', 'cúpula', 'partido', 'excluyó', 'postulaciones', 'igual', 'ángel', 'marcano']","This year, in a pair with Justo Noguera for re-election in the Bolívar Government, JRL was nominated by the UBCH to go to the PSUV primaries and be a candidate for Mayor of Caroní. But the party leadership excluded him from the nominations, as well as Ángel Marcano","['year', 'pair', 'justo', 'noguera', 'election', 'bolívar', 'government', 'jrl', 'nominated', 'ubch', 'go', 'psuv', 'primaries', 'candidate', 'mayor', 'caroní', 'party', 'leadership', 'excluded', 'nominations', 'well', 'ángel', 'marcano']"
"En 2015, JRL fue detenido e imputado por delitos de corrupción en la Alcaldía de Caroní. Su caso pasó a juicio, pero nunca hubo fecha de apertura, el tribunal siempre difirió. Después de estar en arresto domiciliario, en 2017 se le vio nuevamente en las calles.","['jrl', 'detenido', 'imputado', 'delitos', 'corrupción', 'alcaldía', 'caroní', 'caso', 'pasó', 'juicio', 'nunca', 'fecha', 'apertura', 'tribunal', 'siempre', 'difirió', 'después', 'arresto', 'domiciliario', 'vio', 'nuevamente', 'calles']","In 2015, JRL was arrested and charged with corruption offenses in the Caroní Mayor's Office. His case went to trial, but there was never an opening date, the court always differed. After being under house arrest, in 2017 he was seen again on the streets.","['jrl', 'arrested', 'charged', 'corruption', 'offenses', 'caroní', 'mayor', 'office', 'case', 'went', 'trial', 'never', 'opening', 'date', 'court', 'always', 'differed', 'house', 'arrest', 'seen', 'streets']"
¿Que lograron qué?,"['¿que', 'lograron']",What did they achieve?,['achieve']
@misle Entre eso y marcar como leído casi todos los grupos (sin leer los mensajes) me perdieron...,"['misle', 'marcar', 'leído', 'casi', 'grupos', 'leer', 'mensajes', 'perdieron']",@misle Between that and mark as read almost all the groups (without reading the messages) they lost me ...,"['misle', 'mark', 'read', 'almost', 'groups', 'without', 'reading', 'messages', 'lost']"
"Este marte #13Jul retoman el ""plan especial"" de despacho de gasolina en Bolívar para los terminales de placa 8. Solo 3 estaciones de servicio en todo el estado.  https://t.co/EFcGWu5Q1x","['marte', 'jul', 'retoman', 'plan', 'especial', 'despacho', 'gasolina', 'bolívar', 'terminales', 'placa', 'solo', 'estaciones', 'servicio']","This Mars # 13Jul they resume the ""special plan"" of gasoline dispatch in Bolívar for plate 8 terminals. Only 3 service stations in the entire state. https://t.co/EFcGWu5Q1x","['mars', 'jul', 'resume', 'special', 'plan', 'gasoline', 'dispatch', 'bolívar', 'plate', 'terminals', 'service', 'stations', 'entire', 'state']"
"Reportan que más de 300 familias se vieron afectadas en el sector Luis Hurtado Higuera, en San Félix, por la fuerte lluvia de esta tarde #12Jul Se cayeron 3 postes de electricidad. Fotos Cortesía  https://t.co/oj8Op8RZ6j","['reportan', 'familias', 'vieron', 'afectadas', 'sector', 'luis', 'hurtado', 'higuera', 'san', 'félix', 'fuerte', 'lluvia', 'tarde', 'jul', 'cayeron', 'postes', 'electricidad', 'fotos', 'cortesía']","They report that more than 300 families were affected in the Luis Hurtado Higuera sector, in San Félix, by the heavy rain this afternoon # 12Jul 3 electricity poles fell. Photos Courtesy https://t.co/oj8Op8RZ6j","['report', 'families', 'affected', 'luis', 'hurtado', 'higuera', 'sector', 'san', 'félix', 'heavy', 'rain', 'afternoon', 'jul', 'electricity', 'poles', 'fell', 'photos', 'courtesy']"
