frequency,bigram/trigram
12,reino unido
12,moneda extranjera
11,economía venezolana
10,tal vez
10,cosas buenas
9,sector privado
9,oferta pública
8,sigue siendo
8,millones dólares
8,cada vez
8,buena parte
7,unión europea
7,nueva york
7,mercado venezolano
7,mercado valores
7,gracias compartir
7,gracias amigo
6,via elnacionalweb
6,si bien
6,semana pasada
6,redes sociales
6,mil millones
6,gran abrazo
6,fuerte abrazo
6,derecho mercantil
6,columna semana
6,buena noticia
5,sistema financiero
5,políticas públicas
5,país asiático
5,millardos usd
5,mejores deseos
5,llama atención
5,gobierno chino
5,debe ser
5,20 años
4,yisus_dixit angel1mcy
4,videocolumna eldiario
4,ver cómo
4,varios años
4,valores venezolano
4,valores caracas
4,vacunas covid
4,uslar pietri
4,ser mejores
4,semana nacional
4,semana eldiario
4,propósito tema
4,pocas veces
4,millones usd
4,mercado valores venezolano
4,mercado bursátil
4,medios comunicación
4,mayor cantidad
4,gmail com
4,financial times
4,feliz año
4,espaiq_espiguel yisus_dixit angel1mcy
4,espaiq_espiguel yisus_dixit
4,eduardomassieu gusrojasmatute
4,día hoy
4,derechos humanos
4,covid 19
4,cooperación voluntaria
4,columna semana nacional
4,cedice gmail com
4,cedice gmail
4,bolsa valores caracas
4,bolsa valores
4,bolsa caracas
4,aguevara cedice gmail
4,aguevara cedice
3,últimos días
3,últimos años
3,visto visto
3,videocolumna semana eldiario
3,videocolumna semana
3,vicente gómez
3,valores inmobiliarios
3,tras pandemia
3,tomando base
3,tema fondo
3,sistema precios
3,siglo xx
3,servicios streaming
3,servicios públicos
3,servicios bancarios
3,serbinpont gtaveledo
3,san ignacio
3,saludos feliz
3,ronaldbalzag urbigaray
3,rick8988 gusrojasmatute
3,recurso humano
3,ramón velásquez
3,querido amigo
3,punto vista
3,puede ser
3,private equity
3,primera vez
3,precios justos
3,precios dólares
3,poca cosa
3,países bajos
3,papeles comerciales
3,orden complejo
3,omnis business partners
3,omnis business
3,nueva asamblea
3,noviembre 2020
3,naciones ricas
3,mundo incluso
3,muchas gracias
3,mucha fuerza
3,millardos dólares
3,mil millones usd
3,mercado negro
3,medios pago
3,margen maniobra
3,luisoliveros13 ronaldbalzag urbigaray
3,luisoliveros13 ronaldbalzag
3,link acá
3,libre comercio
3,largo plazo
3,junta directiva
3,juan vicente gómez
3,juan vicente
3,jeff bezos
3,interesante tema
3,inflación dólares
3,incluso venezuela
3,inclusión financiera
3,hong kong
3,historia venezuela
3,henkelgarcia luisoliveros13 ronaldbalzag
3,henkelgarcia luisoliveros13
3,hace falta
3,hace días
3,hablo videocolumna
3,gran persona
3,gran parte
3,gran libro
3,foto tomada
3,fondo valores inmobiliarios
3,fondo valores
3,flujo caja
3,financiero venezolano
3,entiendo punto
3,empresa privada
3,eaprieto gracias
3,donald trump
3,dolarización transaccional
3,dolarización financiera
3,cualquier cosa
3,crecimiento económico
3,conocida empresa
3,compré hace
3,coalición poder
3,capital humano
3,canal youtube
3,business partners
3,buena observación
3,buen trabajo
3,bolsa nueva york
3,bolsa nueva
3,barry goldwater
3,banco central
3,banca enfrenta
3,años venezuela
3,años después
3,artículo académico
3,aroliveros henkelgarcia luisoliveros13
3,aroliveros henkelgarcia
3,américa latina
3,abrazo amigo
3,2020 año
2,último marqués inés
2,último marqués
2,últimas semanas
2,última vez
2,zonas pobres venezuela
2,zonas pobres
2,york nyse
2,xx venezolano
2,warren buffet
2,vía elnacionalweb
2,von mises
2,vista teleférico ayer
2,vista teleférico
2,vienen camino
2,viejo continente
2,videocolumna hoy eldiario
2,videocolumna hoy
2,via producto
2,veía noticiero chavo
2,veía noticiero
2,ver salen
2,veo difícil
2,venezuela sino
2,venezuela países
2,venezuela país
2,venezuela nuevo
2,venezuela menos
2,venezuela especialmente
2,venezolanos dentro país
2,venezolanos dentro
2,venezolano conozco
2,venevisión decía gustaba
2,venevisión decía
2,varios países
2,varios factores
2,varias décadas
2,valores venezuela
2,vale pena
2,vacuna coronavirus
2,va enero
2,usted profesora
2,uso bolívar
2,unión europea prohibió
2,unas veces
2,típicos diciembre
2,tv cable caseta
2,tv cable
2,triste noticia
2,través banca
2,transición inclusiva
2,trabajaba parquero tv
2,trabajaba parquero
2,toyota anunció
2,torre trabajaba parquero
2,torre trabajaba
2,tonos típicos diciembre
2,tonos típicos
2,tomar consideración
2,tomando base experiencia
2,tomada ayer
2,tipo cambio
2,tiempos respuesta
2,tema vacunación
2,tema reflexiono columna
2,tema reflexiono
2,tema libertades
2,tema interesante
2,tema debatible
2,teleférico ayer gusta
2,teleférico ayer
2,tarjetas crédito
2,tapar sol dedo
2,tapar sol
2,tan sencillo
2,tan necesaria
2,talento humano
2,sueldo mínimo
2,sol languidece foto
2,sol languidece
2,sol dedo
2,sistema monetario
2,siglo xx venezolano
2,siempre ponía venevisión
2,siempre ponía
2,siempre abierto
2,si vas
2,si quiere
2,si pueden
2,si podemos
2,si oportunidad
2,si memoria falla
2,si memoria
2,si gusta
2,si claro
2,si acaso
2,septiembre 2001
2,según economist
2,según cifras
2,segundo país
2,seguir adelante
2,sector salud
2,sector público
2,saludos feliz año
2,salud educación
2,salir allí
2,salarios sino
2,rudy giuliani
2,rick8988 gusrojasmatute interesante
2,retiro tropas
2,resto mundo
2,registros mercantiles
2,reflexiono columna
2,recuperación económica
2,recuerdo estacionamiento torre
2,recuerdo estacionamiento
2,reconocer guaidó
2,recomiendo leer
2,recomiendo lectura
2,realidad venezolana
2,quién realmente
2,quiero pensar
2,queremos venezuela
2,punto medio
2,puede salir allí
2,puede salir
2,puede marcar diferencia
2,puede marcar
2,puede llegar
2,pudiera ser
2,pudiera hablar
2,pudiera aplicar
2,psicológico emocional
2,próximos años
2,propuesta g7
2,prohibición servicios
2,profundización dolarización
2,productos país
2,proceso emisión
2,principios valores
2,primera enmienda
2,primer trimestre
2,primer país
2,precisamente cosas
2,ponía venevisión decía
2,ponía venevisión
2,política exterior
2,poder coactivo
2,poder adquisitivo
2,pobres venezuela
2,pobres pueden
2,plano político
2,planificación fiscal
2,pintura venezolana
2,picacho galipán
2,petróleo venezolano
2,pesar siempre
2,peor aún
2,pensamiento conservador
2,países aliados
2,país venezolanos
2,país mundo
2,país experiencia sugiere
2,país experiencia
2,país ciudadanos
2,patentes vacunas covid
2,patentes vacunas
2,pasivos laborales moneda
2,pasivos laborales
2,parte sociedad
2,parte caracas vista
2,parte caracas
2,parquero tv cable
2,parquero tv
2,parece olvidarse
2,palos grandes
2,orden extenso
2,oferta bienes
2,octubre ello
2,observafinanzas angelalvarador econ_vzla
2,observafinanzas angelalvarador
2,nuevo año natalicio
2,nuevo año
2,nuevas acciones
2,nueva zelanda
2,nueva york nyse
2,nueva asamblea nacional
2,noticiero chavo béisbol
2,noticiero chavo
2,noticia hoy
2,nota efectococuyo
2,noche mañana
2,naciones pobres pueden
2,naciones pobres
2,método científico
2,municipio libertador
2,multa elevada
2,muchas cosas
2,mucha gente
2,motivan seguir adelante
2,motivan seguir
2,monto cercano
2,mismo saco
2,milton friedman
2,millones dosis
2,millones cuentas
2,mil millones dólares
2,mientras sólo
2,miembros junta directiva
2,miembros junta
2,meter mismo saco
2,meter mismo
2,merece mayor
2,mercado capitales
2,mercado bursátil venezolano
2,memoria falla
2,mayor preocupación
2,mayor informalidad
2,mayor grado
2,mayor capitalización mundo
2,mayor capitalización
2,mayor apertura
2,marqués inés quintero
2,marqués inés
2,marco regulatorio
2,marcar diferencia
2,ludwig von mises
2,ludwig von
2,llama atención cómo
2,libertades políticas
2,libertades civiles políticas
2,libertades civiles
2,libertad económica
2,legitimación capitales
2,leer trabajo
2,latina caribe
2,larga vida
2,languidece foto tomada
2,languidece foto
2,lamentable pérdida
2,laborales moneda extranjera
2,laborales moneda
2,karl marx
2,josé gregorio hernández
2,josé gregorio
2,jornadas derecho mercantil
2,jornadas derecho
2,jorge rodríguez
2,john carré
2,joe biden
2,jesus_pinero editorial_alfa
2,irse país
2,inés quintero
2,invito leer
2,interesante gráfica
2,intentar paliar
2,instagram somos_omnis
2,informalidad economía
2,incluyen comentarios
2,incluso partiendo
2,inclino pensar
2,impuestos corporativos
2,importancia mercado
2,imaginarias juan vicente
2,imaginarias juan
2,iba ser
2,háganse favor
2,hábito lectura
2,hoy videocolumna eldiario
2,hoy videocolumna
2,hoy entorno
2,hoy eldiario
2,hoy día
2,henkelgarcia nelsonjarama
2,hemadera aaad25
2,hedge funds
2,haciendo cosas
2,hacer oferta pública
2,hacer oferta
2,hacer negocios
2,hace varios años
2,hace varios
2,hace tiempo
2,hace meses
2,hace días escribió
2,hace años
2,hablo hoy videocolumna
2,hablo hoy
2,gustaba allí veía
2,gustaba allí
2,gusta foto
2,gusrojasmatute interesante
2,gusrojasmatute escualidum
2,gusrojasmatute eduardomassieu
2,grupos ambientalistas
2,gregorio hernández
2,grande sector
2,gracias estimado
2,gracias eduardo
2,gracias apoyo
2,gobierno philadelphia
2,gobierno india
2,gente acá
2,general motors
2,función empresarial
2,fuerza armada
2,friedrich hayek
2,francisco javier
2,francamente sé
2,foto tomada ayer
2,formar parte
2,forman parte
2,foreign policy
2,ford general motors
2,ford general
2,final trata
2,fin tregua
2,feliz navidad
2,factores poder
2,ezambranoh nebarrios
2,experiencia sugiere
2,evidencia empírica
2,europea prohibió
2,estimado saludos
2,estacionamiento torre trabajaba
2,estacionamiento torre
2,estabilidad monetaria
2,escualidum rick8988
2,escribeme aguevara cedice
2,escribeme aguevara
2,entorno hostil
2,entorno empresarial
2,entorno económico
2,enero 2021
2,empresas rusas
2,empresas polar
2,empresas estatales
2,empresas delivery
2,empresario venezolano
2,empresarial venezolano
2,empresarial criollo
2,employer branding
2,emisión papeles comerciales
2,emisión papeles
2,emisiones carbono
2,ello pudiera
2,ello hablo
2,ello agregar
2,elecciones presidenciales
2,educación financiera
2,eduardo fernández
2,dólares venezuela
2,dólar moneda
2,dólar economía venezolana
2,dólar economía
2,días escribió
2,dosis sputnik
2,dos cosas
2,dolarización venezolana
2,dolarización bancaria
2,distintas facetas
2,diciembre 2020
2,deshonesto decir
2,deseo feliz
2,dentro país
2,deje reconocer guaidó
2,deje reconocer
2,decía gustaba allí
2,decía gustaba
2,deben ser
2,debe entender
2,debajo mesa
2,da margen
2,cómo hacer
2,cuotas poder
2,cultura corporativa puede
2,cultura corporativa
2,cuesta arriba
2,cuenta instagram
2,cuenta divisas
2,cuarentena radical
2,cuales debe
2,cosas malas
2,cosas importantes
2,corte suprema
2,corporativa puede
2,corea norte
2,cordial saludo
2,conmemora nuevo año
2,conmemora nuevo
2,confidencias imaginarias juan
2,confidencias imaginarias
2,comunidad internacional
2,compré hace varios
2,compañías mayor capitalización
2,compañías mayor
2,comparto nota efectococuyo
2,comparto nota
2,comparto columna semana
2,comparto columna
2,comparto artículo
2,comercio electrónico
2,coalición chocan
2,clfigueredo gracias
2,civiles políticas
2,cifra cercana
2,cifra alta
2,china anunció
2,chile 1975
2,chavo béisbol
2,casi 30
2,caseta siempre ponía
2,caseta siempre
2,casas bolsa
2,carta transición inclusiva
2,carta transición
2,carlosl76153122 serbinpont gtaveledo
2,carlosl76153122 serbinpont
2,caracas vista teleférico
2,caracas vista
2,capitalización mundo
2,cable caseta siempre
2,cable caseta
2,cabinas ascendentes sol
2,cabinas ascendentes
2,bursátil venezolano
2,bueno puede salir
2,bueno puede
2,buena pregunta
2,buena fe
2,bolívar dentro
2,big tech
2,bienes naciones ricas
2,bienes naciones
2,bien servicio
2,biden deje reconocer
2,biden deje
2,base experiencia
2,basado idea
2,banco mundial
2,banca offshore
2,años edad
2,años atrás
2,año natalicio
2,año 2021
2,año 2020
2,ayer gusta foto
2,ayer gusta
2,autoridades financieras
2,ausencia políticas públicas
2,ausencia políticas
2,atención cómo
2,así si
2,así querido amigo
2,así querido
2,así amigo
2,asociación venezolana
2,ascendentes sol languidece
2,ascendentes sol
2,asamblea nacional
2,apertura económica
2,anécdota recuerdo estacionamiento
2,anécdota recuerdo
2,anti money
2,angelalvarador econ_vzla
2,angelalvarador cesta
2,américa latina caribe
2,amigo interesa
2,alta rotación
2,allí veía noticiero
2,allí veía
2,aliados internacionales
2,algún tiempo
2,alegra saber
2,agua mineral
2,agentes venta
2,además vida
2,acá link
2,acá distintas
2,acá cómo
2,acá comparto
2,acuerdo contigo
2,actividades económicas
2,account_suicide hemadera aaad25
2,account_suicide hemadera
2,acción humana
2,acción bolsa
2,acciones clase
2,acceso servicios
2,800 millones
2,2021 cifra
2,19 abril
1,útil tiempos hiperinflacionarios
1,útil tiempos
1,útil certifico puede
1,útil certifico
1,único poder público
1,único poder
1,único aunque popular
1,único aunque
1,únicas vengan hecho
1,únicas vengan
1,últimos meses venido
1,últimos meses
1,últimos días llevando
1,últimos días empresarios
1,últimos años menos
1,últimos años china
1,últimos años abierto
1,último tweet capitalismo
1,último tweet
1,último prefiero enfocarme
1,último prefiero
1,último mes pudiera
1,último mes
1,último días duda
1,último días
1,último adapta necesidades
1,último adapta
1,últimas semanas tras
1,últimas semanas observado
1,últimas noticias señala
1,últimas noticias
1,últimamente cualquier cosa
1,últimamente cualquier
1,última vez parte
1,última vez disputó
1,última política clara
1,última política
1,última película mujer
1,última película
1,última jornada año
1,última jornada
1,última existía riesgo
1,última existía
1,última etapa carrera
1,última etapa
1,última edición foreign
1,última edición
1,última cotiza acciones
1,última cotiza
1,última columna año
1,última columna
1,órdenes morales
1,órdenes delivery pedidos
1,órdenes delivery
1,óptimo duda muchas
1,óptimo duda
1,óleo tabla año
1,óleo tabla
1,ño pernalete presentación
1,ño pernalete
1,índole archipiélago revolucionario
1,índole archipiélago
1,índices msci decisión
1,índices msci
1,índice precios productor
1,índice precios
1,índice economías emergentes
1,índice economías
1,índice bolsa lima
1,índice bolsa
1,éxitos amigo seguro
1,éxitos amigo
1,éxito ego envidia
1,éxito ego
1,éxito aprovechen hoy
1,éxito aprovechen
1,ética ámbito comercio
1,ética ámbito
1,ética individuo definida
1,ética individuo
1,ética además cualidad
1,ética además
1,éste condujo modernidad
1,éste condujo
1,éste básicamente opera
1,éste básicamente
1,éstas llevaban varias
1,éstas llevaban
1,éstas dan simplemente
1,éstas dan
1,ésta permitía parejas
1,ésta permitía
1,época propicia reflexión
1,época propicia
1,época michael jordan
1,época michael
1,época mencionas envueltos
1,época mencionas
1,época hoy idealizada
1,época hoy
1,época buena noticia
1,época buena
1,época beneficios laborales
1,época beneficios
1,électricité france edf
1,électricité france
1,ávila dejen visitarlos
1,ávila dejen
1,área inteligencia artificial
1,área inteligencia
1,árabe firma tipo
1,árabe firma
1,ápice mejorar entorno
1,ápice mejorar
1,ánimos restarle importancia
1,ánimos restarle
1,ánimos querer sonar
1,ánimos querer
1,ánimos parecer odioso
1,ánimos parecer
1,ánimos confrontación caso
1,ánimos confrontación
1,ánimo vendrán ganancias
1,ánimo vendrán
