tweet_translated_tokenized,sentiment,NB_Negativo,NB_Positivo,SVM_Negativo,SVM_Positivo,DF_Negativo,DF_Positivo,MaxEnt_Negativo,MaxEnt_Positivo
"['elchili', 'jabba', 'hutt', 'landó', 'calrissian']",Negativo,0.4996185294786628,0.5003814705213379,0.8269175151649274,0.17308248483507252,1.0,0.0,0.6635668206819585,0.33643317931804156
"['salazardd', 'thank', 'right', 'unfortunate', 'build', 'country', 'freedom', 'thought', 'respect', 'opinions', 'god', 'bless']",Positivo,0.14672351416203974,0.8532764858379597,8.343075265112102e-06,0.9999916569247348,0.0,1.0,0.11542147885232867,0.8845785211476713
"['find', 'miserable', 'account', 'pedophiles', 'perverts', 'like', 'militotales', 'best', 'thing', 'retweeting', 'report', 'report', 'way', 'avoid', 'spreading', 'content', 'directing', 'traffic', 'said', 'account', 'dr', 'andybryanlewis']",Negativo,0.3830692479149307,0.6169307520850665,0.07270383711525127,0.9272961628847488,1.0,0.0,0.3363354470960713,0.6636645529039287
[],Negativo,0.56532791052364,0.4346720894763601,0.8269175151649274,0.17308248483507252,1.0,0.0,0.6682145690492093,0.3317854309507907
"['manuelita', 'think', 'cases', 'better', 'dr', 'andybryanlewis', 'recommends', 'make', 'report', 'twitter', 'spread', 'perverse', 'content', 'denounced', 'easy', 'also', 'effective', 'authorities']",Positivo,0.3894668529720995,0.6105331470278972,0.1320804956682651,0.8679195043317349,0.0,1.0,0.4124296150981106,0.5875703849018894
"['story', 'credible', 'reflects', 'much', 'us', 'lost', 'important', 'document', 'later', 'appears', 'unexpected', 'place', 'profe', 'jorgerivas', 'say', 'veracity', 'story']",Negativo,0.6241120245642265,0.3758879754357721,0.6228041108010439,0.3771958891989559,0.0,1.0,0.5294714171199848,0.47052858288001514
"['adrianino', 'seg']",Negativo,0.5431621524123377,0.4568378475876619,0.8269175151649274,0.17308248483507252,1.0,0.0,0.6682145690492093,0.3317854309507907
"['germany', 'definitely', 'different', 'mental', 'wave', 'frequency', 'already', 'studies', 'ability', 'dogs', 'detect', 'diseases', 'question', 'generates', 'dogs', 'exposed', 'disease']",Positivo,0.5125173463756588,0.4874826536243408,0.6515059118540737,0.3484940881459263,1.0,0.0,0.6259280846992316,0.37407191530076844
"['mariflorvi', 'honor', 'marisol', 'however', 'following', 'would', 'ask', 'follow', 'support', 'anacarol', 'demo', 'wife', 'well', 'many', 'families', 'live', 'way', 'ones', 'really', 'require', 'support', 'solidarity']",Positivo,0.21387971995023047,0.7861202800497669,0.005232796590021818,0.9947672034099784,0.0,1.0,0.15194792902545973,0.8480520709745403
"['better', 'day', 'remember', 'esequiboesvenezuela', 'icj', 'decide', 'jurisdiction']",Positivo,0.4637729870339614,0.5362270129660395,0.33837546335618457,0.6616245366438154,0.0,1.0,0.49670755834817437,0.5032924416518256
"['maryugonzlez', 'unfortunately', 'injustices', 'abound', 'us', 'point', 'ask', 'happen', 'thank', 'mention', 'could', 'please', 'follow', 'anacarol', 'demostenes', 'wife', 'deserves', 'empathy', 'solidarity']",Positivo,0.18704271102948009,0.8129572889705193,0.011314326229335805,0.9886856737706644,0.0,1.0,0.1695665878604834,0.8304334121395166
"['excellent', 'best', 'thread', 'events', 'professor', 'jorge', 'rivas', 'tells', 'story', 'emotional', 'pleasant', 'way', 'one', 'feel', 'lived']",Positivo,0.3788001442755081,0.6211998557244891,0.055588766274329626,0.9444112337256704,0.0,1.0,0.3242327976753606,0.6757672023246394
"['ayata', 'thank', 'ayata', 'would', 'like', 'ask', 'please', 'following', 'follow', 'anacarol', 'demostenes', 'wife']",Positivo,0.23759771019521805,0.7624022898047805,0.007040756237139089,0.9929592437628608,0.0,1.0,0.14398491284799253,0.8560150871520075
"['sofiavnzla', 'anibaljosealfo', 'thank', 'sofia', 'thank', 'multiplying', 'message', 'would', 'ask', 'follow', 'anacarol', 'wife', 'demostenes', 'keep', 'us', 'abreast', 'happening']",Positivo,0.24624724418170565,0.7537527558182968,0.03297481917706263,0.9670251808229372,0.0,1.0,0.1919525869398978,0.8080474130601022
"['carolperbr', 'anacarol', 'reminds', 'oriental', 'trick', 'saying', 'grain', 'grain', 'chicken', 'fills', 'crop', 'right', 'thank', 'mention', 'follow', 'anacarol']",Positivo,0.225450873405948,0.7745491265940514,0.1141290117054194,0.8858709882945807,0.0,1.0,0.3881956685714436,0.6118043314285564
"['macgreg', 'right', 'truth', 'neither', 'offend', 'fear', 'unfortunately', 'different', 'times', 'thanks', 'support', 'would', 'ask', 'please', 'support', 'anacarol', 'one', 'leading', 'fight', 'one', 'suffers', 'wife', 'friend', 'demo']",Positivo,0.2736532490471319,0.7263467509528672,0.008013796247363805,0.9919862037526362,0.0,1.0,0.15756880797822437,0.8424311920217756
"['milexaalvarez', 'thank', 'milexa', 'really', 'following', 'wife', 'anacarol', 'one', 'needs', 'us', 'incomplete', 'families', 'disagreeing', 'without', 'harming', 'anyone']",Positivo,0.3292681523357558,0.6707318476642463,0.08740618742801243,0.9125938125719876,0.0,1.0,0.3250736084354765,0.6749263915645235
