,word,count
0,besade,2
1,si,62
2,chacao,299
3,comunidad,15
4,pequeña,2
5,calculo,1
6,deben,1
7,vivir,10
8,unas,7
9,familias,4
10,parte,36
11,norte,4
12,municipio,98
13,arriba,1
14,pedregal,11
15,hoy,135
16,tártago,4
17,celebrando,2
18,día,44
19,niño,2
20,sihayalternativa,3
21,marco,2
22,tulioc,1
23,así,31
24,cola,4
25,inscribirse,2
26,cambiarse,1
27,centro,6
28,votación,3
29,registro,6
30,electoral,7
31,plaza,32
32,indio,2
33,¡mañana,1
34,último,4
35,gash,1
36,isagimenez,1
37,mañana,62
38,cambiar,8
39,jejeje,1
40,abrazos,2
41,gaby,2
42,gracias,18
43,apoyo,9
44,lindo,1
45,escuchar,12
46,palabras,2
47,seguiré,1
48,años,17
49,trabajando,3
50,vecinos,232
51,toda,22
52,solidaridad,7
53,emiliograteron,1
54,ex,2
55,alcalde,1
56,líder,5
57,voluntad,2
58,popular,2
59,venezuela,39
60,persecución,1
61,querer,1
62,ver,16
63,país,31
64,libre,2
65,próspero,2
66,rubenvivasd,1
67,am,30
68,pm,38
69,hcapriles,1
70,henrique,1
71,hola,14
72,papá,4
73,elias,1
74,santana,16
75,diagnosticaron,1
76,cáncer,3
77,colon,1
78,necesita,2
79,poder,16
80,hacerse,2
81,tratamientos,1
82,necesarios,2
83,tranquilo,1
84,lleno,2
85,energía,3
86,muchas,10
87,buenos,3
88,deseos,2
89,chittydelgado,1
90,tomas,3
91,página,3
92,cne,2
93,puntos,5
94,puedes,3
95,abiertos,1
96,chance,1
97,julio,4
98,saludos,5
99,quedan,1
100,días,38
101,inscribirnos,1
102,cambiarnos,1
103,alguna,3
104,duda,2
105,¡escríbeme,2
106,pagó,1
107,alcaldía,8
108,público,1
109,proceso,12
110,compra,1
111,queremos,11
112,tener,13
113,primer,3
114,mundo,2
115,hace,29
116,falta,44
117,instituciones,2
118,fuertes,2
119,transparentes,1
120,vecino,20
121,pueda,6
122,saber,3
123,información,12
124,pedir,1
125,¿todas,1
126,unidades,1
127,donadas,1
128,compró,1
129,ambos,2
130,casos,5
131,creo,14
132,necesario,8
133,transparencia,5
134,amigo,1
135,empresario”,1
136,dispuesto,1
137,hacer,13
138,aporte,1
139,grandes,45
140,intereses,1
141,económicos,1
142,mustangs,1
143,primero,13
144,positiva,1
145,noticia,5
146,nuevas,3
147,patrullas,1
148,policiales,1
149,suma,2
150,mejorar,10
151,seguridad,1
152,surgen,1
153,preguntas,1
154,respecto,3
155,daniel,3
156,santolo,2
157,digo,1
158,error,2
159,hablar,3
160,elecciones,8
161,poner,3
162,debate,1
163,ciudades,2
164,comunales,3
165,solo,28
166,elección,2
167,elegir,1
168,alcaldes,2
169,gobernadores,1
170,buscar,4
171,líderes,9
172,dispuestos,2
173,hacerle,7
174,frente,13
175,régimen,10
176,espacios,3
177,importante,12
178,futuro,3
179,oposición,5
180,verlo,1
181,disney,1
182,participar,2
183,luchar,9
184,re,1
185,organizarnos,11
186,movilizar,2
187,venezolanos,45
188,enfrentando,1
189,dictadura,2
190,feliz,6
191,domingo,7
192,comparto,5
193,ustedes,5
194,entrevista,4
195,efectococuyo,2
196,comunal,6
197,atento,2
198,comentarios,10
199,tema,9
200,mscdisenos,1
201,centros,1
202,habilitados,1
203,acompañamos,1
204,inscribirte,1
205,sábado,12
206,bolívar,9
207,¿estás,1
208,inscrito,3
209,mulatomusica,1
210,¿haz,1
211,posibilidad,4
212,leer,2
213,proyecto,5
214,leyes,1
215,amenaza,2
216,real,6
217,enfrentarla,2
218,salir,12
219,maduro,23
220,reorganizarnos,1
221,fortalecernos,1
222,twitter,6
223,vamos,34
224,programa,7
225,oscar,1
226,arnal,1
227,oscararnal,1
228,conversaremos,2
229,representa,5
230,pueden,12
231,escucharlo,2
232,fm,4
233,jóvenes,6
234,quieren,4
235,inscribir,1
236,vemos,55
237,¡te,12
238,esperamos,16
239,junto,59
240,votojoven,1
241,fundamental,5
242,entender,3
243,planteamientos,1
244,intenciones,1
245,pdf,1
246,instituto,1
247,fermin,1
248,toro,1
249,explica,1
250,analiza,1
251,bien,6
252,miércoles,6
253,angelmedinad,2
254,conversando,20
255,amenazas,3
256,cómo,21
257,municipios,9
258,admiración,1
259,respeto,1
260,periodistas,3
261,¡feliz,1
262,rocco,1
263,perdió,2
264,country,2
265,ven,1
266,favor,3
267,llamen,1
268,número,2
269,imagen,3
270,compromiso,3
271,💪🏻,3
272,plataforma,4
273,unitaria,3
274,mural,2
275,josé,8
276,gregorio,1
277,hernández,3
278,conversar,11
279,acuerdo,5
280,salvación,2
281,nacional,12
282,chacaoconelacuerdoenunidad,1
283,gustavo,1
