,word,count
0,quevedoorlando,1
1,niños,4
2,perú,3
3,ricardobarbar,5
4,ponida,1
5,si,51
6,tener,11
7,cantantes,1
8,bien,8
9,educación,4
10,avaricia,1
11,orianbrito,3
12,sacan,1
13,merch,1
14,cara,3
15,marta,1
16,compro,1
17,diez,2
18,franelas,1
19,imitadora,1
20,wendy,3
21,sulca,3
22,original,1
23,habla,7
24,carrera,3
25,mal,10
26,presupuesto,1
27,gobierno,17
28,peruano,1
29,ptfrozen,17
30,minero,1
31,chileno,1
32,dos,29
33,mujeres,4
34,asilarse,1
35,francia,5
36,macron,1
37,latinoamérica,2
38,📈📈📈,1
39,mavillanita,1
40,semana,18
41,mantiene,2
42,flexibilización,19
43,prevista,1
44,haciendo,4
45,encuesta”,1
46,gente,15
47,sugiera,1
48,nuevo,16
49,esquema”,1
50,anuncio,4
51,seguro,8
52,vendrá,2
53,domingo,4
54,viene,5
55,nueva,13
56,cuarentena,28
57,apuran,1
58,exportaciones,1
59,hacia,2
60,venezuela,40
61,gas,2
62,glp,1
63,vigente,1
64,julio,5
65,am,23
66,departamento,4
67,tesoro,3
68,emite,1
69,licencia,4
70,autoriza,1
71,ciertas,1
72,actividades,7
73,exportación,1
74,reexportación,1
75,licuado,1
76,petróleo,1
77,acá,7
78,pensando,2
79,quién,6
80,horrocrux,1
81,tiburones,2
82,lm,3
83,santana,3
84,largo,1
85,plazo,2
86,momento,8
87,quedó,2
88,marcada,1
89,narrativa,2
90,cómo,8
91,alemania,5
92,construyó,1
93,proyecto,3
94,ganar,3
95,copa,1
96,versus,1
97,improvisación,1
98,latinoamericana,1
99,agregar,1
100,coincidencia,1
101,tiempo,5
102,merkel,5
103,época,4
104,liderando,1
105,internacionalmente,1
106,duda,5
107,dejan,2
108,ser,22
109,referentes,1
110,vendrán,1
111,perder,4
112,löw,1
113,mismo,6
114,año,12
115,desgarrador,1
116,aaad,10
117,putin,3
118,mejor,13
119,todos”,1
120,notable,1
121,gash,6
122,jajajsjaaj,1
123,gracias,5
124,☺️,1
125,feliz,6
126,día,14
127,milico,1
128,fundó,1
129,periódico,2
130,¿habrá,1
131,alguna,7
132,celebración,1
133,ver,14
134,golibar,1
135,cumpleaños,4
136,gaby,2
137,pases,1
138,pm,253
139,delcy,43
140,rodríguez,67
141,informa,18
142,acordó,1
143,cuba,4
144,envío,2
145,millones,16
146,vacunas,10
147,abdala,2
148,jajaja,7
149,luusalomon,9
150,ve,7
151,joven,1
152,fallé,2
153,angela,2
154,amaliasalascha,1
155,capaz,3
156,algún,2
157,pran,2
158,molestó,1
159,meh,1
160,maduro,124
161,despertó,1
162,lunes,9
163,ganas,1
164,reformar,1
165,sistema,6
166,judicial,2
167,jajajaja,1
168,adelanto,1
169,pgonzalezlaya,2
170,vacuna,25
171,dentro,5
172,rusa,2
173,china,9
174,ministerio,7
175,energía,2
176,eléctrica,2
177,informó,2
178,apagón,1
179,produjo,2
180,falla,3
181,subestación,1
182,santa,5
183,teresa,2
184,tuy,1
185,sinluz,1
186,internacional,3
187,iliberal,1
188,acabó,1
189,netanyahu,4
190,pasa,2
191,parroquias,2
192,pueblos,1
193,calles,1
194,verolerolero,1
195,compensar,1
196,covax,4
197,pagó,2
198,último,9
199,tramo,1
200,banco,4
201,dijo,9
202,dólares,6
203,bloqueados”,1
204,esperig,1
205,realidad,4
206,cinco,4
207,años,21
208,reelección,1
209,recientemente,1
210,ningún,6
211,presidente,27
212,durado,1
213,interino,1
214,duró,2
215,meses,9
216,anterior,1
217,tres,6
218,electo,3
219,parte,11
220,buena,4
221,período,1
222,presidencial,3
223,monta,1
224,monopolio,1
225,pedro,2
226,castillo,1
227,podría,5
228,montar,2
229,panadería,1
230,maría,4
231,bolívar,10
232,giorgiocmorales,9
233,gusrojasmatute,3
234,econ,10
235,vzla,11
236,manuelaruizm,1
237,puedo,2
238,creer,3
239,nadie,6
240,dado,7
241,cuenta,10
242,parecido,2
243,listo,1
244,candidato,2
245,gobernación,2
246,miranda,13
247,morillo,5
248,adrianabellomej,1
249,ansioso,1
250,estreno,1
251,👉🏻👈🏻,1
252,gabrrielaab,2
253,plural,1
254,marcas,1
255,personalidades,1
256,múltiples,1
257,todas,8
258,homeópata,1
259,fan,1
260,extiende,3
261,permiso,1
262,chevron,2
263,halliburton,1
264,schlumberger,1
265,baker,1
266,hughes,1
267,weatherford,1
268,operar,1
269,diciembre,6
270,padrino,1
271,lópez,2
272,confirma,3
273,liberación,1
274,ocho,3
275,militares,5
276,secuestrados,1
277,farc,1
278,anuncia,53
279,siguen,2
280,desaparecidos,1
281,carlos,4
282,alvarado,7
283,empezamos,1
284,centros,4
285,vacunación,12
286,fin,5
287,quenivelmeribel,1
288,previos,1
289,mayo,1
290,ingresaron,1
291,frontera,2
292,colombia,8
293,variante,11
294,detectada,1
295,india,3
296,estudio,2
297,buscando,1
298,johnson,4
299,amp,3
300,pedido,1
301,llegan,4
302,maiquetia,3
303,mil,10
304,dosis,6
305,sputnik,9
306,llegaron,5
307,garantías,2
308,levantan,1
309,sanciones,2
310,vuelva,2
311,hacer,9
312,hacía,2
313,antes”,1
314,patria,2
315,selecciona,1
316,personas,17
317,azar,2
318,vacunación”,1
319,mapaolasanchezm,5
320,ccpuppio,1
321,alvaradoc,1
322,salud,14
323,entrevista,3
324,vtv,8
325,ayer,12
326,tweets,2
327,minci,1
328,gerardo,1
329,briceño,1
330,viceministro,1
331,mayores,5
332,aplicando,2
333,menores,4
334,sisoy,1
335,través,6
336,probablemente,2
337,recibiremos,1
338,sola,1
339,min,2
340,llegaremos,1
341,puestos,5
342,mañana,13
343,inicia,4
344,fase,7
345,plan,10
346,comenzaremos,1
347,vamos,19
348,ampliar,1
349,veníamos,1
350,personal,3
351,adultos,2
352,enfermedades,4
353,trabajadores,2
354,esenciales,2
355,vacunar,2
356,pacientes,7
357,renales,1
358,vih,1
359,asegura,2
360,empieza,2
361,ministro,22
362,defensa,3
363,rodoarico,1
364,celinacarquez,1
365,taniadamelio,1
366,rpiconh,1
367,enriquemarquezp,1
368,director,4
369,saime,3
370,eduardo,2
371,piñate,1
372,designado,3
373,josé,4
374,ramón,1
375,rivero,1
376,trabajo,7
377,agencia,11
378,europea,14
379,medicamentos,10
380,eventos,13
381,deben,9
382,enumerarse,2
383,efectos,5
384,secundarios,3
385,raros,2
386,debe,16
387,agregarse,1
388,advertencia,1
389,coágulos,8
390,inusuales,2
391,plaquetas,3
392,bajas,4
393,sangre,3
394,información,3
395,janssen,2
396,evaluaron,1
397,casos,62
398,trombosis,2
399,vacunados,5
400,ocurrieron,1
401,edad,1
402,mayoría,3
403,semanas,14
404,posteriores,2
405,chyna,1
406,adc,1
407,cleversafo,14
408,industria,2
409,farmacéutica,1
410,puede,14
411,enterarse,1
412,fanasal,1
413,ahora,34
414,supuesto,2
415,posible,2
416,tergiversar,1
417,datos,5
418,fácil,2
419,dice,17
420,maxcroser,1
421,coronapandemia,1
422,números,1
423,mienten,1
424,¿o,1
425,sheryl,1
426,cabo,3
427,quería,4
428,primera,5
429,dama,1
430,galacticworld,1
431,mukurosaki,1
432,josue,1
433,coello,1
434,mister,1
435,caffeina,1
436,ocurrido,1
437,abril,6
438,muerto,4
439,analizados,1
440,ema,1
441,necesario,2
442,acceder,1
443,mecanismo,1
444,francos,1
445,suizos,1
446,adrianaipds,4
447,supongo,4
448,usas,2
449,palabra,3
450,túper,1
451,visite,1
452,llevo,1
453,tuper,1
454,mandas,1
455,mando,1
456,arturo’s,1
457,asco,1
458,tonyfrangiem,6
459,gtaveledo,6
460,hawaiana,1
461,pan,1
462,dulce,1
463,piña,2
464,increíble,1
465,figgywho,1
466,ninazo,4
467,nunca,7
468,abandona,1
469,omarkas,1
470,viñeta,1
471,revisión,1
472,hizo,7
473,tsvc,1
474,venosa,1
475,esplácnica,1
476,marzo,2
477,mortales,1
478,provinieron,1
479,espacio,1
480,económico,3
481,europeo,2
482,reino,4
483,unido,4
484,recibido,1
485,combinación,1
486,rara,2
487,beneficios,2
488,generales,1
489,prevención,1
490,covid,34
491,superan,1
492,riesgos,1
493,notificaron,1
494,astrazeneca,9
495,raros”,1
496,nellaclr,1
497,coca,2
498,cola,3
499,castrozolam,1
500,mantendrá,4
501,radical,5
502,país,23
503,próxima,4
504,reporta,8
505,nuevos,24
506,detectados,4
507,laboratorios,1
508,públicos,4
509,nuevas,9
510,muertes,10
511,pcr,9
512,positivo,10
513,diagnóstico,4
514,público,2
515,menos,8
516,delivery,1
517,esperando,4
518,puerta,1
519,comenta,2
520,últimas,6
521,indicaciones,1
522,oms,12
523,olvida,1
524,recomendaron,1
525,usar,7
526,ivermectina,1
527,hipotenusa,1
528,anunció,3
529,récord,2
530,número,11
531,diarias,3
532,fallecidos,1
533,positiva,1
