tweet,tweet_tokenized
@ArturoDeLatella un lugar bien bonito en las mercedes creo,"['arturodelatella', 'lugar', 'bien', 'bonito', 'mercedes', 'creo']"
literal,['literal']
@ArturoDeLatella agotador,"['arturodelatella', 'agotador']"
@meegandm yo,['meegandm']
@valen2c marico wtf,"['valen', 'marico', 'wtf']"
mi internet=pudrición,"['internet', 'pudrición']"
"hoy estoy mood cantante, esperen que ya pongo las de despecho y lloro","['hoy', 'mood', 'cantante', 'esperen', 'pongo', 'despecho', 'lloro']"
fiorella te amo ajajkakakak,"['fiorella', 'amo', 'ajajkakakak']"
y yo menos,['menos']
@janiceportes 🤩❤️,"['janiceportes', '🤩❤️']"
epa recomienden ahí una vainita de nesfli,"['epa', 'recomienden', 'ahí', 'vainita', 'nesfli']"
@meegandm como que voy pa,"['meegandm', 'voy', 'pa']"
VAMOS TODOS XFA,"['vamos', 'xfa']"
@fiorellaagb0 date pues,"['fiorellaagb', 'date', 'pues']"
necesito que se acabe el semestre ya,"['necesito', 'acabe', 'semestre']"
odio la universidad odio aquí mátenme,"['odio', 'universidad', 'odio', 'aquí', 'mátenme']"
mañana otra vez es lunes coño de la madre vale,"['mañana', 'vez', 'lunes', 'coño', 'madre', 'vale']"
@valen2c te quiero mucho 🥺❤️,"['valen', 'quiero', '🥺❤️']"
es el mismo vibe  https://t.co/NQIfmaUWl0,"['mismo', 'vibe']"
@Ewinsitooo tweetazo,"['ewinsitooo', 'tweetazo']"
@fiorellaagb0 ese era el segundo pero sh,"['fiorellaagb', 'segundo', 'sh']"
@glennpzz dile no al vicio,"['glennpzz', 'dile', 'vicio']"
alguien que me recomiende unas meditaciones por fa,"['alguien', 'recomiende', 'unas', 'meditaciones', 'fa']"
el perro alO,"['perro', 'alo']"
no funcionó  https://t.co/V7V9rnSIVv,['funcionó']
@janiceportes que divino,"['janiceportes', 'divino']"
deseo del día: helado,"['deseo', 'día', 'helado']"
todo todo va a estar bien,"['va', 'bien']"
naguevonada soy rolo de webona,"['naguevonada', 'rolo', 'webona']"
@fiorellaagb0 rota esa verga,"['fiorellaagb', 'rota', 'verga']"
pa lante bb,"['pa', 'lante', 'bb']"
"@magalystika así como lo lees madre, en la mierda","['magalystika', 'así', 'lees', 'madre', 'mierda']"
"deprimida, pero responsable😛  https://t.co/T478ON2bLk","['deprimida', 'responsable😛']"
"no puedo escuchar música porque lloro, tampoco me hablen porque vuelvo a llorar","['puedo', 'escuchar', 'música', 'lloro', 'tampoco', 'hablen', 'vuelvo', 'llorar']"
no forzar no forzar no forzar no forzar no forzar no forzar no forzar no forzar no forzar,"['forzar', 'forzar', 'forzar', 'forzar', 'forzar', 'forzar', 'forzar', 'forzar', 'forzar']"
dejo todo en tus manos,"['dejo', 'manos']"
