,word,count
0,abrazo,8
1,periodistas,2
2,día,16
3,sigan,2
4,haciendo,5
5,trabajo,14
6,pese,15
7,limitaciones,5
8,riesgos,10
9,muestra,10
10,compromiso,5
11,pasión,2
12,valor,15
13,notable,2
14,division,2
15,descalificaciones,2
16,lanzaban,2
17,resentimiento,2
18,supuraban,2
19,conmigo,2
20,ingredientes,2
21,pesimismo,2
22,¿quién,6
23,cedería,2
24,gritaban,2
25,pedían,2
26,ceder,10
27,jamás”,2
28,tranquilo,3
29,padura,2
30,hablando,7
31,cubanos,2
32,cristina,2
33,aguilera,2
34,ochoa,2
35,cotuficcion,2
36,compite,2
37,nespresso,2
38,talents,2
39,categoría,2
40,film,2
41,school,2
42,award,2
43,ganadores,4
44,darán,2
45,conocer,2
46,festival,2
47,cannes,2
48,julio,3
49,aquí,14
50,enlace,2
51,video,2
52,sensacional,2
53,muchísima,2
54,suerte,4
55,tendencias,19
56,consumidor,21
57,venezolano,20
58,datanalisis,23
59,dolarización,18
60,transaccional,6
61,vzla,66
62,alcanza,3
63,casi,9
64,transacciones,17
65,totales,4
66,proceso,38
67,irreversible”,2
68,luisvicenteleon,3
69,vzlano,13
70,luego,15
71,destrucción,11
72,tres,6
73,cuartas,4
74,partes,31
75,pib,5
76,proyecciones,6
77,muestran,6
78,primera,11
79,estabilización,4
80,aunque,41
81,dejando,2
82,economía,28
83,significativamente,4
84,pequeña,5
85,tamaño,3
86,histórico”,2
87,francisco,9
88,allen,6
89,pérdida,9
90,poder,48
91,compra,12
92,interna,28
93,dólar,15
94,venezuela,68
95,sido,23
96,enero,5
97,abril,3
98,debido,9
99,desfase,2
100,devaluación,12
101,inflación”,2
102,si,141
103,bien,15
104,pandemia,21
105,estimulado,3
106,crecimiento,8
107,regional,7
108,internet,3
109,caso,16
110,penetracion,4
111,inferior,3
112,promedio,5
113,carlosjimenez,6
114,consumidores,10
115,locales,5
116,presentan,3
117,menor,6
118,fidelidad,2
119,marcas,2
120,toda,16
121,región,4
122,latinoamericana,2
123,llegando,2
124,apenas,10
125,frente,38
126,latino,4
127,manifiestan,2
128,comparar,2
129,precios,13
130,comprar,3
131,penetración,4
132,doble,4
133,pares,3
134,latinoamericanos,2
135,indica,13
136,mayor,20
137,sensibilidad”,2
138,gracias,43
139,patrocinantes,5
140,cocuyleal,3
141,banplusonline,4
142,jvhcorp,2
143,ingritechven,2
144,delcopve,2
145,idcartonaje,2
146,jamonarichuna,2
147,cloverfilevzla,2
148,traslados,2
149,horas,2
150,lapieldetuhogar,2
151,simpletvve,2
152,kores,2
153,movistar,2
154,alimentosmaryve,2
155,ceproalarm,2
156,gpcconsulting,2
157,pagochinchin,2
158,listos,11
159,comenzar,15
160,evento,26
161,casa,7
162,completamente,4
163,llena,9
164,acompañados,2
165,grupo,14
166,estelar,3
167,empresas,11
168,atender,12
169,allá,27
170,crisis,61
171,vemos,20
172,momento,23
173,lamento,5
174,fallecimiento,5
175,sra,2
176,adnaloy,2
177,zamora,4
178,madre,3
179,grandes,6
180,amigos,17
181,gabriel,2
182,miguel,6
183,osio,2
184,envío,6
185,solidaridad,5
186,hermanas,2
187,familiares,2
188,recuerdos,3
189,felices,3
190,mantengan,2
191,siempre,47
192,viva,3
193,mentes,2
194,corazones,2
195,mañana,12
196,conversando,6
197,laureanomar⁩,6
198,instagram,11
199,live,14
200,camino,6
201,monólogo,2
202,miedo”,2
203,realizará,5
204,streaming,2
205,próximo,8
206,junio,5
207,pm,9
208,recta,2
209,final,10
210,jueves,7
211,am,7
212,participantes,5
213,superaron,2
214,creces,3
215,todas,27
216,expectativas,22
217,honor,4
218,contar,5
219,confianza,40
220,interés,11
221,placer,11
222,compartir,14
223,ustedes…,2
224,puedes,27
225,pedir,5
226,quieras,5
227,merezcas,2
228,pregunta,24
229,real,26
230,van,11
231,dar,13
232,conseguir,15
233,respuesta,18
234,obviamente,9
235,marco,10
236,analiza,2
237,realidad,26
238,base,10
239,deseos,9
240,derechos,19
241,incluso,24
242,merecidos,2
243,luisdiazt,2
244,existe,5
245,posibilidad,31
246,liberen,2
247,quid,6
248,pro,7
249,quo,8
250,cambio,109
251,sólo,34
252,logra,13
253,negociando,3
254,sanciones,93
255,generan,5
256,costos,8
257,humanitarios,28
258,afectar,2
259,gobierno,72
260,error,7
261,principio,3
262,deben,24
263,ser,44
264,retiradas,2
265,cuanto,2
266,ielviento,2
267,¿y,15
268,dijo,6
269,votar,43
