tweet_translated_tokenized,sentiment,NB_Negativo,NB_Positivo,SVM_Negativo,SVM_Positivo,DF_Negativo,DF_Positivo,MaxEnt_Negativo,MaxEnt_Positivo
"['cepvg', 'circumstances', 'journalist', 'disseminate', 'information', 'threatens', 'honor', 'reputation', 'private', 'life', 'image', 'person', 'information', 'must', 'transmitted', 'responsibly']",Positivo,0.4458393300786966,0.5541606699213022,0.7553090050041353,0.2446909949958645,0.0,1.0,0.3324898292963877,0.6675101707036123
"['impartial', 'dissemination', 'information', 'journalism', 'necessary', 'way', 'democratic', 'principles', 'political', 'plurality', 'diversity', 'opinions', 'nation', 'founded', 'evidenced', 'cepvg']",Negativo,0.36951703013543535,0.6304829698645659,0.3115018787675269,0.6884981212324731,0.0,1.0,0.28669230439045823,0.7133076956095418
"['respect', 'defense', 'truth', 'freedom', 'expression', 'democracy', 'responsibility', 'every', 'journalist', 'must', 'assume', 'exercise', 'way', 'profession', 'people', 'valued', 'cepvg']",Positivo,0.33940184583057753,0.6605981541694224,0.2657706831857828,0.7342293168142174,0.0,1.0,0.2842165827340797,0.7157834172659203
"['cepvg', 'journalist', 'duty', 'disseminate', 'accurate', 'timely', 'information', 'collective', 'interest', 'exercising', 'responsibly']",Positivo,0.3445365496257224,0.6554634503742788,0.3482558223715839,0.6517441776284163,0.0,1.0,0.2955762887393639,0.7044237112606361
"['freedom', 'expression', 'right', 'guaranteed', 'universal', 'declaration', 'human', 'rights', 'endorsed', 'constitution', 'bolivarian', 'republic', 'venezuela', 'responsible', 'exercise', 'journalism', 'cepvg']",Positivo,0.3977974677011503,0.6022025322988495,0.397645708069927,0.602354291930073,0.0,1.0,0.29368756131565754,0.7063124386843425
"['invite', 'youtobernates', 'see', 'video', 'things', 'via', 'youtube']",Positivo,0.3764925586530167,0.6235074413469824,0.5471963499522235,0.4528036500477765,1.0,0.0,0.30300288444601997,0.69699711555398
"['really', 'worth', 'imitating', 'even', 'humans', 'respect']",Positivo,0.2220756673853448,0.7779243326146545,0.0946721461117039,0.9053278538882962,1.0,0.0,0.25302751481010943,0.7469724851898906
"['moments', 'sorely', 'needed']",Negativo,0.3309118010876197,0.6690881989123801,0.3827075617451927,0.6172924382548073,1.0,0.0,0.2896388090707702,0.7103611909292298
"['tanziamigos', 'honor', 'write', 'tried', 'write', 'dm', 'would', 'let', 'send', 'message', 'starting', 'project', 'based', 'principles', 'book', 'would', 'like', 'receive', 'mentorship', 'waiting', 'reply', 'thank', 'much', 'advance']",Positivo,0.2526269590685073,0.7473730409314909,0.14563404029936966,0.8543659597006305,0.0,1.0,0.2424653055153202,0.7575346944846798
"['tanziamigos', 'good', 'afternoon', 'mr', 'tanzi', 'first', 'cordial', 'greeting', 'name', 'roger', 'ruiz', 'years', 'old', 'live', 'puerto', 'ordaz', 'th', 'semester', 'student', 'social', 'communication', 'ucab', 'guayana', 'read', 'book', 'new', 'government', 'proposal', 'xxi', 'century']",Positivo,0.2866510313354045,0.7133489686645952,0.08902287660708375,0.9109771233929164,1.0,0.0,0.24556125802213258,0.7544387419778674
"['suarezmleo', 'adjective', 'suffix', 'idad', 'ez', 'ation', 'cia', 'etc', 'abstract', 'noun']",Negativo,0.3829162786166708,0.6170837213833289,0.3827075617451927,0.6172924382548073,1.0,0.0,0.2896388090707702,0.7103611909292298
"['suarezmleo', 'cat', 'grammaticals', 'noun', 'adjective', 'article', 'verb', 'pronoun', 'adverb', 'preposition', 'interjection', 'conjunction']",Negativo,0.3943959785112433,0.6056040214887555,0.3827075617451927,0.6172924382548073,1.0,0.0,0.2896388090707702,0.7103611909292298
"['suarezmleo', 'collective', 'substitutions', 'denote', 'plurality', 'without', 'plural', 'form']",Negativo,0.321796412450968,0.6782035875490328,0.24769254620127745,0.7523074537987228,0.0,1.0,0.2755882924263775,0.7244117075736225
"['suarezmleo', 'andrés', 'plays', 'handrail', 'compoundwords', 'proprietarynoun']",Positivo,0.3563469524515465,0.6436530475484536,0.3827075617451927,0.6172924382548073,1.0,0.0,0.2896388090707702,0.7103611909292298
"['suarezmleo', 'polo', 'wore', 'pole', 'south', 'pole']",Negativo,0.3437307945158741,0.6562692054841252,0.3827075617451927,0.6172924382548073,1.0,0.0,0.2896388090707702,0.7103611909292298
