tweet_translated_tokenized,sentiment,NB_Negativo,NB_Positivo,SVM_Negativo,SVM_Positivo,DF_Negativo,DF_Positivo,MaxEnt_Negativo,MaxEnt_Positivo
"['presentation', 'nomasguiso', 'executive', 'summary', 'state', 'enterprises', 'years', 'opacity', 'decay', 'destruction']",Negativo,0.5784605144344808,0.4215394855655207,0.6454097962937342,0.3545902037062659,1.0,0.0,0.5977604383881094,0.4022395616118906
"['today', 'accompanying', 'relatives', 'deputy', 'requesens', 'political', 'prisoners', 'today', 'juan', 'days', 'kidnapped']",Negativo,0.6961101589845984,0.3038898410154031,0.7244486463035148,0.27555135369648504,1.0,0.0,0.6200401429129949,0.37995985708700514
"['chacao', 'th', 'birthday', 'promise', 'continue', 'fight', 'achieve', 'municipality', 'country', 'deserve']",Negativo,0.712326139003125,0.28767386099687503,0.5309491656434143,0.4690508343565857,1.0,0.0,0.5983334749255671,0.40166652507443285
"['today', 'toured', 'el', 'muñeco', 'street', 'market', 'chacao', 'municipal', 'market', 'tours', 'things', 'give', 'practical', 'advice', 'make', 'water', 'drinkable', 'neighbors', 'remind', 'person', 'responsible', 'dirty', 'water', 'hidrocapital']",Negativo,0.6952228897291179,0.3047771102708802,0.6304069066545048,0.3695930933454951,1.0,0.0,0.6212202766285654,0.3787797233714346
"['last', 'week', 'petare', 'talking', 'residents', 'san', 'isidro', 'water', 'crisis', 'problem', 'like', 'almost', 'affects', 'every', 'one', 'venezuelans', 'solution', 'change', 'government']",Negativo,0.7831772407879347,0.21682275921206426,0.7576418657558132,0.2423581342441868,0.0,1.0,0.6734531241788875,0.3265468758211125
"['yesterday', 'toured', 'open', 'air', 'markets', 'bello', 'campo', 'giving', 'neighbors', 'advice', 'make', 'water', 'drinkable']",Positivo,0.5574499158344094,0.4425500841655917,0.36162275141413,0.6383772485858701,1.0,0.0,0.5499054251183668,0.45009457488163324
"['today', 'denounce', 'collapse', 'chacao', 'due', 'queues', 'pour', 'gasoline', 'joke', 'happens', 'country', 'largest', 'oil', 'reserves', 'region']",Negativo,0.7690662389328229,0.2309337610671787,0.8216962768159314,0.17830372318406867,1.0,0.0,0.6715696316407018,0.3284303683592981
"['since', 'thursday', 'see', 'queues', 'queues', 'caracas', 'fill', 'gasoline', 'venezuelan', 'wait', 'hours', 'fill', 'tank', 'problem', 'compounded', 'lack', 'water', 'electricity', 'transportation', 'gas', 'medicine', 'food', 'total', 'collapse', 'public', 'services']",Negativo,0.8468332644312597,0.15316673556874125,0.9221195833595179,0.07788041664048202,0.0,1.0,0.7467994612323527,0.25320053876764725
"['today', 'petare', 'san', 'isidro', 'sector', 'talking', 'residents', 'area', 'water', 'crisis', 'proposals', 'face', 'grateful', 'national', 'assembly', 'deputy', 'manuelabolivar', 'councilor', 'rafadelrosario', 'invitation']",Negativo,0.6144417684090027,0.3855582315909945,0.5351294679355814,0.4648705320644187,1.0,0.0,0.5924845196926861,0.4075154803073139
"['share', 'final', 'reflection', 'ricardo', 'rico', 'program', 'turn', 'problems', 'venezuelans', 'main', 'engine', 'achieve', 'political', 'change', 'country']",Negativo,0.5232648082640048,0.4767351917359966,0.3545350326398602,0.6454649673601398,0.0,1.0,0.5187144370397345,0.48128556296026553
