tweet_translated_tokenized,sentiment,NB_Negativo,NB_Positivo,SVM_Negativo,SVM_Positivo,DF_Negativo,DF_Positivo,MaxEnt_Negativo,MaxEnt_Positivo
"['sad', 'speech', 'try', 'disguise', 'stark', 'reality', 'poverty', 'state', 'inefficiency']",Negativo,0.5272640039574708,0.4727359960425277,0.5197650407491088,0.4802349592508911,0.0,1.0,0.5525418366839024,0.44745816331609756
"['call', 'victims', 'call', 'dignified', 'sure', 'tents', 'la', 'carlota', 'feel', 'way']",Positivo,0.6430352073584826,0.3569647926415164,0.7762552072666052,0.2237447927333948,1.0,0.0,0.6177399225185716,0.3822600774814285
"['good', 'rumba', 'right', 'rt', 'lele', 'candiales', 'elisatot', 'bpulidom']",Positivo,0.41023936041160536,0.5897606395883961,0.16203488032725955,0.8379651196727405,0.0,1.0,0.43380115394625585,0.5661988460537442
"['problem', 'peruvian', 'chullo', 'jvsalcedom', 'gustavoguaido', 'jguaido', 'elisatot']",Negativo,0.4610156230808907,0.5389843769191097,0.611169872605656,0.38883012739434397,1.0,0.0,0.5404342942071125,0.45956570579288747
"['virginiazamora', 'want', 'ministry', 'caucasian', 'descendants']",Positivo,0.3868245629808926,0.613175437019107,0.11227830245265916,0.8877216975473409,0.0,1.0,0.441106285445772,0.558893714554228
"['arianisha', 'labyrinth', 'fine']",Positivo,0.4452625266715671,0.5547374733284322,0.462966775087233,0.5370332249127671,1.0,0.0,0.519411006644643,0.480588993355357
"['excellent', 'rt', 'anapalacios', 'team', 'ucab', 'winner', 'inter', 'american', 'human', 'rights', 'contest', 'congratulations']",Positivo,0.3088701950617108,0.6911298049382886,0.12780305691529728,0.8721969430847026,0.0,1.0,0.42044949527628883,0.5795505047237112
"['inter', 'american', 'human', 'rights', 'contest', 'important', 'highest', 'level', 'simulation', 'inter', 'american', 'court']",Positivo,0.3694217765109109,0.6305782234890899,0.2083487230661152,0.7916512769338847,0.0,1.0,0.45792249349928116,0.5420775065007188
"['manuel', 'andrés', 'manuelcasas', 'rolando', 'tough', 'congratulations']",Positivo,0.3959931457057739,0.6040068542942252,0.35493122641370284,0.6450687735862971,0.0,1.0,0.4729207409686105,0.5270792590313895
"['congratulations', 'ucab', 'delegation', 'american', 'university', 'moot', 'court', 'blew']",Positivo,0.4532885315204908,0.5467114684795084,0.22541324310691746,0.7745867568930822,0.0,1.0,0.4552267252953355,0.5447732747046645
"['ligiabolivar', 'fit', 'handbag', 'let', 'us', 'know', 'news', 'american']",Positivo,0.4852498028445886,0.514750197155412,0.4284730925257561,0.5715269074742441,1.0,0.0,0.5147932830921356,0.4852067169078644
"['ligiabolivar', 'barquisimeto', 'today', 'tomorrow', 'know', 'anything', 'american']",Negativo,0.5710624256120729,0.4289375743879267,0.7036564161624507,0.2963435838375493,1.0,0.0,0.5638035476116724,0.4361964523883276
"['angers', 'one', 'answer', 'one', 'complaints', 'options', 'crap']",Negativo,0.5630293044668205,0.4369706955331804,0.6692274013921852,0.3307725986078149,1.0,0.0,0.5965878414059895,0.4034121585940105
"['aserca', 'flight', 'leaves', 'late', 'take', 'seat', 'luggage', 'fit', 'quality', 'great', 'service']",Positivo,0.5249375346116135,0.475062465388387,0.6466885842195034,0.3533114157804966,1.0,0.0,0.5443262962360815,0.4556737037639185
"['aserca', 'worst', 'airline', 'leaving', 'flight', 'still', 'waiting']",Negativo,0.6390997058666795,0.3609002941333204,0.7066017609176892,0.29339823908231083,1.0,0.0,0.5913688105721184,0.40863118942788157
"['congratulations', 'farsi', 'thanks', 'rt', 'eddyacs', 'bpulidom', 'tavalodet', 'mobarak', 'someone', 'congratulated', 'farsi', 'already', 'hehe', 'meet', 'many']",Positivo,0.36214648305534464,0.6378535169446558,0.15306700362391334,0.8469329963760867,0.0,1.0,0.4049402019887073,0.5950597980112927
"['still', 'years', 'say', 'rt', 'andrespulidom', 'bad', 'room', 'bpulidom']",Negativo,0.7099324157147016,0.2900675842852998,0.9162781266915344,0.0837218733084657,1.0,0.0,0.6538925898243659,0.3461074101756341
"['mcarolinarojas', 'muuuuuchas', 'thank']",Positivo,0.2606921582090747,0.7393078417909259,0.11232540876808553,0.8876745912319145,0.0,1.0,0.3189868354323948,0.6810131645676052
"['lomejor', 'already', 'andrespulidom', 'follow', 'started', 'recently', 'write', 'much']",Negativo,0.5694386687168542,0.4305613312831445,0.6922446107471601,0.30775538925283985,1.0,0.0,0.5524194905715893,0.44758050942841066
"['hehehehe', 'yes', 'younger', 'brother', 'rt', 'lomejor', 'polished', 'andres', 'bpulidom', 'brother']",Positivo,0.4394775743114076,0.5605224256885923,0.5375055160796445,0.4624944839203557,0.0,1.0,0.48136499613250394,0.5186350038674961
"['brother', 'andrespulidom', 'speaking', 'globovision']",Negativo,0.5033168773932323,0.4966831226067675,0.6400592061669991,0.3599407938330009,1.0,0.0,0.5308578421032002,0.4691421578967998
"['cdelgadosalas', 'rafbello', 'tomashhr', 'dsmolansky', 'cu', 'key', 'also', 'edwardj']",Negativo,0.5154139549389533,0.4845860450610482,0.6992751833391776,0.3007248166608224,1.0,0.0,0.5648979490991879,0.43510205090081205
"['listen', 'yongoicoechea', 'darielasosa', 'premiering', 'show', 'rcr', 'right']",Negativo,0.5918561270797568,0.4081438729202441,0.7774472815137883,0.22255271848621155,1.0,0.0,0.5834869938687666,0.41651300613123343
"['today', 'another', 'pulido', 'hpulidom', 'starting', 'st', 'rt', 'campaign', 'tomashhr', 'day', 'like', 'today', 'dsmolansky', 'rafbello', 'cdelgadosalas']",Positivo,0.4623191122980069,0.5376808877019946,0.24705713506558336,0.7529428649344166,0.0,1.0,0.43598625528269097,0.564013744717309
"['apart', 'executive', 'committee', 'directing', 'eco', 'ucab', 'little', 'sister', 'helenapulidom', 'follow', 'two', 'users']",Negativo,0.6245683534892179,0.3754316465107838,0.7211238673533223,0.2788761326466777,1.0,0.0,0.6019892833617888,0.39801071663821114
"['ucabistas', 'follow', 'recommend', 'follow', 'eco', 'ucab', 'excellent', 'social', 'communication', 'plate']",Positivo,0.5828629678064841,0.41713703219351655,0.6105454162154683,0.3894545837845316,0.0,1.0,0.5703964590034891,0.42960354099651094
"['happy', 'many', 'excellent', 'people', 'worked', 'student', 'representative', 'opting', 'different', 'positions']",Positivo,0.3606677090730962,0.6393322909269044,0.1232901796599154,0.8767098203400846,0.0,1.0,0.4386992620441289,0.5613007379558711
