,word,count
0,universidad,46
1,visto,15
2,estudiantes,36
3,eligen,1
4,líderes,2
5,literalmente,10
6,mejor,26
7,destaca,1
8,área,3
9,ej,1
10,delegado,1
11,estudiante,15
12,dejen,7
13,relacionar,1
14,estudio,5
15,liderazgo,1
16,mismo,27
17,pueden,8
18,ser,53
19,peor,7
20,esperado,1
21,recuerda,1
22,cierto,6
23,profesor,20
24,estrella,1
25,estrés,3
26,junto,1
27,poder,17
28,salir,12
29,consumiendo,1
30,psicológicamente,1
31,niveles,4
32,insoportables,1
33,diariamente,3
34,pensamientos,2
35,existencialistas,1
36,soledad,1
37,sano,2
38,untalsiso,38
39,mano,9
40,pasa,3
41,viejos,2
42,ojo,4
43,refiero,1
44,solo,57
45,nivel,7
46,político,5
47,cualquier,18
48,contexto,3
49,siempre,36
50,problema,19
51,déspota,1
52,quieren,10
53,negociar,1
54,ir,16
55,buenas,5
56,así,23
57,escupan,1
58,cara,7
59,generaciones,1
60,anteriores,1
61,venezuela,20
62,gran,10
63,creen,6
64,cosa,13
65,puede,30
66,resolver,1
67,mediante,1
68,negociación,1
69,brother,1
70,acabas,2
71,ver,28
72,cómo,2
73,patearon,1
74,mesa,2
75,veces,17
76,seguidas,2
77,insultaron,1
78,quieres,6
79,seguir,13
80,negociando,1
81,imbécil,1
82,inútil,3
83,this,2
84,is,8
85,what,2
86,heroin,1
87,does,1
88,to,7
89,ppl,1
90,respecta,1
91,importa,5
92,tt,5
93,nacional,5
94,llegó,3
95,hashtag,2
96,acciones,1
97,consejo,3
98,universitario,3
99,iniciativa,2
100,rotundo,1
101,fracaso,1
102,comportamientos,2
103,vez,32
104,buscar,11
105,añadir,3
106,causa,1
107,alejaron,1
108,noches,2
109,felicito,1
110,representantes,7
111,estudiantiles,7
112,dieron,6
113,respuestas,5
114,incluyentes,1
115,respetuosas,1
116,llamar,3
117,respeto,4
118,demás,8
119,miembros,3
120,comunidad,1
121,ucabista,6
122,bastante,6
123,dejan,3
124,desear,1
125,antiguos,1
126,tutores,1
127,figuras,1
128,públicas,2
129,egresados,2
130,ucab,43
131,guayana,14
132,comportamiento,3
133,bien,29
134,alto,6
135,valores,2
136,ucabistas,2
137,atacando,1
138,forma,19
139,haciendo,16
140,hacer,41
141,silencio,2
142,actitudes,2
143,negativas,1
144,justamente,3
145,argumentos,2
146,negativo,2
147,debe,15
148,reprochable,1
149,venga,1
150,si,127
151,dejar,4
152,hacerlo,4
153,pues,22
154,insultar,5
155,justificar,4
156,opinión,12
157,acosar,1
158,sexualmente,1
159,sino,21
160,mediática,1
161,meter,3
162,grupos,2
163,dar,16
164,fuerza,7
165,argumento,2
166,cada,23
167,libre,7
168,tener,23
169,propia,5
170,defenderla,1
171,bajo,9
172,desprestigia,1
173,imagen,4
174,movimiento,4
175,generación,2
176,agrupación,4
177,universitaria,9
178,órgano,2
179,representación,5
180,estudiantil,9
181,reglamento,1
182,establece,1
183,explícitamente,1
184,intereses,4
185,políticos,4
186,opiniones,2
187,propones,1
188,efecto,5
189,opuesto,2
190,verdadero,3
191,objetivo,4
192,usarlo,2
193,creo,20
194,presenciando,1
195,inicio,2
196,barbra,1
197,streisand,1
198,hermoso,2
199,fan,1
200,bukele,1
201,hace,40
202,cerrada,2
203,boca,1
204,bella,1
205,acabo,6
206,presenciar,1
207,horas,9
208,empezar,6
209,semestre,27
210,quiero,19
211,decirles,4
212,clases,16
213,precarias,1
214,caiga,1
215,problemas,10
216,escuela,9
217,hable,2
218,autonomía,7
219,recuerden,4
220,cuanto,4
221,pagaron,1
222,votaron,1
223,consta,2
224,primera,13
225,cedeño,1
226,persona,17
227,honrada,1
228,honesta,1
229,vergüenza,3
230,debería,11
231,darle,8
232,autoridades,18
233,caso,16
234,pertenecer,2
235,facultad,1
236,derecho,11
237,violar,1
238,leyes,2
239,nacionales,1
240,reglamentos,1
241,universitarios,2
242,arruinan,1
243,molesta,2
244,entorno,1
245,trabajo,8
246,comuniquen,1
247,incomodidades,1
248,nadie,13
249,adivino,1
250,saber,9
251,surgidos,1
252,sentimientos,1
253,terminan,4
254,intoxicando,1
255,ambiente,2
256,medicenyunta,3
257,llaman,2
258,alucinaciones,1
259,síntoma,1
260,inicial,3
261,esquizofrenia,1
262,gracioso,2
263,usb,17
264,escuchaba,1
265,canserbero,1
266,empecé,3
267,dudar,1
268,carrera,9
269,escucharlo,1
270,activamente,1
271,marico,6
272,gradué,1
273,años,21
274,bachiller,1
275,maldita,1
276,gente,47
277,gusta,12
278,lluvia,1
279,dorada,1
280,intentando,4
281,justificarse,1
282,arcemiotico,1
283,gb,2
284,aquí,21
285,abrahamapk,11
286,entero,1
287,contenido,3
288,programático,1
289,votó,3
290,chavez,5
291,criaron,1
292,mozart,1
293,sócrates,1
294,ayer,8
295,realizando,1
296,unas,9
297,modificaciones,1
298,discord,3
299,amigo,4
300,enteramos,1
301,cambió,2
302,completamente,6
303,perspectiva,1
304,vida,23
305,🔰es,1
306,símbolo,1
307,japonés,1
308,principiante,1
309,podré,1
310,usar,12
311,emoji,2
312,misma,5
313,hacía,1
314,ah,13
315,ta,2
316,tardas,1
317,contestar,3
318,hola,3
319,vean,1
320,kaguya,1
321,sama,1
322,love,1
323,war,2
324,adiós,1
325,va,39
326,funar,1
327,algoritmos,1
328,programación,3
329,ii,2
330,josé,1
331,saad,2
332,desarrollé,2
333,pensamiento,2
334,abstracto,1
335,estructuras,1
336,datos,5
337,día,23
338,hoy,30
339,impresiona,1
340,materia,18
341,casi,9
342,cracking,1
343,the,25
344,coding,1
345,interview,1
346,oh,4
347,llevo,8
348,semana,10
349,soñando,1
350,vainas,4
351,semipresencial,2
352,transcurre,1
353,perlas,1
354,convierte,2
355,cursado,1
356,cabe,2
357,destacar,3
358,sueños,2
359,sido,7
360,down,1
361,earth,2
362,ahora,30
363,miedo,9
364,sasageyo,3
365,shinzou,1
366,wo,1
367,recuerdo,7
368,año,14
369,cursé,1
370,verano,2
371,matemáticas,3
372,salíamos,1
373,iba,5
374,amigos,8
375,jardines,1
376,tumbar,2
377,pumarrosas,1
378,criticar,4
379,biden,20
380,bombardear,1
381,milicias,1
382,iraníes,2
383,siria,2
384,trump,48
385,bombardeó,2
386,empezando,2
387,gobierno,10
388,carro,2
389,soleimani,1
390,hipócrita,4
391,critiquen,1
392,fanaticada,1
393,pacifistas,1
394,hipócritas,4
395,muchas,10
396,cosas,19
397,anthxnyb,8
398,ocurren,2
399,terraria,2
400,perder,10
401,items,1
402,cayó,1
403,internet,12
404,duda,4
405,alguna,7
406,platinum,2
407,mejoras,1
408,técnicas,1
409,necesarias,4
410,viniendo,1
411,dp,1
412,ambientación,1
413,parece,17
414,perfecta,1
415,misticismo,1
416,región,1
417,palpable,1
418,primer,7
419,paso,10
420,historias,4
421,maduras,1
422,bw,1
423,dios,6
424,postgame,1
425,visitar,1
426,hokkaido,1
427,trabajando,2
428,mientras,15
429,escucho,4
430,soundtrack,1
431,witcher,2
432,abandonar,1
433,volver,1
434,matar,2
435,cuantos,1
436,ghouls,1
437,water,1
438,temple,1
